"7","7","1","St Georges Road","Belsize Road","","","RG 12/113","8-11
"
"7","7","2","St Johns Wood Park","Avenue Road","","1-14","RG 12/110","85-86
"
"7","7","3","St Johns Wood Park","Avenue Road","","27-37","RG 12/110","86-87
"
"7","7","4","St Johns Wood Park","Avenue Road","","38-46","RG 12/104","145-146
"
"7","7","5","St Johns Wood Park","Avenue Road","","Avenue Road 15-26","RG 12/104","144-145
"
"7","7","6","St Johns Wood Park","Avenue Road","","Holmefield, St Johns Wood Park","RG 12/104","146
"
"7","7","7","St Johns Wood Park","Avenue Road","","Manor House and Stables, St Johns Wood Park","RG 12/104","145
"
"7","7","8","St Johns Wood Park","Avenue Road","","Ravensworth House and Stables, St Johns Wood Park","RG 12/104","146
"
"7","7","9","St Stephens Green","Haverstock Hill","","","RG 12/109","66
"
"7","7","10","Sandown Villas","Mill Lane","","","RG 12/114","103-104
"
"7","7","11","Sandringham Villas","Ravenshaw Street","pt Ravenshaw Street","","RG 12/114","115-118
"
"7","7","12","Schools","","","Heath Mount School","RG 12/106","92
"
"7","7","13","Schools","","","Holly Hill School","RG 12/106","99-100
"
"7","7","14","Schools","","","Trewint Industrial School for Girls","RG 12/109","68
"
"7","7","15","Schools","Agincourt Road","","BoaRoad School","RG 12/109","54
"
"7","7","16","Schools","Church Row","","Field Lane Girls Industrial School","RG 12/107","54-56
"
"7","7","17","Schools","Dornfell Street","","BoaRoad School","RG 12/115","4-5
"
"7","7","18","Schools","Finchley Road","","Anglo French College","RG 12/114","55
"
"7","7","19","Schools","Finchley Road","","Hackney College","RG 12/114","54-55
"
"7","7","20","Schools","Finchley Road","","New College","RG 12/108","116
"
"7","7","21","Schools","Goldsmith Place","","Blind Childrens School","RG 12/113","90-91
"
"7","7","22","Schools","Greenhill Road","","Sailors Orphan Girls School","RG 12/107","48-49
"
"7","7","23","Schools","Haverstock Hill","","Haverstock Hill","","
"
"7","7","24","Schools","Hillfield Road","","Industrial School for Boys","RG 12/115","94-98
"
"7","7","25","Schools","Mill Lane","","National School","RG 12/114","100
"
"7","7","26","Schools","Netherwood Street","","BoaRoad School","RG 12/112","76
"
"7","7","27","Schools","New End","","Christchurch, Schools","RG 12/106","23
"
"7","7","28","Schools","Rosslyn Hill","","Soldiers Daughters Home","RG 12/115","66-71
"
"7","7","29","Schools","Upper Avenue Road","","Blind School","RG 12/108","117-118
"
"7","7","30","Shepherds Lane","Rosslyn Hill","","","RG 12/107","6
"
"7","7","31","Sheriff Road","West End Lane","including Glen Tor and Kenmuir Houses","","RG 12/112","76-80
"
"7","7","32","Shoot Up Hill","Edgware Road","Remainder in HENDON District","","",""
"7","7","33","Shoot Up Hill","Edgware Road","pt Edgware Road pt E Side","","RG 12/111","38-41
"
"7","7","34","Silver Street","Heath Street","","","RG 12/106","90-91
"
"7","7","35","Smyrna Road","Kingsgate Road","","","RG 12/113","61-63
"
"7","7","36","Solent Crescent and Road","Mill Lane","","","RG 12/115","30-36, 45-46
"
"7","7","37","South End Green","","","and House, South End Green","RG 12/109","64-66
"
"7","7","38","South End Road","East Heath Road","","Fulbeck and Lower Mount Cott","RG 12/107","103
"
"7","7","39","South End Road","East Heath Road","","Maryon Terrace, South End Road","","
"
"7","7","40","South End Road","East Heath Road","","Railway Tavern, South End Road","RG 12/109","66
"
"7","7","41","South End Road","East Heath Road","","Various Houses and Cottages, South End Road","RG 12/107","114-116
"
"7","7","42","South Hill Park","Parliament Hill","","Even Numbers","RG 12/107","93-99
"
"7","7","43","South Hill Park","Parliament Hill","","Magdala Tavern, South Hill Park","RG 12/107","99
"
"7","7","44","South Hill Park","Parliament Hill","","Odd Numbers","RG 12/107","85-91
"
"7","7","45","South Hill Park Gardens","","","","RG 12/107","91-93
"
"7","7","46","South Hill Park Road","","now Parliament Hill Road","","",""
"7","7","47","Southampton Road","Maitland Park Road","","27-43 Odd","RG 12/109","53-54
"
"7","7","48","Southampton Road","Maitland Park Road","Remainder in PANCRAS District","","",""
"7","7","49","Southwell Terrace","New End","","","RG 12/106","39-40
"
