"1","3","1","Gales Gardens","Bethnal Green Road","","","RG 12/265","68-75
"
"1","3","2","Gardners Road","Roman Road","","","RG 12/268","77-85
"
"1","3","3","Gascoigne Place","Columbia Road","","","RG 12/256","120-124
"
"1","3","4","Gasometer Yard","Emma Street","","","RG 12/259","144
"
"1","3","5","Gawber Street","Globe Road","now contains Grosvenor Street","","RG 12/270","111-118
"
"1","3","6","George Gardens","","","1-78","RG 12/263","67-72
"
"1","3","7","George Gardens","Old Bethnal Green Road","","79-96","RG 12/263","76-77
"
"1","3","8","George Place","Blythe Street","","","RG 12/263","77-78
"
"1","3","9","George Street","Turin Street","now Cymon Street","","",""
"1","3","10","George Street & Little George Street","Old Bethnal Green Road","now called Poyser Street","","",""
"1","3","11","George Terrace","Turville Street","","","RG 12/256","95-96
"
"1","3","12","Georgina Gardens","Columbia Road","","","RG 12/257","63-65
"
"1","3","13","Gernon Road","Roman Road","","","RG 12/269","69-71
"
"1","3","14","Gibraltar Buildings or Place","Gibraltar Gardens","","","RG 12/258","127-128
"
"1","3","15","Gibraltar Gardens","Bethnal Green Road","","","RG 12/258","125-127
"
"1","3","16","Gibraltar Walk","","","1-35 pt Odd","RG 12/258","134-135
"
"1","3","17","Gibraltar Walk","","","2-104 Even","RG 12/258","135-141
"
"1","3","18","Gibraltar Walk","Bethnal Green Road","","pt 35-73 Odd","RG 12/258","128-130
"
"1","3","19","Gillman Street","Hill Street","was Wolverley Street","","RG 12/259","62-67
"
"1","3","20","Glass Street","Coventry Street","","","RG 12/266","129-131
"
"1","3","21","Globe Cottages","","now part Russia Lane","","",""
"1","3","22","Globe Road","","","1-163 Odd & 2-192 Even Barracks","RG 12/270","65-66
"
"1","3","23","Globe Road","","","250-304 Even","RG 12/270","59-61
"
"1","3","24","Globe Road","","","306-308 Even","RG 12/268","19
"
"1","3","25","Globe Road","","see MILE END OLD TOWN Dist","194-248 Even","RG 12/272","65-68
"
"1","3","26","Globe Road","Green Street","","165-237 Odd","RG 12/270","47-50
"
"1","3","27","Globe Road","Mile End Road","","241-305 Odd","RG 12/270","61-67
"
"1","3","28","Glouceser Street","Hackney Road","later Garner Street","","RG 12/259","71-79
"
"1","3","29","Gloucester Gardens","Little Collingwood Street","(demolished)","","RG 12/264","43C
"
"1","3","30","Gloucester Place","","now part Russia Lane","","",""
"1","3","31","Gloucester Street","Cambridge Road","now Parmiter Street","","",""
"1","3","32","Godfreys Place","Austin Street","demolished","","RG 12/257","3
"
"1","3","33","Gore Place","","now part Morpeth Road","","",""
"1","3","34","Gore Road","","and Place","47-107","RG 12/267","7-13
"
"1","3","35","Gore Road","","now includes Crescent","24-46","RG 12/205","160-163
"
"1","3","36","Gore Road","Victoria Park Road","","1-23","RG 12/204","168-171
"
"1","3","37","Gosset Street","","","123-173 Odd","RG 12/258","109-112
"
"1","3","38","Gosset Street","","","2-38 Even","RG 12/261","33-34
"
"1","3","39","Gosset Street","","","40 Even","RG 12/258","124
"
"1","3","40","Gosset Street","","","41-53 Odd","RG 12/261","38-39
"
"1","3","41","Gosset Street","","","42-72 Even","RG 12/258","120-122
"
"1","3","42","Gosset Street","","","57 Odd","RG 12/258","124
"
"1","3","43","Gosset Street","","","59-121 Odd","RG 12/258","117-120
"
"1","3","44","Gosset Street","","","7-21 Odd","RG 12/261","38
"
