"22","8","78","Wharves","","","Phoenix, Dockhead","RG 12/373","72
"
"22","8","79","White Lion Court","Snows Fields","","","RG 12/370","58-59
"
"22","8","80","Whites Court","Vine Street","","","RG 12/369","7-8
"
"22","8","81","Whites Grounds","Bermondsey Street","now contains Gun Alley","","RG 12/373","34-35
"
"22","8","82","Whites Tanyard","Upper Russell street","","","RG 12/370","63-64
"
"22","8","83","Wilderness Street","Weston Street","","16-24","RG 12/371","15-16
"
"22","8","84","Wilderness Street","Weston Street","","1-15","RG 12/371","29-31
"
"22","8","85","Wilds Rents","Long Lane","","1-6","RG 12/371","9
"
"22","8","86","Wilds Rents","Long Lane","","8-19","RG 12/371","32-33
"
"22","8","87","William Street","Plough Road","","28-30","RG 12/382","60
"
"22","8","88","William Street","Plough Road","","8-11","RG 12/382","60-61
"
"22","8","89","William Street","Plough Road","later Hobman Street","1-7","RG 12/382","59-60
"
"22","8","90","Willow Grove","Kintore Street","","","RG 12/372","39-41
"
"22","8","91","Willow Street","Willow Walk","","","RG 12/372","27-33
"
"22","8","92","Willow Walk","Upper Grange Road","","1-15","RG 12/372","62-63
"
"22","8","93","Willow Walk","Upper Grange Road","","17-38","RG 12/372","25-27
"
"22","8","94","Willow Walk","Upper Grange Road","","39-60","RG 12/372","16-17
"
"22","8","95","Willow Walk","Upper Grange Road","","70-83","RG 12/372","17-20
"
"22","8","96","Willow Walk","Upper Grange Road","","Eldon Cottage, Willow Walk","RG 12/372","62
"
"22","8","97","Willow Walk","Upper Grange Road","","Lower Cottage and Willow House, Willow Walk","RG 12/372","20
"
"22","8","98","Winchester Buildings","Prospect Place","","","RG 12/384","106
"
"22","8","99","Winchester Street","Slippers Place","later Cunick Street","","RG 12/384","77-81
"
"22","8","100","Winters Court","","now part Baffins Place","","",""
"22","8","101","Winters Square","Long Lane","","","RG 12/371","8
"
"22","8","102","Wolseley Buildings","Dockhead","","","RG 12/374","17-29
"
"22","8","103","Wolseley Cottages","London Street","","","RG 12/374","16-17
"
"22","8","104","Woodlands Place","Grange Road","","","RG 12/372","53-55
"
"22","8","105","Woods Place","Grange Road","later Johns and Wood Places","","RG 12/371","122-124
"
"22","8","106","Woolf Street","Millstream Road","now contains Victory Place","","RG 12/373","90-95
"
"22","8","107","Workhouses","","","Infirmary and Casual Wards, Lower Road","RG 12/385","136-147
"
"22","8","108","Workhouses","","","Parish and Tooley Streets Bermondsey Workhouse, Tanner Street","RG 12/373","144-156
"
"22","8","109","Workhouses","","","Residences Lower Road","RG 12/383","33
"
"22","8","110","Workhouses","","","St Olave Union","RG 12/369","111-120
"
"22","8","111","Wormald Place","Paradise Street","","","RG 12/384","147-148
"
"22","8","112","Wrights Buildings","Court and Cottages, Grange Road","","","RG 12/371","125-126
"
"22","8","113","Wyndham Road","Rotherhithe Street","later Brunel Road","","RG 12/381","35
"
"22","8","114","Yalding Road","Southwark Park Road","","1-49 odd","RG 12/377","115-118
"
"22","8","115","Yalding Road","Southwark Park Road","","51-67 odd","RG 12/377","110-111
"
"22","8","116","Yalding Road","Southwark Park Road","","Even numbers","RG 12/377","105-110
"
"22","8","117","Yalding Road","Southwark Park Road","","Henry Cottage, Yalding Road","RRG 12/377","110
"
"22","8","118","Yeoman Street","Plough Road","","Barretts Cottages, Yeoman Street","RG 12/382","43-44
"
"22","8","119","Yeoman Street","Plough Road","","Hughes Terrace, Yeoman Street","RG 12/382","42-43
"
"22","8","120","York Cottages","Elgar Street","","","RG 12/382","17
"
"22","8","121","York Place","Elgar Street","","","RG 12/382","18
"
