"6","4","77","Lammas House & Road","Penshurst Road","","","RG 12/207","60
"
"6","4","78","Lancell Street","Church Street","","","RG 12/180","44-46
"
"6","4","79","Landfield Street","Rendlesham Road","","","RG 12/185","67-73
"
"6","4","80","Lansdown Road","London Fields","","1-31 Odd","RG 12/195","10-12
"
"6","4","81","Lansdown Road","London Fields","","104-124 Even","RG 12/194","77-78
"
"6","4","82","Lansdown Road","London Fields","","126-164 Even","RG 12/194","91-94
"
"6","4","83","Lansdown Road","London Fields","","160-174 Even","RG 12/204","63-65
"
"6","4","84","Lansdown Road","London Fields","","2-32 Even","RG 12/195","12-13
"
"6","4","85","Lansdown Road","London Fields","","33-79 Odd","RG 12/194","42-45
"
"6","4","86","Lansdown Road","London Fields","","34-102 Even","RG 12/194","45-49
"
"6","4","87","Lansdown Road","London Fields","","81-95 Odd","RG 12/194","106
"
"6","4","88","Lark Row","Bishops Row","30-39 MISSING after f.185","","RG 12/204","
"
"6","4","89","Lark Row","Bishops Row","Remainder in BETHNAL GREEN District","","",""
"6","4","90","Laura Place","Lower Clapton Road","","","RG 12/198","25-26
"
"6","4","91","Laurel Street","Queens Road Dalston","","","RG 12/193","123-126
"
"6","4","92","Lauriston Road","Well Street","","1-77 Odd","RG 12/207","39-43
"
"6","4","93","Lauriston Road","Well Street","","112-144 Even","RG 12/207","17-18
"
"6","4","94","Lauriston Road","Well Street","","2-62 Even","RG 12/205","141-144
"
"6","4","95","Lauriston Road","Well Street","","64-110 Even","RG 12/205","168-171
"
"6","4","96","Lauriston Road","Well Street","","79-109 Odd","RG 12/207","13-15
"
"6","4","97","Lauriston Road","Well Street","","Jews Cemetery","RG 12/207","15
"
"6","4","98","Lauriston Road","Well Street","","Royal Hotel Tavern, Lauriston Road","RG 12/206","133-134
"
"6","4","99","Lavell Street","Albion Road","","1-3 Odd","RG 12/181","162
"
"6","4","100","Lavell Street","Albion Road","","2-6 Even","RG 12/181","155
"
"6","4","101","Lavender Grove","Queens Road Dalston","","1-39 Odd","RG 12/194","10-12
"
"6","4","102","Lavender Grove","Queens Road Dalston","","2-34 Even","RG 12/194","8-10
"
"6","4","103","Lavender Grove","Queens Road Dalston","","36-96 Even","RG 12/194","57-60
"
"6","4","104","Lavender Grove","Queens Road Dalston","","41-97 Odd","RG 12/194","55-57
"
"6","4","105","Lavers Road","Dynevor Road","","","RG 12/181","114-118
"
"6","4","106","Lawley Street","Powerscroft Road","","","RG 12/198","67-68
"
"6","4","107","Lawrance Buildings","Sanford Lane","","","RG 12/184","37-38
"
"6","4","108","Lea Bridge Area Roughly covered by","","","","RG 12/197","5.9, 47-57
"
"6","4","109","Lea Bridge Corner","pt Lower Clapton Road","","","RG 12/198","5
"
"6","4","110","Lea Bridge Road","","","Clapton Villas & Pond Cottages, Lea Bridge Road","RG 12/197","56-57
"
"6","4","111","Lea Bridge Road","","","Engine House, Lock House, Boat Houses, Lea Bridge Road","RG 12/197","50
"
"6","4","112","Lea Bridge Road","","","Glovers Cottage & 1-17","RG 12/197","53-55
"
"6","4","113","Lea Bridge Road","","","Hammonds Cottage & Kings Head Public House, Lea Bridge Road","RG 12/197","6-9
"
"6","4","114","Lea Bridge Road","","","India Rbber Works & Oak Cottages, Lea Bridge Road","RG 12/197","57
"
"6","4","115","Lea Bridge Road","","","Jolly Anglers Public House, Lea Bridge Road","RG 12/197","47
"
"6","4","116","Lea Bridge Road","","","Lea Dock","RG 12/197","5-6
"
"6","4","117","Lea Bridge Road","","","Mary Ann Cottages, Lea Bridge Road","RG 12/197","53
"
"6","4","118","Lea Bridge Road","","","Middlesex & Essex Wharves","RG 12/197","47-49
"
"6","4","119","Lea Bridge Road","","","Prince of Wales Terrace, Lea Bridge Road","RG 12/197","50
"
"6","4","120","Lea Bridge Road","","","Ship Aground & Prince of Wales Public Houses, Lea Bridge Road","RG 12/197","57
"
"6","4","121","Lea Bridge Road","","","Shrubbery & Glaskin Villas, Lea Bridge Road","RG 12/197","55-56
"
"6","4","122","Lea Bridge Road","","","Vine House & Pitville Houses, Lea Bridge Road","RG 12/197","55
"
