"28","3","75","Harrisons Court","Popes Head Court","","","RG 12/273","24
"
"28","3","76","Haydon Square","Haydon Street","","1","RG 12/282","136
"
"28","3","77","Haydon Square","Haydon Street","","2-5","RG 12/282","9-11
"
"28","3","78","Haydon Square","Haydon Street","","6-8","RG 12/282","136-137
"
"28","3","79","Haydon Square","Haydon Street","No other nos, demolished for Railways","20","RG 12/282","137
"
"28","3","80","Haydon Street","Mlnories","No other nos, demolished for Railways","30 and 39 only","RG 12/282","140
"
"28","3","81","Hearts of Oak Court","Dock Street empty","","","RG 12/283","81
"
"28","3","82","Helena Terrace","Chicksand Street","","1-2A","RG 12/276","81
"
"28","3","83","Helena Terrace","Chicksand Street","","3-4","RG 12/276","81-82
"
"28","3","84","Helena Terrace","Chicksand Street","","pt 2A","RG 12/276","90
"
"28","3","85","Heneage Street","Brick Lane","","(Loding House) 1 Odd","RG 12/278","121-129
"
"28","3","86","Heneage Street","Brick Lane","","2-42 Even","RG 12/276","64-67
"
"28","3","87","Heneage Street","Brick Lane","","3-37 Odd","RG 12/276","67-70
"
"28","3","88","Heneage Street","Brick Lane","","39-41 Odd","RG 12/276","37
"
"28","3","89","Heneage Street","Brick Lane","","43-53 Odd","RG 12/277","103-104
"
"28","3","90","Heneage Street","Brick Lane","","44-50 Even","RG 12/276","37-38
"
"28","3","91","Heneage Street","Brick Lane","","52-58 Even","RG 12/277","104-105
"
"28","3","92","Hobsons Cottages and Place","Pelham Street","","","RG 12/277","70-72
"
"28","3","93","Homes, Asylums and Refuges","","","Crispin Street Refuge","RG 12/275","139-147
"
"28","3","94","Homes, Asylums and Refuges","86 Leman Street","Last page (5) missing","Shoeblack Refuge","RG 12/ 282","141-143
"
"28","3","95","Homes, Asylums and Refuges","Commercial Street","","Salvation Army Shelter for Women 194","RG 12/278","113-120
"
"28","3","96","Homes, Asylums and Refuges","Commercial Street","","Victoria Homes (1)","RG 12/281","84-95
"
"28","3","97","Homes, Asylums and Refuges","Commercial Street","","Victoria Homes (2)","RG 12/281","104-111
"
"28","3","98","Homes, Asylums and Refuges","Commercial Street","Two pages missing in (2) pp 11-12 between fs","110-111","","
"
"28","3","99","Homes, Asylums and Refuges","Dock Street and Well Street","","Sailors Home","RG 12/283","122, 125-132
"
"28","3","100","Homes, Asylums and Refuges","Hanbury Street","","Salvation Army Shelter for Women","RG 12/278","113-120
"
"28","3","101","Homes, Asylums and Refuges","Quaker Street","","Salvation Army","RG 12/273","16-17
"
"28","3","102","Homes, Asylums and Refuges","Tenter Street East","","Night Refuge for Men","RG 12/282","114-115
"
"28","3","103","Hooper Square","Leman Street","","","RG 12/282","43
"
"28","3","104","Hope Street","Old Montague Street","","1-6","RG 12/276","103-104
"
"28","3","105","Hope Street","Old Montague Street","","1-6 7-9","RG 12/276","117-118
"
"28","3","106","Hope Street","Quaker Street","later pt Wflkes Street. 1-7 do not exist","8-12","RG 12/273","21-22
"
"28","3","107","Hospitals","Bakers Row","","Workhouse Infirmary","RG 12/278","97-112
"
"28","3","108","Hospitals","Whitechapel Road","","London Hospital","RG 12/281","70-83, 96-103
"
"28","3","109","Howard Buildings","Albert Street","","","RG 12/278","85-91
"
"28","3","110","Hunt Place","Hunt Street","","","RG 12/277","24-25
"
"28","3","111","Hunt Street","Buxton Street","","Even Nos","RG 12/277","9-10
"
"28","3","112","Hunt Street","Buxton Street","","Odd Nos","RG 12/277","20-23
"
