"3","2","78","College Place","Markham Street","","","RG 12/60","44-52
"
"3","2","79","College Street","Fulham Road","","1-67 Odd","RG 12/59","83-86
"
"3","2","80","College Street","Fulham Road","","10-86 Even","RG 12/60","65-69
"
"3","2","81","College Street","Fulham Road","","2-8 Even","RG 12/60","40
"
"3","2","82","College Street","Fulham Road","","Oriel Cottage, College Street","RG 12/59","84
"
"3","2","83","Collingwood Street","Manor Street","","","RG 12/64","6-9
"
"3","2","84","Cottage Place","Sloane Street","","","RG 12/62","65
"
"3","2","85","Coulson Street","Anderson Street","","","RG 12/60","22-25
"
"3","2","86","Cowley Wharf Cottage","Kensal Road","","","RG 12/57","53
"
"3","2","87","Cowper Mansions and Lodge","Leete Street","","","RG 12/60","142
"
"3","2","88","Cremorne Road","continuation of Cheyne Walk","","Braemar, Althorne, Selwyn, Kinross and Ruthven Houses, Cremorne Road","RG 12/65","66
"
"3","2","89","Cremorne Road","continuation of Cheyne Walk","","Embankment Residences","RG 12/65","72
"
"3","2","90","Cremorne Road","continuation of Cheyne Walk","","House at back of Cremorne Wharf, Cremorne Road","RG 12/66","25
"
"3","2","91","Cremorne Road","continuation of Cheyne Walk","","Remainder and Mansions","RG 12/65","66-69
"
"3","2","92","Crooked Usage","Cale Street","Including Britton Cottage","","RG 12/59","58-59
"
"3","2","93","Cross Keys Yard","Lawrence Street","","","RG 12/64","107
"
"3","2","94","Cross Keys Yard","Lawrence Street","South Side","","RG 12/60","32-34
"
"3","2","95","Cross Street","Pavilion Road","","","RG 12/61","160-161
"
"3","2","96","Cumberland Place","Anderson Street","North side uninhabited","","RG 12/60","146
"
"3","2","97","Danvers Street","Cheyne Walk","","","RG 12/64","125-132
"
"3","2","98","Darner Terrace","Ashburnham Road","","","RG 12/65","62-63
"
"3","2","99","Dart Street","Henries Street","","","RG 12/55","183-184
"
"3","2","100","Dartrey Road and Terrace","Cremorne Road","","1-57 Odd","RG 12/65","72-80
"
"3","2","101","Dartrey Road and Terrace","Cremorne Road","","Terrace, Dartrey Road and Terrace, Dartrey Road and Terrace","RG 12/65","80
"
"3","2","102","Dartrey Road and Terrace","Cremorne Road","","Various named houses, Dartrey Road and Terrace","RG 12/65","80-81, 96-100
"
"3","2","103","Davis Place","Worlds End Passage","","","RG 12/65","37-38
"
"3","2","104","Denyer Street","Marlborough Road","","Even Numbers","RG 12/60","133-136
"
"3","2","105","Denyer Street","Marlborough Road","","Odd Numbers","RG 12/61","13-16, 29
"
"3","2","106","Dilke Street","Swan Walk","(1-5 Clover Mews?)","7-12 only","RG 12/63","150
"
"3","2","107","Dorset Place","South Row","pt South Row","","RG 12/57","57-58
"
"3","2","108","Doyley Street","Cadogan Place","","1-11","RG 12/62","74-76
"
"3","2","109","Doyley Street","Cadogan Place","","12-24","RG 12/62","44-46
"
"3","2","110","Doyley Street","Cadogan Place","","25-29","RG 12/62","76-77
"
"3","2","111","Draycott Place","Leete Street","","2-10 Even","RG 12/60","141-142
"
"3","2","112","Draycott Place","Leete Street","","20 and Electrical Supply Company","RG 12/62","93
"
"3","2","113","Draycott Terrace","Cadogan Street","","","RG 12/60","149-150
"
"3","2","114","Droop Street","Oliphant Street","","1-57 Odd","RG 12/56","101-105
"
"3","2","115","Droop Street","Oliphant Street","","150-216 Even","RG 12/55","58-62
"
"3","2","116","Droop Street","Oliphant Street","","2-40 Even","RG 12/56","99-101
"
"3","2","117","Droop Street","Oliphant Street","","201-263 Odd","RG 12/55","54-58
"
"3","2","118","Droop Street","Oliphant Street","","42-56 Even","RG 12/56","15-16
"
"3","2","119","Droop Street","Oliphant Street","","58-148 Even","RG 12/56","44-49
"
"3","2","120","Droop Street","Oliphant Street","","59-79 Odd","RG 12/56","14-15
"
"3","2","121","Droop Street","Oliphant Street","","81-199 Odd","RG 12/56","38-44
"
"3","2","122","Durham Place and House","Smith Street","pt Smith Street","","RG 12/63","100-101
"
"3","2","123","Durham Terrace","Christchurch Street","","","RG 12/63","172-173
"
"3","2","124","Earl Street","Doyley Street","","","RG 12/62","73-74
"
"3","2","125","East Row","Kensal Road","","1-2 Great Western Tavern (3) and Albion Cottage (4)","RG 12/57","65-66
"
"3","2","126","East Row","Kensal Road","","5-14","RG 12/57","64-65
"
"3","2","127","East Row","Kensal Road","","Alpine Cottages, East Row","RG 12/57","65
"
"3","2","128","East Row","Kensal Road","","Park Terrace 14-22 only","RG 12/57","62-64
"
"3","2","129","East Row","Kensal Road","","Watford Cottage, East Row","RG 12/57","65
"
"3","2","130","East Street","Pond Place","","2, 4-5","RG 12/59","42-43
"
"3","2","131","East Street","Pond Place","","3","RG 12/59","66-67
"
"3","2","132","Eborall Place","Leader Street","","1 only","RG 12/59","97
"
"3","2","133","Eden Place","Pond Place","","","RG 12/59","65-66
"
"3","2","134","Edith Grove","Kings Road","","1-65 Odd","RG 12/58","15-18
"
"3","2","135","Edith Grove","Kings Road","","2-42 Even","RG 12/58","19-21
"
"3","2","136","Edith Grove","Kings Road","","67-109 Odd","RG 12/65","85-87
"
"3","2","137","Edith Grove","Kings Road","","78-116 Even","RG 12/65","83-85
"
"3","2","138","Edith Grove","Kings Road","do not exist","44-76","","
"
"3","2","139","Edith Grove","Kings Road","including Clifton and Carlton Houses","","RG 12/58","19
"
"3","2","140","Edith Terrace","Gunter Grove","","","RG 12/58","14-15
"
"3","2","141","Eign Cottages","Ann Place","some entered as Anns Cottages","","RG 12/64","161-162
"
"3","2","142","Elizabeth Place","Middle Row","pt Middle Row","","RG 12/57","56
"
