"11","3","71","Gloucester Street","Vauxhall Walk","","7-8","RG 12/392","137
"
"11","3","72","Gloucester Street","Vauxhall Walk","","9","RG 12/392","138
"
"11","3","73","Gloucester Street","Vauxhall Walk","later Tinworth Street","1-5","RG 12/392","137-138
"
"11","3","74","Glynn Street","Upper Kennington Lane","","","RG 12/397","101-108
"
"11","3","75","Goding Street & Mews","Upper Kennington Lane","","","RG 12/397","53-62
"
"11","3","76","Golden Place","Chester Street","","1-19","RG 12/393","135-138
"
"11","3","77","Golden Place","Chester Street","","20-30","RG 12/393","138-139
"
"11","3","78","Goldsborough Road","Crimsworth Road","","even numbers only","RG 12/402","76-79
"
"11","3","79","Gordon Grove","Holland Road","","even numbers","RG 12/406","112-113
"
"11","3","80","Gordon Grove","Holland Road","","odd numbers","RG 12/406","65-66
"
"11","3","81","Granby Building","Granby Gardens","","","RG 12/389","69
"
"11","3","82","Granby Buildings","Broad Street","","","RG 12/392","119-120
"
"11","3","83","Granby Gardens","Granby Place","","","RG 12/389","68-69
"
"11","3","84","Granby Place","Lower Marsh","Missing numbers demolished for railways","","RG 12/389","64-68
"
"11","3","85","Grand Parade","","46-66 Brixton Road?","72-78 even only","RG 12/403","136
"
"11","3","86","Graves Place","Saunders Street","","","RG 12/395","5-6
"
"11","3","87","Grays Place","George Street","","","RG 12/394","84
"
"11","3","88","Greens Cottage","part Elm Grove","","","RG 12/418","117
"
"11","3","89","Gregory Cottage","part Elm Grove","","1-2","RG 12/418","117
"
"11","3","90","Gregory Cottage","part Elm Grove","","3","RG 12/418","117, 123
"
"11","3","91","Gresham Road","Brixton Road","","","RG 12/416","31-39
"
"11","3","92","Griffin Street","York Road","","Missing numbers demolished for railways","RG 12/389","69-72
"
"11","3","93","Grosvenor Mansions","Coldharbour Lane","","","RG 12/416","113
"
"11","3","94","Grove Cottages","The Grove","","","RG 12/399","93
"
"11","3","95","Grove Lane and Place","Lower Marsh","Maybe part No 1 Grove Place missing after f 146","","RG 12/389","140-142
"
"11","3","96","Grove Place","Kennington Road","later Aulton Place","","RG 12/398","123-126
"
"11","3","97","Grove Road","Brixton Road","","","RG 12/404","108-111
"
"11","3","98","Grove, The","Clapham Road","later Durand Gardens","","RG 12/404","101-104
"
"11","3","99","Grove, The","South Lambeth Road","","1-11","RG 12/399","112-114
"
"11","3","100","Grove, The","South Lambeth Road","","12-58","RG 12/399","89-97
"
"11","3","101","Grove, The","South Lambeth Road","","59-71","RG 12/399","97-99
"
"11","3","102","Gubyon Avenue","Milkwood Road","","","RG 12/415","54-59
"
"11","3","103","Guildford Road","Lansdowne Road","","","RG 12/400","203-207
"
"11","3","104","Guildford Street","York Road","","","RG 12/389","31-32
"
"11","3","105","Gunnells Cottages","Broad Street","","","RG 12/392","118
"
"11","3","106","Guyatts Cottages","Brixton Hill","","","RG 12/411","38
"
"11","3","107","Gye Street and Buildings","Goding Street","","1-9","RG 12/397","79-81
"
"11","3","108","Gye Street and Buildings","Goding Street","","Buildings, Gye Street and Buildings, Gye Street and Buildings","RG 12/397","81-83
"
"11","3","109","Gye Street and Buildings","Goding Street","","Vauxhall Club","RG 12/397","81
"
"11","3","110","Hackford Road","Holland Street","","1-35 odd","RG 12/404","62-64
"
"11","3","111","Hackford Road","Holland Street","","2-28 even","RG 12/404","64-65
"
"11","3","112","Hackford Road","Holland Street","","30-80 even","RG 12/404","92-94
"
