"28","7","78","Swan Street","Minories","","1-8","RG 12/235","96-97
"
"28","7","79","Swan Street","Minories","","14-18 and 29","RG 12/282","11-12
"
"28","7","80","Synagogues","","","Hope Street","RG 12/273","22
"
"28","7","81","Synagogues","","","Sandys Row, Synagogues","RG 12/275","135
"
"28","7","82","Tenter Buildings","St Marks Street","","","RG 12/282","131-133
"
"28","7","83","Tenter Court","Tenter Street","","","RG 12/274","108
"
"28","7","84","Tenter Street","St Marks Street","","East, Tenter Street","RG 12/282","112-115
"
"28","7","85","Tenter Street","St Marks Street","","House, Tenter Street","RG 12/282","119
"
"28","7","86","Tenter Street","St Marks Street","","North, Tenter Street","RG 12/282","106-108
"
"28","7","87","Tenter Street","St Marks Street","","South, Tenter Street","RG 12/282","109-112
"
"28","7","88","Tenter Street","St Marks Street","","West, Tenter Street","RG 12/282","109
"
"28","7","89","Tenter Street","Tilley Street","","","RG 12/274","105-111
"
"28","7","90","Tewkesbury Buildings","Whitechapel High Street","","","RG 12/280","65-68
"
"28","7","91","Thomas Street","Whitechapel Road -Bakers Row","","16-54 Even","RG 12/279","68-70
"
"28","7","92","Thomas Street","Whitechapel Road -Bakers Row","","2-4 Even","RG 12/279","49-50
"
"28","7","93","Thomas Street","Whitechapel Road -Bakers Row","","23-41 Odd","RG 12/279","66-67
"
"28","7","94","Thomas Street","Whitechapel Road -Bakers Row","","Casual Wards","RG 12/279","70-71
"
"28","7","95","Thomas Street","Whitechapel Road -Bakers Row","(Known as Fulbourne Street in 1904) 11-21 Odd and 6-14 Even do not exist","1-9 Odd","RG 12/279","49-50
"
"28","7","96","Thrawl Street","Brick Lane","","Lolesworth Buildings, Thrawl Street","RG 12/274","31-41
"
"28","7","97","Thrawl Street","Brick Lane","","Rothschilds Buildings, Thrawl Street","RG 12/274","4-23
"
"28","7","98","Thrawl Street","Brick Lane","pt of 20 and 21 are missing between fs 144-145 see also","","RG 12/273","142-146
"
"28","7","99","Tilley Street","Shepherd Street","","1-14","RG 12/274","46-48
"
"28","7","100","Tilley Street","Shepherd Street","","15","RG 12/274","75
"
"28","7","101","Tilley Street","Shepherd Street","","16-25","RG 12/274","100-101
"
"28","7","102","Tongue Yard","","see Great and Little","","",""
"28","7","103","Tonybee Hall","Commercial Street","","","RG 12/280","57
"
"28","7","104","Tower Buildings","Trinity Square","","empty, Tower Buildings, Tower Buildings","RG 12/283","2
"
"28","7","105","Tower Hill","Minories","","1 and 14","RG 12/283","12
"
"28","7","106","Tower Hill","Minories","","84-85","RG 12/283","3
"
"28","7","107","Tower Hill","Minories","","86-88 (Minories)","RG 12/235","116
"
"28","7","108","Tower of London","","","","RG 12/283","133-155
"
"28","7","109","Trinity Place","Trinity Square","","empty, Trinity Place, Trinity Place","RG 12/283","2
"
"28","7","110","Trinity Square","Tower Buildings and Trinity Place","","38-43","RG 12/283","2-3
"
"28","7","111","Trinity Square","Tower Hill","","6-14","RG 12/240","79-80
"
"28","7","112","Trinity Square","Tower Hill","1-4 do not exist","5","RG 12/240","102
"
"28","7","113","Trinity Square","Tower Hill","22-29 unoccupied warehouses","30-31","RG 12/283","2
"
"28","7","114","Tripe Yard","Sandys Row","later Street and later still Strype Street","","RG 12/275","40
"
"28","7","115","Turner Street","Whitechapel Road","","1-83 Odd","RG 12/300","112-116
"
"28","7","116","Turner Street","Whitechapel Road","","2-64 Even","RG 12/300","83-87
"
"28","7","117","Turner Street","Whitechapel Road","","85-105 Odd","RG 12/280","113-114
"
"28","7","118","Tusons Court","Tripe Yard","","","RG 12/275","38-40
"
