"8","4","1","James Gardens","Chapel Street","","","RG 12/226","52-56
"
"8","4","82","Lever Street","Goswell Road","","12-28 pt Even","RG 12/230","95-97
"
"8","4","83","Lever Street","Goswell Road","","132-138 Even","RG 12/231","98
"
"8","4","84","Lever Street","Goswell Road","","133-205 Odd","RG 12/231","122-124
"
"8","4","85","Lever Street","Goswell Road","","148-164 Even","RG 12/231","98-100
"
"8","4","86","Lever Street","Goswell Road","","2-4 Even","RG 12/230","94-95
"
"8","4","87","Lever Street","Goswell Road","","3-79 Odd","RG 12/230","86-94
"
"8","4","88","Lever Street","Goswell Road","","30 Even","RG 12/230","103
"
"8","4","89","Lever Street","Goswell Road","","32-36 pt Even","RG 12/230","97-98
"
"8","4","90","Lever Street","Goswell Road","","38-64 Even","RG 12/230","98-101
"
"8","4","91","Lever Street","Goswell Road","","6 Even","RG 12/230","96
"
"8","4","92","Lever Street","Goswell Road","","66 Even","RG 12/230","102
"
"8","4","93","Lever Street","Goswell Road","","68-82 Even","RG 12/230","101-102
"
"8","4","94","Lever Street","Goswell Road","","8 Even","RG 12/230","95
"
"8","4","95","Lever Street","Goswell Road","","81-85 Odd","RG 12/232","78
"
"8","4","96","Lever Street","Goswell Road","","84-130 Even","RG 12/232","118-120
"
"8","4","97","Lever Street","Goswell Road","","87 Odd","RG 12/232","78, 81
"
"8","4","98","Lever Street","Goswell Road","","89 Odd","RG 12/232","78, 81
"
"8","4","99","Lever Street","Goswell Road","","91 Odd","RG 12/232","81-82
"
"8","4","100","Lever Street","Goswell Road","","93 Odd","RG 12/232","78
"
"8","4","101","Lever Street","Goswell Road","","95 Odd","RG 12/232","78, 82
"
"8","4","102","Lever Street","Goswell Road","","97-101 pt Odd","RG 12/232","78-79
"
"8","4","103","Lever Street","Goswell Road","","Lever Buildings, Lever Street","RG 12/231","98
"
"8","4","104","Lever Street","Goswell Road","","pt 101 Odd","RG 12/232","105
"
"8","4","105","Lever Street","Goswell Road","","pt 28 Even","RG 12/230","108
"
"8","4","106","Lever Street","Goswell Road","","pt 36 Even","RG 12/230","109
"
"8","4","107","Leverington Street","Rahere Street","","","RG 12/230","157-158
"
"8","4","108","Lewins Court and Almshouse","Mitchell Street","","","RG 12/232","68-69
"
"8","4","109","Lily Street","Great Saffron Hill","","l house only","RG 12/221","49
"
"8","4","110","Lincolns Inn","","","Dining Hall, Lincolns Inn","RG 12/211","64
"
"8","4","111","Lincolns Inn","","","Gateway, Lincolns Inn","RG 12/217","166
"
"8","4","112","Lincolns Inn","","","Gateway, Lincolns Inn","RG 12/219","152
"
"8","4","113","Lincolns Inn","","","New Square 1-4","RG 12/217","162
"
"8","4","114","Lincolns Inn","","","New Square 12-13","RG 12/219","152
"
"8","4","115","Lincolns Inn","","","New Square 5-11","RG 12/217","57
"
"8","4","116","Lincolns Inn","","","Old Building or Square","RG 12/219","152
"
"8","4","117","Lincolns Inn","","","Stone Buildings, Lincolns Inn","RG 12/219","152
"
"8","4","118","Little Grays Inn Lane","","","","RG 12/220","15-16
"
"8","4","119","Little Nelson Street","Lever Street now pt Murton Street","","
","Little Northampton Street","Compton Street"
"8","4","120","Little Northampton Street","Compton Street","","","RG 12/222","22-26
"
"8","4","121","Liverpool Road","","","1-11 Odd","RG 12/226","29-30
"
"8","4","122","Liverpool Road","","","13 Odd","RG 12/226","72
"
"8","4","123","Liverpool Road","","Remainder in ISLINGTON District","15-55 Odd","RG 12/226","75-76
"
"8","4","124","Lizard Street","Richmond Street","","1-13","RG 12/231","172-174
"
"8","4","125","Lizard Street","Richmond Street","","15-18","RG 12/232","7
"
"8","4","126","Lizard Street","Richmond Street","","19-22","RG 12/231","174-175
"
"8","4","127","Lloyd Square","Baker Street","","1-11","RG 12/224","87
"
"8","4","128","Lloyd Square","Baker Street","","12-13","RG 12/224","19-20
"
"8","4","129","Lloyd Square","Baker Street","","14-23","RG 12/224","27-28
"
"8","4","130","Lloyd Square","Baker Street","","24-29","RG 12/224","50
"
"8","4","131","Lloyd Street","Great Percy Street","","1-8","RG 12/224","20-21
"
"8","4","132","Lloyd Street","Great Percy Street","","9-12","RG 12/224","27
"
"8","4","133","Lloyds Row","Goswell Road","","","RG 12/228","122-128
"
"8","4","134","Locks Gardens","Northampton Road","","","RG 12/225","111-113
"
"8","4","135","Long Yard","Lambs Conduit Street","","","RG 12/218","137-138
"
"8","4","136","Lower Charles Street","Northampton Square","","1-13","RG 12/229","63-65
"
"8","4","137","Lower Smith Street","Percival Street","","1-7","RG 12/222","33-35
"
"8","4","138","Lower Smith Street","Percival Street","","27-33","RG 12/222","35-36
"
"8","4","139","Lower Smith Street","Percival Street","","8-26","RG 12/229","74-77
"
