"19","8","1","Union Place","Orchard Street","continued as Bond Court","1-3","RG 12/80","68
"
"19","8","79","Warwick Street","Vauxhall Bridge Road","","146-176 Even","RG 12/74","123-125
"
"19","8","80","Warwick Street","Vauxhall Bridge Road","","2-10 Even","RG 12/79","72
"
"19","8","81","Warwick Street","Vauxhall Bridge Road","","31-53 Odd","RG 12/73","91-92
"
"19","8","82","Warwick Street","Vauxhall Bridge Road","","32-50 Even","RG 12/73","110-111
"
"19","8","83","Warwick Street","Vauxhall Bridge Road","","61-107 Odd","RG 12/73","74-76
"
"19","8","84","Warwick Street","Vauxhall Bridge Road","","86-114 Even","RG 12/73","79-80
"
"19","8","85","Warwick Street","Vauxhall Bridge Road","52-58 Even do not exist","60-84 Even","RG 12/74","165-166
"
"19","8","86","Waverton Street","South Street","","1-6","RG 12/70","67
"
"19","8","87","Waverton Street","South Street","","11","RG 12/69","113
"
"19","8","88","Waverton Street","South Street","","8-14","RG 12/69","112-113
"
"19","8","89","Wellington Buildings","Chelsea Bridge Road","","105-261","RG 12/74","63-74
"
"19","8","90","Wellington Buildings","Chelsea Bridge Road","1-104 are Chelsea Gardens","107 & 111","RG 12/74","74-75
"
"19","8","91","Wellington House","James Street","","Barracks, Wellington House, Wellington House","RG 12/82","113-115
"
"19","8","92","Wellington Mews","Bessborough Place","","","RG 12/79","31-32
"
"19","8","93","West Street","Commercial Road","","","RG 12/73","149-152
"
"19","8","94","Westbourne Place","Eaton Square","see Cliveden Place","","","
"
"19","8","95","Westbourne Street","Ebury Street","","1-13","RG 12/72","209-211
"
"19","8","96","Westbourne Street","Ebury Street","","14","RG 12/72","199
"
"19","8","97","Westbourne Street","Ebury Street","","15-30","RG 12/72","207-208
"
"19","8","98","Westbourne Street","Ebury Street","","47-64","RG 12/72","187-189
"
"19","8","99","Westbourne Street","Ebury Street","","65-73","RG 12/72","178-180
"
"19","8","100","Westbourne Street","Ebury Street","","79-98","RG 12/72","171-175
"
"19","8","101","Westbourne Street","Ebury Street","(No 30 entered wrongly as 20)","31-46","RG 12/72","213-215
"
"19","8","102","Westminster Abbey and Close","","","Abbey Gardens, Westminster Abbey and Close","RG 12/82","14
"
"19","8","103","Westminster Abbey and Close","","","Cloisters & Little Cloisters","RG 12/82","12
"
"19","8","104","Westminster Abbey and Close","","","Deans Yard and Deanery","RG 12/82","9-11
"
"19","8","105","Westminster Abbey and Close","","","Little Deans Yard and Westminster School, Westminster Abbey and Close","RG 12/82","12-14
"
