"23","1","85","Anns Row","South Street","now contains Thanet Cottages","","RG 12/359","67-69
"
"23","1","86","Arcadia Buildings","Silvester Street","","","RG 12/351","4-7
"
"23","1","87","Arch Street","Meadow Row","","","RG 12/352","92-93
"
"23","1","88","Arnott Street","","","2-28 even","RG 12/353","53-55
"
"23","1","89","Arnott Street","","","30-72 even","RG 12/353","78-81
"
"23","1","90","Arnott Street","","","Schoolhouse, Arnott Street","RG 12/353","82
"
"23","1","91","Arnott Street","","21-37 do not exist","39-61 odd","RG 12/353","81-82
"
"23","1","92","Arnott Street","Harper Street","","1-19 odd","RG 12/353","52-53
"
"23","1","93","Arthur House","Mardyke Street","","","RG 12/345","149-150
"
"23","1","94","Arthur Street","Camberwell Road","Was Arthur & Gladstone Terraces","","RG 12/356","108-111
"
"23","1","95","Artisan Dwellings","Gun Street","","1-28","RG 12/347","59-62
"
"23","1","96","Artizan Dwellings","Gun Street","","1-28","RG 12/347","62-64
"
"23","1","97","Ash Street","","","11 odd","RG 12/367","53, 64
"
"23","1","98","Ash Street","","","13-27 odd","RG 12/367","53-55
"
"23","1","99","Ash Street","","","Even Nos","RG 12/367","55-60
"
"23","1","100","Ash Street","Deacon Street","","1-9 odd","RG 12/367","51-33
"
"23","1","101","Austral Street","West Square","","Orphans Home (Female)","RG 12/350","127-132
"
"23","1","102","Austral Street","West Square","Remainder in LAMBETH District","","",""
"23","1","103","Austral Street","West Square","was South Street","1-15 odd","RG 12/349","65-66
"
"23","1","104","Avenue Road","Grosvenor Park","","83-117 odd","RG 12/357","20-21
"
"23","1","105","Avenue Road","Grosvenor Park","Remainder in CAMBERWELL District","","",""
"23","1","106","Aylesbury Street","Alvey Street","","even numbers","RG 12/359","58-60
"
"23","1","107","Aylesbury Street","Alvey Street","","odd numbers","RG 12/359","4-8
"
"23","1","108","Ayliffe Street","Harper Street","","even numbers","RG 12/353","35-38
"
"23","1","109","Ayliffe Street","Harper Street","","odd numbers","RG 12/353","51-52
"
"23","1","110","Back Court","Kings Bench Walk","","","RG 12/347","10-11
"
"23","1","111","Bagshot Street","","","25 odd","RG 12/358","35
"
"23","1","112","Bagshot Street","","","27-49 odd","RG 12/358","26-27
"
"23","1","113","Bagshot Street","","see CAMBERWELL District","51-end odd & 58-end even 2-56 even","RG 12/358","18-22
"
"23","1","114","Bagshot Street","Surrey Grove","","1-23 odd","RG 12/358","47-49
"
"23","1","115","Baker Street","Walworth Road","","later pt 18-23 only","RG 12/366","127
"
"23","1","116","Baker Street","off Elephant Road","Mostly demolished for Railways","","",""
"23","1","117","Bangor Court","Long Lane","","","RG 12/344","52-54
"
"23","1","118","Bankend","Bank side","","","RG 12/343","23
"
"23","1","119","Bankside","Holland Street to Southwark","","1-21","RG 12/343","23
"
"23","1","120","Barlow Street","","","27-125 odd","RG 12/362","44-52
"
"23","1","121","Barlow Street","","2-30 even do not exist","32-122 even","RG 12/362","34-44
"
"23","1","122","Barlow Street","East Street","","1-19 odd","RG 12/354","80-81
"
"23","1","123","Barrows Place","Waterloo Road","","","RG 12/349","154-155
"
"23","1","124","Bath Street","London Road","","","RG 12/348","71-75
"
"23","1","125","Bath Terrace","","","Bath House, Bath Terrace","RG 12/353","5-6
"
"23","1","126","Bath Terrace","","","Devonshire House, Bath Terrace","RG 12/353","4-5
"
"23","1","127","Bath Terrace","","","Rockingham School, Bath Terrace","RG 12/353","11
"
"23","1","128","Bath Terrace","","","Trinity House, Bath Terrace","RG 12/353","6-8
"
"23","1","129","Bath Terrace","Union Road","","Terrace, Bath Terrace, Bath Terrace","RG 12/353","8-11
"
"23","1","130","Bean Street","Friar Street","","","RG 12/347","48-52
"
"23","1","131","Bear Gardens","Park Street","","","RG 12/343","37-38
"
"23","1","132","Bear Gardens Buildings","","","","RG 12/343","38-39
"
"23","1","133","Bear Lane","","","10-19","RG 12/341","76-78
"
"23","1","134","Bear Lane","","","22-40","RG 12/341","58-61
"
"23","1","135","Bear Lane","","","8-9","RG 12/341","76, 93
"
"23","1","136","Bear Lane","Southwark Street","","1-7","RG 12/341","75-76
"
"23","1","137","Beatrice House","","see Blendon Row","43-58","RG 12/363","93-94
"
"23","1","138","Beatrice House","","see Blendon Row","47","RG 12/363","103
"
"23","1","139","Beatrice House","","see Blendon Row","52-4","RG 12/363","95
"
"23","1","140","Beatrice House","","see Blendon Row","58 ½","RG 12/363","93-94
"
"23","1","141","Beatrice House","","see Blendon Row","59-60","RG 12/363","94-95
"
"23","1","142","Beatrice House","","see Blendon Row","61","RG 12/363","103
"
"23","1","143","Beatrice House","","see Blendon Row","61-71","RG 12/363","95-96
"
"23","1","144","Beckford Place","Walworth Road","","","RG 12/361","71-73
"
"23","1","145","Beckway Street","East Street","","","RG 12/362","9-24
"
"23","1","146","Beddome Street","Revesby Street","","","RG 12/363","10-14
"
"23","1","147","Bedford Street","","","31-53","RG 12/354","106-109
"
"23","1","148","Bedford Street","Brandon Street","","1-30","RG 12/363","43-46
"
"23","1","149","Bee Hive Cottages","Warner Street","","","RG 12/345","216-217
"
"23","1","150","Belvedere Buildings","Southwark Bridge Road","","","RG 12/347","37-40
"
"23","1","151","Belvedere Place","","","4","RG 12/347","110
"
"23","1","152","Belvedere Place","Borough Road","","1-2 only","RG 12/347","110
"
