"24","3","74","Homes & Refuges","East India Road","","German Sailors Home","RG 12/297","23
"
"24","3","75","Homes & Refuges","Shoeblack Home, Three Colt St","","The Mitre, Homes & Refuges","RG 12/296","30
"
"24","3","76","Homes & Refuges","Stepney Causeway","","Dr Barnardos","RG 12/293","122-135
"
"24","3","77","Homes & Refuges","West India Dock Road","","Salvation Army Shelter","RG 12/297","9-10
"
"24","3","78","Homes & Refuges","West India Dock Road","","Strangers Home, Homes & Refuges","RG 12/297","8-9
"
"24","3","79","Hope Place","Ben Jonson Road","","","RG 12/295","59-61
"
"24","3","80","Hopsons Court","Rhodeswell Road","formerly Hobsons Court","","RG 12/297","103
"
"24","3","81","Horseferry Branch Road","Commercial Road East","","","RG 12/292","113
"
"24","3","82","Hospitals","Glamis Road","East London for Children and Dispensary for Women","","RG 12/290","118-122
"
"24","3","83","Hospitals","King David Lane","unoccupied","Hunts Mews","RG 12/290","49
"
"24","3","84","Industrial Dwellings","","(Peabody?)","Coshs Buildings, Industrial Dwellings","RG 12/293","71-83
"
"24","3","85","Industrial Dwellings","","(Peabody?)","Tower Buildings, Industrial Dwellings","RG 12/290","85-91
"
"24","3","86","Industrial Dwellings","Glamis Road","(Peabody?)","","RG 12/290","73-77
"
"24","3","87","Industrial Dwellings","Juniper Street","(Peabody?)","","RG 12/290","54-73
"
"24","3","88","Industrial Dwellings","New Gravel Lane","(Peabody?)","","RG 12/289","34-36
"
"24","3","89","Industrial Dwellings","Shadwell High Street","(Peabody?)","","RG 12/289","30-39
"
"24","3","90","Industrial Dwellings","West Gardens","(Peabody?)","","RG 12/289","31-34
"
"24","3","91","Island Lead Mills","Commercial Road East","","","RG 12/295","127
"
"24","3","92","Island Row","Commercial Road East","","","RG 12/295","115-116
"
