"8","5","1","Macclesfield Place","York Road","","","RG 12/232","130-132
"
"8","5","80","Nicholls Buildings","Playhouse Yard","","empty, Nicholls Buildings, Nicholls Buildings","RG 12/233","73
"
"8","5","81","Noble Street","Ann Street","","","RG 12/224","111-119
"
"8","5","82","Noble Street","Goswell Road now Bastwick Street","","
","Norman Buildings","Mitchell Street"
"8","5","83","Norman Buildings","Mitchell Street","","1","RG 12/232","58, 73
"
"8","5","84","Norman Buildings","Mitchell Street","","11-33 Odd","RG 12/232","60-61
"
"8","5","85","Norman Buildings","Mitchell Street","","2-10 consecutively","RG 12/232","58-60
"
"8","5","86","Norman Buildings","Mitchell Street","","pt 7 Odd","RG 12/232","64
"
"8","5","87","Norman Buildings","Mitchell Street","14-20 Even unoccupied","22-40 Even","RG 12/232","84-86
"
"8","5","88","Norman Street","Helmet Row","","1-9 Odd","RG 12/232","83-84
"
"8","5","89","Norman Street","Helmet Row","","2 Even","RG 12/232","74
"
"8","5","90","Norman Street","Helmet Row","","4-10 Even","RG 12/232","61-62
"
"8","5","91","Norman Street","Helmet Row","","pt 8 Even","RG 12/232","64
"
"8","5","92","Normans Court","Normans Buildings","","","RG 12/232","86
"
"8","5","93","North Avenue","Winchester Street","","","RG 12/227","111-115
"
"8","5","94","North Mews","Little James Street","","","RG 12/219","86
"
"8","5","95","North Street","Pentonville Road","Upper North Street in ISLINGTON District","","RG 12/227","104-111
"
"8","5","96","North Street","Theobalds Road","","18-22 pt","RG 12/218","72-74
"
"8","5","97","North Street","Theobalds Road","","2-15","RG 12/218","82-88
"
"8","5","98","North Street","Theobalds Road","","23-36","RG 12/218","74-82
"
"8","5","99","North Street","Theobalds Road","","Old, North Street","RG 12/218","142-143
"
"8","5","100","North Street","Theobalds Road","","pt, North Street, 22","RG 12/218","104
"
"8","5","101","North Street","Theobalds Road","New 1","","RG 12/218","88
"
"8","5","102","Northampton Place","Compton Street","","","RG 12/222","91
"
"8","5","103","Northampton Road","Rosoman Street","","Even Nos","RG 12/225","104-110
"
"8","5","104","Northampton Road","Rosoman Street","","Odd Nos","RG 12/225","44-51
"
"8","5","105","Northampton Road","Rosoman Street","","Parts 26 and 28","RG 12/225","117-118
"
"8","5","106","Northampton Road","Rosoman Street","","Surprise Public House, Northampton Road","RG 12/225","104
"
"8","5","107","Northampton Row","Exmouth Street","","","RG 12/225","53-55
"
"8","5","108","Northampton Square","Goswell Road","","1-7","RG 12/229","66-67
"
"8","5","109","Northampton Square","Goswell Road","","19-36","RG 12/229","67-69
"
"8","5","110","Northampton Square","Goswell Road","","8-18","RG 12/229","41-42
"
"8","5","111","Northampton Street","Compton Street","","1","RG 12/222","40
"
"8","5","112","Northampton Street","Compton Street","","2-57","RG 12/222","12-22
"
"8","5","113","Northumberland Mews","Southampton Buildings","","","RG 12/219","135
"
"8","5","114","Norway Street","Old Street","","","RG 12/233","130-131
"
"8","5","115","Oakley Crescent and Vicarage","City Road","","","RG 12/230","209
"
"8","5","116","Old Street","","","106-122 Even","RG 12/233","6-7
"
"8","5","117","Old Street","","","109-111 Odd","RG 12/232","40, 53
"
"8","5","118","Old Street","","","113-115 Odd","RG 12/232","37-38
"
