"9","5","1","Madras Place","Liverpool Road","","","RG 12/152","34-37
"
"9","5","2","Magdala Road","Dartmouth Park Hill","","","RG 12/141","27-33
"
"9","5","3","Manor Gardens","Holloway Road","was Manor Road","","RG 12/148","182-185
"
"9","5","4","Manor Terrace","","","Remainder, Manor Terrace, Manor Terrace","RG 12/177","101-103
"
"9","5","5","Manor Terrace","","later pt Leigh Road","pt, Manor Terrace, 1","RG 12/177","114
"
"9","5","6","Manor Villas","pt Hamilton Road","","","RG 12/177","110
"
"9","5","7","Manorville Road","Fairbridge Road","now Ashbrook Road","","",""
"9","5","8","Marcellus Road","Hornsey Road","including Almond Cottage f.75","","RG 12/148","70-80
"
"9","5","9","Maria Terrace","Albion Grove","","","RG 12/153","64-65
"
"9","5","10","Market Road","(Cattle Market) Caledonian Road","","Black Bull Tavern, Market Road","RG 12/159","82
"
"9","5","11","Market Road","(Cattle Market) Caledonian Road","","Cottage in Sheep Lairs","RG 12/162","84
"
"9","5","12","Market Road","(Cattle Market) Caledonian Road","","North London Cottages, Market Road","RG 12/162","78-79
"
"9","5","13","Market Road","(Cattle Market) Caledonian Road","","Two unnamed Residences","RG 12/162","78
"
"9","5","14","Market Road","(Cattle Market) Caledonian Road","","White Horse Tavern & stables, Market Road","RG 12/162","84-85
"
"9","5","15","Market Street","Caledonian Road","","","RG 12/16C","74-82
"
"9","5","16","Marquess Grove","Marquess Road","","","RG 12/164","31-32
"
"9","5","17","Marquess Road","Quadrant Road","","1-17 Odd","RG 12/171","54
"
"9","5","18","Marquess Road","Quadrant Road","","18-76 Even","RG 12/164","28-31
"
"9","5","19","Marquess Road","Quadrant Road","","19-87 Odd","RG 12/164","25-28
"
"9","5","20","Marquess Road","Quadrant Road","","2-16 Even","RG 12/171","54-55
"
"9","5","21","Marquess Road","Quadrant Road","","Marquess Tavern, Marquess Road","RG 12/171","55
"
"9","5","22","Marriott Grove","Hollingworth Street","","","RG 12/161","146-147
"
"9","5","23","Marriott Road","Hanley Road","","1-31 Odd","RG 12/147","119-120
"
"9","5","24","Marriott Road","Hanley Road","","2-30 Even","RG 12/147","120-121
"
"9","5","25","Marriott Road","Hanley Road","","32-42 Even","RG 12/147","63-64
"
"9","5","26","Marriott Road","Hanley Road","","33-43 Odd","RG 12/147","63-64
"
"9","5","27","Marriott Road","Hanley Road","","45-51 Odd","RG 12/147","64
"
"9","5","28","Martineau Road","Drayton Park","","","RG 12/177","59-60
"
"9","5","29","Mary Street","Linton Street","","","RG 12/169","93-94
"
"9","5","30","Maryborough Rod","Holloway Road","now includes Hanley Road West","1-110 consecutive","RG 12/142","126-137
"
"9","5","31","Maryborough Rod","Holloway Road","now includes Hanley Road West","111-157 Odd","RG 12/146","18-22
"
"9","5","32","Maryborough Rod","Holloway Road","now includes Hanley Road West","112-172 Even","RG 12/146","11-18
"
"9","5","33","Marylebone Street","Durham Road","later Carville Street","","RG 12/150","19-21
"
"9","5","34","Matilda Street","Richmond Road","","","RG 12/156","10-16
"
"9","5","35","Matthias Road","","North Side in SOUTH HORNSEY see Edmonton District, Hornsey S/D","","",""
"9","5","36","Matthias Road","Boleyn Road","South Side","1-105 Odd","RG 12/174","35-40
"
"9","5","37","Maude Terrace","Brandon Road","","","RG 12/159","68-69
"
"9","5","38","Maygood Street","Barnsbury Road","was Edward St","","RG 12/155","84-89
"
"9","5","39","Mayton Street","Hornsey Road","","1-23 Odd","RG 12/176","30-32
"
"9","5","40","Mayton Street","Hornsey Road","","2-34 Even","RG 12/176","32-34
"
"9","5","41","Mayton Street","Hornsey Road","","25-71 Odd","RG 12/176","59-62
"
"9","5","42","Mayton Street","Hornsey Road","","36-84 Even","RG 12/176","55-59
"
"9","5","43","Mayville Grove and Street","Woodville Road","","","RG 12/174","47-55
"
"9","5","44","Medina Grove and Road","Seven Sisters Road","","1-51","RG 12/175","172-177
"
"9","5","45","Medina Grove and Road","Seven Sisters Road","","31A","RG 12/175","182
"
"9","5","46","Medina Grove and Road","Seven Sisters Road","","Grove, Medina Grove and Road","RG 12/175","177
"
"9","5","47","Melcund Road","Horsell Road","Note: F.178 is damaged and most of Nos 49-54 are unreadable","","RG 12/17 pound","172-178
"
"9","5","48","Melinda Cottage","Maria Terrace","","","RG 12/153","65
"
"9","5","49","Mentone Road","Kelvin Road","","","RG 12/177","153-155
"
"9","5","50","Mercer Terrace","pt Archway Road","","","RG 12/142","37-38
"
"9","5","51","Mercers Road","Holloway Road","","1-39 Odd","RG 12/143","113-115
"
"9","5","52","Mercers Road","Holloway Road","","40A,41-131 Odd","RG 12/143","5-9
"
"9","5","53","Mercers Road","Holloway Road","","Even Nos","RG 12/143","122-130
"
"9","5","54","Middlesex Street","Alsen Road","","1-6","RG 12/148","113-114
"
"9","5","55","Middlesex Street","Alsen Road","","8-10","RG 12/148","126
"
"9","5","56","Middleton Road & Mews","Camden Road","","","RG 12/162","16-17
"
"9","5","57","Mildmay Avenue","Mildmay Street","","","RG 12/176","132-134
"
"9","5","58","Mildmay Grove","Newington Green Road","","1-37 Odd","RG 12/176","130-132
"
"9","5","59","Mildmay Grove","Newington Green Road","","2-40 Even","RG 12/176","127-130
"
"9","5","60","Mildmay Grove","Newington Green Road","","39-109 Odd","RG 12/174","17-21
"
"9","5","61","Mildmay Grove","Newington Green Road","","42-106 Even","RG 12/174","13-17
"
"9","5","62","Mildmay Grove","Newington Green Road","","St Judes Parsonage","RG 12/174","17
"
"9","5","63","Mildmay Grove","Newington Green Road","","pt, Mildmay Grove, 92","RG 12/174","31
"
"9","5","64","Mildmay Park","Balls Pond Road","Wesleyan Chapel House on f.13","","RG 12/174","4-13
"
"9","5","65","Mildmay Road","Newington Green","","Even Nos","RG 12/174","64-71
"
"9","5","66","Mildmay Road","Newington Green","","Odd Nos","RG 12/174","101-109
"
"9","5","67","Mildmay Street","Mildmay Park","","","RG 12/176","118-127
"
"9","5","68","Mills Buildings","Prince Edward Street","Now pt Elton Street","","",""
