"13","5","1","Magpie Alley or Court","Whitefriars Street","","unoccupied, Magpie Alley or Court","RG 12/239","2
"
"13","5","77","New Broad Street and Mews","Blomfield Street","","Blomfield House, New Broad Street and Mews","RG 12/235","176
"
"13","5","78","New Broad Street and Mews","Blomfield Street","","Blomfield House, New Broad Street and Mews","RG 12/235","176
"
"13","5","79","New Broad Street and Mews","Blomfield Street","pt 40-65 and Mews MISSING after f-176 Nos 1 and 66 not found) maybe unoccupied","2-40 pt","RG 12/235","176
"
"13","5","80","New Court","42-43 Cloth Fair","","","RG 12/237","74
"
"13","5","81","New Court","Bow Lane","","","RG 12/239","121-122
"
"13","5","82","New Court","Farringdon Street","","","RG 12/237","33-34
"
"13","5","83","New Court","Stock Exchange","","","RG 12/241","54
"
"13","5","84","New London Street","Crutched Friars","","","RG 12/240","99
"
"13","5","85","New Square","Vine Street","","","RG 12/235","m-113
"
"13","5","86","New Street","","","Little, New Street","RG 12/238","78
"
"13","5","87","New Street","","","Middle, New Street","RG 12/238","78
"
"13","5","88","New Street","Bishopsgate Street Without","","15","RG 12/235","168
"
"13","5","89","New Street","Bishopsgate Street Without","","Remainder, New Street","RG 12/235","157-159
"
"13","5","90","New Street","Gravel Lane","","","RG 12/235","14-20
"
"13","5","91","New Street","Shoe Lane","","Great, New Street","RG 12/238","74-76
"
"13","5","92","New Street Hill","Little New Street","","","RG 12/238","72
"
"13","5","93","New Street Square","Great New Street","","","RG 12/238","76-78
"
"13","5","94","New Union Street","Moor Lane","","","RG 12/236","47-53
"
"13","5","95","New Union Street","Moor Lane","","","RG 12/236","47-53
"
"13","5","96","New Zealand Avenue","Barbican","","unoccupied, New Zealand Avenue","RG 12/236","81
"
"13","5","97","Newbury Street","Cloth Fair was New Street","","","RG 12/237","62-65
"
"13","5","98","Newcastle Court","College Hill","","uninhabited, Newcastle Court","RG 12/239","159
"
"13","5","99","Newcastle Street","Farringdon Street","","","RG 12/237","31
"
"13","5","100","Newgate Street","","","","RG 12/237","40-41
"
"13","5","101","Newgate Street","","","","RG 12/239","61-62
"
"13","5","102","Newgate Street","","","","RG 12/240","129-143
"
"13","5","103","Newgate Street","","","1-9","RG 12/239","55
"
"13","5","104","Newgate Street","","","10-29","RG 12/239","58
"
"13","5","105","Newgate Street","","","52-53","RG 12/239","85-86
"
"13","5","106","Newgate Street","","","81-104","RG 12/239","60
"
"13","5","107","Newgate Street","","","Christs Hospital School, Newgate Street","RG 12/236","122-127
"
"13","5","108","Newgate Street","","","Prison, Newgate Street","RG 12/237","36-37
"
"13","5","109","Newgate Street","","114-123 unoccupied?","124-126","RG 12/237","14
"
"13","5","110","Newgate Street","","30-41 unoccupied?","42-51","RG 12/239","59
"
