"12","5","1","Maddin Road","","","1-5","RG 12/523","155
"
"12","5","2","Malham Road","Forest Hill","","1-135 odd","RG 12/525","139-145
"
"12","5","3","Malham Road","Forest Hill","","2-50, 56-70 even","RG 12/525","145-153
"
"12","5","4","Malham Road","Forest Hill","","80-112, 122-158 even","RG 12/525","145-153
"
"12","5","5","Malham Road","Oxford Terrace","","1-5","RG 12/525","149
"
"12","5","6","Mallet Road","Lewisham","","1-6A","RG 12/521","139-140
"
"12","5","7","Manor Lane","","","1-11 odd","RG 12/518","70
"
"12","5","8","Manor Lane","","","1-3 Manor Cottages, Manor Lane","RG 12/518","67-68
"
"12","5","9","Manor Lane","","","2-26 even","RG 12/518","68-70
"
"12","5","10","Manor Lane","","","Caravans and Tents","RG 12/518","70-71
"
"12","5","11","Manor Lane","","","Manor Farm and Cottages, Manor Lane","RG 12/518","68
"
"12","5","12","Manor Lane","","","The Manor Lane Rooms","RG 12/518","68
"
"12","5","13","Manor Park","","","3-61 odd","RG 12/518","74-77
"
"12","5","14","Manor Park","","","4-54 even","RG 12/518","77-79
"
"12","5","15","Manor Road","","","2-10 Brockley","RG 12/526","24-25
"
"12","5","16","Manor Road","","","Cornwall House, Manor Road","RG 12/526","51
"
"12","5","17","Manor Road","","","Deepdene, Manor Road","RG 12/526","51
"
"12","5","18","Manor Road","","","Devon House, Manor Road","RG 12/526","52
"
"12","5","19","Manor Road","","","Fairholme, Manor Road","RG 12/526","51
"
"12","5","20","Manor Road","","","Frankfurt House, Manor Road","RG 12/526","51
"
"12","5","21","Manor Road","","","Granby Mount, Manor Road","RG 12/526","51
"
"12","5","22","Manor Road","","","Manor Dale","RG 12/526","25
"
"12","5","23","Manor Road","","","Manor Mount, Manor Road","RG 12/526","52
"
"12","5","24","Manor Road","","","Netherleigh, Manor Road","RG 12/526","51
"
"12","5","25","Manor Road","","","Northumberland House, Manor Road","RG 12/526","25
"
"12","5","26","Manor Road","","","St Pauls Vicarage, Manor Road","RG 12/526","51-52
"
"12","5","27","Manor Road","","","Trefusis, Manor Road","RG 12/526","51
"
"12","5","28","Manor Road","","","Waldenshaw House, Manor Road","RG 12/526","51
"
"12","5","29","Marischal Road","","","6 Marischal House, Marischal Road","RG 12/518","110
"
"12","5","30","Marischal Road","","","7 Montague House, Marischal Road","RG 12/518","110
"
"12","5","31","Marischal Road","","","8 Sleaford House, Marischal Road","RG 12/518","110
"
"12","5","32","Marischal Road","","","Hillside, Marischal Road","RG 12/518","110
"
"12","5","33","Marischal Road","Lee","","1-9","RG 12/518","110
"
"12","5","34","Market Buildings","Lewisham High Street","","1-3","RG 12/520","109
"
"12","5","35","Marlborough Road","Lee","","1-12, 14, 16","RG 12/518","119-120
"
"12","5","36","Mayow Road","","","1-10","RG 12/523","16
"
"12","5","37","Mayow Road","","","Andros, Mayow Road","RG 12/523","84
"
"12","5","38","Mayow Road","","","Ash Lodge, Mayow Road","RG 12/523","16
"
"12","5","39","Mayow Road","","","Boxgrove House, Mayow Road","RG 12/523","13
"
"12","5","40","Mayow Road","","","Brathay Bank","RG 12/523","13
"
"12","5","41","Mayow Road","","","Brent Knoll","RG 12/523","14-15
"
"12","5","42","Mayow Road","","","Cambridge House, Mayow Road","RG 12/523","15
"
"12","5","43","Mayow Road","","","Corves Cottage, Mayow Road","RG 12/523","81
"
"12","5","44","Mayow Road","","","Crownbrook, Mayow Road","RG 12/523","15
"
"12","5","45","Mayow Road","","","Devon Lodge, Mayow Road","RG 12/523","15-16
"
"12","5","46","Mayow Road","","","Fairhi11","RG 12/523","82
"
"12","5","47","Mayow Road","","","Glenthorne, Mayow Road","RG 12/523","13-14
"
"12","5","48","Mayow Road","","","Gloucester Lodge, Mayow Road","RG 12/523","81-82
"
"12","5","49","Mayow Road","","","Gorrcood, Mayow Road","RG 12/523","82
"
"12","5","50","Mayow Road","","","Hellerlagh Lodge, Mayow Road","RG 12/523","81
"
"12","5","51","Mayow Road","","","Ifield Court","RG 12/523","13
"
"12","5","52","Mayow Road","","","Ightham, Mayow Road","RG 12/523","14
"
"12","5","53","Mayow Road","","","Kingscote, Mayow Road","RG 12/523","15
"
"12","5","54","Mayow Road","","","Kingsdown, Mayow Road","RG 12/523","84
"
"12","5","55","Mayow Road","","","Main Lodge, Mayow Road","RG 12/523","13
"
"12","5","56","Mayow Road","","","Melrose, Mayow Road","RG 12/523","81
"
"12","5","57","Mayow Road","","","Oakdale, Mayow Road","RG 12/523","81
"
"12","5","58","Mayow Road","","","Oakhurst, Mayow Road","RG 12/523","81
"
"12","5","59","Mayow Road","","","Oakwood, Mayow Road","RG 12/523","13
"
"12","5","60","Mayow Road","","","Penrose, Mayow Road","RG 12/523","84
"
"12","5","61","Mayow Road","","","Perrymount and Lodge, Mayow Road","RG 12/523","15
"
"12","5","62","Mayow Road","","","Quarrington House, Mayow Road","RG 12/523","15
"
"12","5","63","Mayow Road","","","Radnor Lodge, Mayow Road","RG 12/523","15
"
"12","5","64","Mayow Road","","","Recreation Lodge, Mayow Road","RG 12/523","85
"
"12","5","65","Mayow Road","","","St Aubyns, Mayow Road","RG 12/523","82
"
"12","5","66","Mayow Road","","","St Leonards, Mayow Road","RG 12/523","82
"
"12","5","67","Mayow Road","","","St Magnus House, Mayow Road","RG 12/523","13
"
"12","5","68","Mayow Road","","","St Margarets, Mayow Road","RG 12/523","84
"
"12","5","69","Mayow Road","","","Sedholme, Mayow Road","RG 12/523","81
"
"12","5","70","Mayow Road","","","Selwood, Mayow Road","RG 12/523","13
"
"12","5","71","Mayow Road","","","Shelford, Mayow Road","RG 12/523","82
"
"12","5","72","Mayow Road","","","Sunnyside, Mayow Road","RG 12/523","13
"
"12","5","73","Mayow Road","","","Talbot House, Mayow Road","RG 12/523","13
"
"12","5","74","Mayow Road","","","The Laurels, Mayow Road","RG 12/523","81
"
"12","5","75","Mayow Road","","","Vineyard Haven","RG 12/523","84
"
"12","5","76","Mayow Road","","","Woodside, Mayow Road","RG 12/523","81
"
"12","5","77","Meadow Bank","Honor Oak Park","","","RG 12/526","33
"
"12","5","78","Meadow View","Honor Oak Park","","","RG 12/525","99
"
"12","5","79","Meadow View","Sydenham Park Road","","","RG 12/525","26
"
"12","5","80","Meadow View","Venner Road","","","RG 12/523","99
"
"12","5","81","Meddo Grange","Lewisham Park","","","RG 12/520","190
"
"12","5","82","Medusa Road","Catford","","1-5 odd","RG 12/522","6
"
"12","5","83","Medusa Road","Catford","","2-8 even","RG 12/522","5-6-
"
"12","5","84","Merchland Road","","","1 Maycotts","RG 12/516","18
"
"12","5","85","Merchland Road","","","1-2 Brooklyn Villas, Merchland Road","RG 12/516","18
"
"12","5","86","Merchland Road","","","1-2 Chester Villas, Merchland Road","RG 12/516","19
"
"12","5","87","Merchland Road","","","1-3 Merchland Road Cottages, Merchland Road","RG 12/516","19
"
"12","5","88","Merchland Road","","","1-8, 6,7","RG 12/516","18-21
"
"12","5","89","Merchland Road","","","2 Lees Villas, Merchland Road","RG 12/516","20-21
"
"12","5","90","Merchland Road","","","2 Myskey Cottage, Merchland Road","RG 12/516","18
"
"12","5","91","Merchland Road","","","4","RG 12/516","26
"
"12","5","92","Merchland Road","","","Chestnuts, Merchland Road","RG 12/516","20
"
"12","5","93","Merchland Road","","","Myrtle Villa, Merchland Road","RG 12/516","20
"
"12","5","94","Merchland Road","","","Rose Villa, Merchland Road","RG 12/516","20
"
"12","5","95","Mercy Terrace","Ladywell Road","","1-9","RG 12/522","90-92
"
"12","5","96","Mercy Terrace","Rose Cottage","","","RG 12/522","90
"
"12","5","97","Merrott Road","","","14, 1-23 odd","RG 12/522","128-130
"
"12","5","98","Merrott Road","","","2-22 even","RG 12/522","130-131
"
"12","5","99","Merrott Road","","","27, 29","RG 12/522","131
"
"12","5","100","Merton Place","","","Burling Cottages, Merton Place","RG 12/517","107
"
"12","5","101","Merton Place","Blackheath Hill","","4-9, 11-16","RG 12/517","106-107
"
"12","5","102","Messeter Place","Footscray Road","","1-7","RG 12/516","39-40
"
"12","5","103","Miall Road","","","1-38","RG 12/523","33-38
"
"12","5","104","Miall Road","","","40-78 even","RG 12/523","38-40
"
"12","5","105","Micheldever Road","","","51 building, Micheldever Road","RG 12/519","66-68
"
"12","5","106","Micheldever Road","","","St Monica, Micheldever Road","RG 12/519","66
"
"12","5","107","Micheldever Road","Lee","","1-29, 31, 38, 40, 43, 49","RG 12/519","66-68
"
"12","5","108","Middle Park","","","1-7 House and Cottages, Middle Park","RG 12/516","68
"
"12","5","109","Middle Park","","","Parish Yard, Middle Park","RG 12/516","68-69
"
"12","5","110","Milford Terrace","Brookdale Road","","1-6","RG 12/522","22
"
"12","5","111","Mill Lane","","","1-7","RG 12/524","140
"
"12","5","112","Mill Road","","","1-2 Providence Cottages, Mill Road","RG 12/520","5
"
"12","5","113","Mill Road","","","1-3 Robinsons Cottages, Mill Road","RG 12/520","6
"
"12","5","114","Mill Road","","","1-7 North Cottages, Mill Road","RG 12/520","6-7
"
"12","5","115","Mill Road","","","1-9 Mill Cottages, Mill Road","RG 12/520","7-8
"
"12","5","116","Mill Road","","","12 Maid of the Mills, Mill Road","RG 12/520","4
"
"12","5","117","Mill Road","Loampit Vale","","","RG 12/520","4-8
"
"12","5","118","Mill Road","Willow Grove","","1-18","RG 12/520","5-6
"
"12","5","119","Mission Hall","Shrubbery Road","","","RG 12/520","23
"
"12","5","120","Mission Room","Sydenham Road","","","RG 12/524","10
"
"12","5","121","Molesworth Street","","","1-21 odd","RG 12/520","96-97
"
"12","5","122","Molesworth Street","","","2-40 even","RG 12/520","97-100
"
"12","5","123","Molesworth Street","","","23-53 odd","RG 12/520","104-106
"
"12","5","124","Molesworth Street","","","42-56 even","RG 12/520","106-107
"
"12","5","125","Molesworth Street","","","Stanhope House, Molesworth Street","RG 12/520","106
"
"12","5","126","Montague Crescent","","","8-10","RG 12/522","111-112
"
"12","5","127","Montague Crescent","","","Adstock, Montague Crescent","RG 12/522","111
"
"12","5","128","Montague Crescent","","","Clonakilty, Montague Crescent","RG 12/522","111
"
"12","5","129","Montague Crescent","","","Lastleigh, Montague Crescent","RG 12/522","111
"
"12","5","130","Montague Crescent","","","Ravenscroft, Montague Crescent","RG 12/522","111
"
"12","5","131","Montague Crescent","","","Rosslyn, Montague Crescent","RG 12/522","111
"
"12","5","132","Montague Crescent","","","The Manse, Montague Crescent","RG 12/522","112
"
"12","5","133","Montague Place","Brockley Road","","1-3","RG 12/525","139
"
"12","5","134","Montague Place","Montague Terrace","","1-22","RG 12/526","165
"
"12","5","135","Monton Road","","","1, 13, 23, 27, 29","RG 12/525","83-84
"
"12","5","136","Monton Road","","","2-32 even","RG 12/525","84-85
"
"12","5","137","Montpelier Row","","","Averstoke, Montpelier Row, Montpelier Row","RG 12/517","11
"
"12","5","138","Montpelier Row","","","Heathend, Montpelier Row, Montpelier Row","RG 12/517","12
"
"12","5","139","Montpelier Row","","","High House, Montpelier Row","RG 12/517","8
"
"12","5","140","Montpelier Row","","","Montpelier House, Montpelier Row","RG 12/517","12
"
"12","5","141","Montpelier Row","","","Montpelier Lodge, Montpelier Row","RG 12/517","11
"
