"29","8","1","Union Buildings","Union Street","","1-37","RG 12/532","59-62
"
"29","8","2","Union Street","","","1-37 Union Buildings, Union Street","RG 12/532","59-62
"
"29","8","3","Union Street","","","5-47","RG 12/532","54-59
"
"29","8","4","Union Street","","","6 Union Arms","RG 12/532","59
"
"29","8","5","Union Street","","","Topleys Stables, Union Street","RG 12/532","54
"
"29","8","6","Upper Market Street","","","1-34","RG 12/532","155
"
"29","8","7","Upper Mount Street","","","1-3 Pine Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","8","Upper Mount Street","","","1-4 Mount Terrace, Upper Mount Street","RG 12/527","14
"
"29","8","9","Upper Mount Street","","","1-5, 18-38","RG 12/527","11-14
"
"29","8","10","Upper Mount Street","","","Adela Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","11","Upper Mount Street","","","Albert Cottage, Upper Mount Street","RG 12/527","12
"
"29","8","12","Upper Mount Street","","","Alma Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","13","Upper Mount Street","","","Alton Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","14","Upper Mount Street","","","Brompton Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","15","Upper Mount Street","","","Julian Cottage, Upper Mount Street","RG 12/527","12-13
"
"29","8","16","Upper Mount Street","","","Landseer Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","17","Upper Mount Street","","","Marian Cottage, Upper Mount Street","RG 12/527","12
"
"29","8","18","Upper Mount Street","","","Myrtle Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","19","Upper Mount Street","","","Rose Cottage, Upper Mount Street","RG 12/527","12
"
"29","8","20","Upper Mount Street","","","Swiss Cottage, Upper Mount Street","RG 12/527","12
"
"29","8","21","Upper Mount Street","","","Ventnor Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","22","Upper Mount Street","","","Warwick Cottage, Upper Mount Street","RG 12/527","12
"
"29","8","23","Upper Mount Street","","","Whitewick Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","24","Upper Mount Street","","","Wyre Cottage, Upper Mount Street","RG 12/527","13
"
"29","8","25","Upper Parkdale Road","Plumstead","","1-17","RG 12/540","72-74
"
"29","8","26","Upper Woodland Terrace","","","1-26","RG 12/527","28-31
"
"29","8","27","Vicarage","Vicarage Road","","","RG 12/537","64
"
"29","8","28","Vicarage Park","Plumstead","","1-50","RG 12/538","145-150
"
"29","8","29","Vicarage Road","","","Fleetwood Lodge, Vicarage Road","RG 12/538","151
"
"29","8","30","Vicarage Road","","","Powis Lodge, Vicarage Road","RG 12/538","148-149
"
"29","8","31","Vicarage Road","","","The Vicarage, Vicarage Road","RG 12/538","150-151
"
"29","8","32","Vicarage Road","Plumstead","","18-68 even","RG 12/538","33-35
"
"29","8","33","Vicarage Road","Plumstead","","19-63B odd","RG 12/538","28-31
"
"29","8","34","Vicarage Road","Plumstead","","2-16 even","RG 12/537","63-64
"
"29","8","35","Vicarage Road","Plumstead","","65-67 odd","RG 12/538","152-153
"
"29","8","36","Vicarage Road","Plumstead","","74-118 even","RG 12/538","151-152
"
"29","8","37","Victoria Road","","","1-4 The Mews, Victoria Road","RG 12/528","31
"
"29","8","38","Victoria Road","","","1-7 Milton Terrace, Victoria Road","RG 12/528","29-30
"
"29","8","39","Victoria Road","","","19-25 odd","RG 12/528","26-27
"
"29","8","40","Victoria Road","","","26-39","RG 12/528","29-31
"
"29","8","41","Victoria Road","","","3-6 Friars Villas, Victoria Road","RG 12/528","29
"
"29","8","42","Victoria Road","","","3-8 Melita Villas, Victoria Road","RG 12/528","29
"
"29","8","43","Victoria Road","","","Erith Cottage, Victoria Road","RG 12/528","29
"
"29","8","44","Victoria Road","","","La Plata","RG 12/528","28-29
"
"29","8","45","Victoria Road","","","River View, Victoria Road","RG 12/528","29
"
"29","8","46","Victoria Road","","","The Firs, Victoria Road","RG 12/528","29
"
"29","8","47","Victoria Road","","","Victoria Cottage, Victoria Road","RG 12/528","30
"
"29","8","48","Victoria Road","","","Wothorp, Victoria Road","RG 12/528","29
"
"29","8","49","Victoria Road","Charlton","","1-18","RG 12/528","27-28
"
"29","8","50","Victoria Street","","","1-28","RG 12/534","25-28
"
"29","8","51","Villas Road","","","2-16 even","RG 12/537","64-65
"
"29","8","52","Villas Road","","","25-137 odd","RG 12/538","16-23
"
"29","8","53","Villas Road","","","34-134 even","RG 12/538","23-28
"
"29","8","54","Villas Road","Plumstead","","1-23 odd","RG 12/537","65-66
"
