"2","8","1","Ulric Place","","","1-17","RG 12/462","42-44
"
"2","8","2","Ulverscroft Road","","","2-66, 84-94 even","RG 12/470","103-107
"
"2","8","3","Ulverscroft Road","East Dulwich","","1-85 odd","RG 12/470","98-103
"
"2","8","4","Underhill Road","","","1-2 Bermuda","RG 12/472","5
"
"2","8","5","Underhill Road","","","1-2 Cambridge Villas, Underhill Road","RG 12/471","126
"
"2","8","6","Underhill Road","","","1-2 Conaught","RG 12/472","7
"
"2","8","7","Underhill Road","","","1-2 Homeleigh","RG 12/472","4
"
"2","8","8","Underhill Road","","","1-2 Thedy","RG 12/472","6
"
"2","8","9","Underhill Road","","","1-3 Cherideh","RG 12/472","7
"
"2","8","10","Underhill Road","","","1-3 Devonshire Villas, Underhill Road","RG 12/472","6-7
"
"2","8","11","Underhill Road","","","1-3 Grosvenor Villas, Underhill Road","RG 12/471","127
"
"2","8","12","Underhill Road","","","1-3 Rose Villas, Underhill Road","RG 12/471","125-126
"
"2","8","13","Underhill Road","","","1-3 Underhill Villas, Underhill Road","RG 12/472","23
"
"2","8","14","Underhill Road","","","1-4 Castalia Villas, Underhill Road","RG 12/471","127
"
"2","8","15","Underhill Road","","","1-4 St Andrews Villas, Underhill Road","RG 12/471","152-153
"
"2","8","16","Underhill Road","","","1-4 Somerfield","RG 12/472","5
"
"2","8","17","Underhill Road","","","1-6","RG 12/471","75-76
"
"2","8","18","Underhill Road","","","1-6 Richmond Terrace, Underhill Road","RG 12/471","152
"
"2","8","19","Underhill Road","","","1-6 Walter Villas, Underhill Road","RG 12/471","125
"
"2","8","20","Underhill Road","","","1-9 Adelphi Villas, Underhill Road","RG 12/471","126-127
"
"2","8","21","Underhill Road","","","1-9 Chesterfield Terrace, Underhill Road","RG 12/472","35-36
"
"2","8","22","Underhill Road","","","1-9 Cypress Terrace, Underhill Road","RG 12/472","90-91
"
"2","8","23","Underhill Road","","","17, 18","RG 12/472","6
"
"2","8","24","Underhill Road","","","Abbotsford, Underhill Road","RG 12/472","23
"
"2","8","25","Underhill Road","","","Aberfoyle, Underhill Road","RG 12/472","21
"
"2","8","26","Underhill Road","","","Allandale, Underhill Road","RG 12/472","8
"
