"17","4","78","Libra Road","Old Ford Road","","1-20","RG 12/315","136-139
"
"17","4","79","Libra Road","Old Ford Road","","21","RG 12/315","139, 166
"
"17","4","80","Libra Road","Old Ford Road","","22-92","RG 12/315","139-149
"
"17","4","81","Lingen Street","St Leonard Street","formerly Henry Street","","RG 12/319","50-54
"
"17","4","82","Lion Street","Kerbey Street","","1-9 Odd Peabody Place, Lion Street","RG 12/330","18-19
"
"17","4","83","Lion Street","Kerbey Street","","11-25 Odd","RG 12/330","16-17
"
"17","4","84","Lion Street","Kerbey Street","","2-34 Even","RG 12/330","15-18
"
"17","4","85","Lion Street","Kerbey Street","","27 Odd","RG 12/324","36
"
"17","4","86","Lochnagar Street","Brunswick Road","","","RG 12/324","105-111
"
"17","4","87","Lock Keepers Houses","","or Lodges","River Lea, Bromley Lock","RG 12/319","7
"
"17","4","88","Lock Keepers Houses","","or Lodges","River Lea, Old Ford","RG 12/318","4
"
"17","4","89","Locton Street","Parnell Road","","","RG 12/317","19-26
"
"17","4","90","Lodore Street","Grundy Street","","","RG 12/327","15-16
"
"17","4","91","Love Lane","Devons Road","Renamed Talwin Street in 1911","","RG 12/320","98-99
"
"17","4","92","Lower North Street","East India Dock Road","","1-11 Odd","RG 12/332","19-20
"
"17","4","93","Lower North Street","East India Dock Road","","13-25 Odd","RG 12/332","22-23
"
"17","4","94","Lower North Street","East India Dock Road","","27-39 Odd","RG 12/332","23-24
"
"17","4","95","Lower North Street","East India Dock Road","","Even Nos","RG 12/332","18-19
"
"17","4","96","Lumsden Street","Prestons Road","","","RG 12/333","116-118
"
