"19","5","1","Maddox Street","Regent Street","","","RG 12/68","37-42
"
"19","5","82","New Tothill Street","Victoria Street","","St Margarets Schools, New Tothill Street","RG 12/82","74
"
"19","5","83","New Yard","Broadway","","","RG 12/82","101
"
"19","5","84","Norfolk Street","North Row","","","RG 12/67","87-90
"
"19","5","85","North Audley Street","Oxford Street","","","RG 12/68","6-8, 21
"
"19","5","86","North Row and Buildings","Park Lane","","","RG 12/67","91-95
"
"19","5","87","North Street and Court","Smith Square","","","RG 12/78","34-38
"
"19","5","88","North Terrace","South Street","","","RG 12/69","109-110
"
"19","5","89","Northop Street","Park Street","formerly King Street","","RG 12/69","76-78
"
"19","5","90","Old Barrack Yard","Knightsbridge","","","RG 12/71","14-15
"
"19","5","91","Old Bond Street","Piccadilly","","1-24","RG 12/68","54-55
"
"19","5","92","Old Bond Street","Piccadilly","","25-45","RG 12/68","65-66
"
"19","5","93","Old Palace Yard","Westminster","","","RG 12/82","7-8
"
"19","5","94","Old Pye Street","St Anns Street","","34-43","RG 12/81","37-38
"
"19","5","95","Old Pye Street","St Anns Street","","Peabody Buildings, Old Pye Street","RG 12/80","95-102
"
"19","5","96","Old Pye Street","St Anns Street","","Westminster Buildings, Old Pye Street","RG 12/80","102-106
"
"19","5","97","Old Rochester Row","Grey Coat Place","","","RG 12/80","66
"
"19","5","98","Orchard Street","Victoria Street","","68-69","RG 12/81","34
"
"19","5","99","Orchard Street","Victoria Street","","Parliament Mansions","RG 12/80","102
"
"19","5","100","Orchard Street","Victoria Street","","Peabody Buildings, Orchard Street","RG 12/80","78-95
"
"19","5","101","Oxford Street","","","257-319 Odd","RG 12/67","8-9
"
"19","5","102","Oxford Street","","","297 Royal Orthopedic Hospital, Oxford Street","RG 12/67","19-20
"
"19","5","103","Oxford Street","","","321-329 Odd","RG 12/67","22
"
"19","5","104","Oxford Street","","","333-375 Odd","RG 12/67","30-31
"
"19","5","105","Oxford Street","","","383-413 Odd","RG 12/67","49
"
"19","5","106","Oxford Street","","","415-497 Odd","RG 12/67","83-85
"
"19","5","107","Oxford Street","","Duplicate Nos are New Oxford Street","","",""
"19","5","108","Oxford Street","","re-numbered after 1881","","",""
"19","5","109","Oxford Street","","see MARYLEBONE District","Even Nos","","
"
"19","5","110","Oxford Street","","see St GILES District","441-552 Consecutive","","
"
"19","5","111","Oxford Street","","see WESTMINSTER District","1-255 Odd","","
"
