"17","6","1","Paradise Cottages","Gray Street","","","RG 12/327","18-19
"
"17","6","81","Quickett Street","Arnold Road","","","RG 12/321","88-96
"
"17","6","82","Quixley Street","Prestage Street","","","RG 12/334","21-22
"
"17","6","83","Railway Street","Willis Street","","1-9","RG 12/326","4-5
"
"17","6","84","Railway Street","Willis Street","","10-53","RG 12/325","113-118
"
"17","6","85","Railways","East India Dock Rd","","Dock House, Goods Depot","RG 12/328","20
"
"17","6","86","Railways","East India Dock Road","","Pepper Warehouse, Goods Depot","RG 12/328","24
"
"17","6","87","Railways","East India Dock Road","","Poplar, Station Masters House, Railways","RG 12/332","94
"
"17","6","88","Railways","Harrow Lane","","House on Railway Bridge","RG 12/333","98
"
"17","6","89","Railways","Station Masters House","","Blackwall, Railways","RG 12/329","18
"
"17","6","90","Railways","Station Masters House","","Old Ford","RG 12/316","87
"
"17","6","91","Railways","Station Masters House, Avenue Rd","","Bow Road","RG 12/314","26
"
"17","6","92","Randalls Buildings","Canton Street","","","RG 12/330","72
"
"17","6","93","Randalls Market","Grundy Street","","","RG 12/330","38, 41, 45
"
"17","6","94","Ranwell Street","Old Ford Road","now contains Brook Street","","RG 12/316","41-46
"
"17","6","95","Raverley Street","Devons Road","","","RG 12/320","129-136
"
"17","6","96","Reeve Street","now pt of Giraud Street","","
","Reeves Road","Devons Road"
"17","6","97","Reeves Road","Devons Road","","Even Nos","RG 12/320","120-124
"
"17","6","98","Reeves Road","Devons Road","","Odd Nos","RG 12/321","4-7
"
"17","6","99","Remus Road","Monler Road","","","RG 12/317","77-79
"
"17","6","100","Reynolds Place","Lower North Street","","","RG 12/332","23
"
"17","6","101","Ricardo Street","Kerbey Street","","1-5 Odd","RG 12/330","45
"
"17","6","102","Ricardo Street","Kerbey Street","","2-4 Even","RG 12/330","45
"
"17","6","103","Ricardo Street","Kerbey Street","","6-40 Even","RG 12/329","114-116
"
"17","6","104","Ricardo Street","Kerbey Street","","9-31 Odd","RG 12/329","127-129
"
"17","6","105","Rifle Street","Morris Road","","","RG 12/323","142-144
"
"17","6","106","Rigden Street","Plimsoll Street","","","RG 12/329","91-92
"
"17","6","107","Rippoth Road","Wyke Road","Note: Enumerator put Odd Nos on Even ps. Odd Nos 1-87 and Even Nos 70 back to 2","","RG 12/318","4-12
"
"17","6","108","River Lea","","","","RG 12/317","78
"
"17","6","109","River Lea","","","","RG 12/318","4
"
"17","6","110","River Lea","","","Barges, River Lea","RG 12/328","99
"
"17","6","111","River Lea","","","Barges etc","RG 12/314","121
"
"17","6","112","River Lea","","","Bromley Lock","RG 12/319","7
"
"17","6","113","River Lea","","","Lea Conservancy House, River Lea","RG 12/320","38
"
"17","6","114","River Lea","","","Lock Keepers Lodge, River Lea","RG 12/318","4
"
"17","6","115","River Street","Devons Road","","","RG 12/323","21-23
"
"17","6","116","Robin Hood Lane","East India Dock Road","","13-77 Odd","RG 12/334","4-7
"
"17","6","117","Robin Hood Lane","East India Dock Road","","2-52 Even","RG 12/333","5-7
"
"17","6","118","Robin Hood Lane","East India Dock Road","","513-542","RG 12/333","58-60
"
"17","6","119","Robin Hood Lane","East India Dock Road","","Grosvenor Buildings, Robin Hood Lane, 437-454","RG 12/333","52-54
"
"17","6","120","Robin Hood Lane","East India Dock Road","","Johns Place and Emily Cottage, Robin Hood Lane","RG 12/328","20
"
"17","6","121","Robin Hood Lane","East India Dock Road","now contains Gloster Terrace","1-9 Odd","RG 12/328","19-20
"
"17","6","122","Roman Road","Green Street","","1-39 Odd","RG 12/268","71-73
"
"17","6","123","Roman Road","Green Street","","114-152 Even","RG 12/310","63-64
"
"17","6","124","Roman Road","Green Street","","117-337 Odd","RG 12/316","100-110
"
"17","6","125","Roman Road","Green Street","","152A-348 Even","RG 12/315","90-98
"
"17","6","126","Roman Road","Green Street","","2-112 Even","RG 12/269","4-10
"
"17","6","127","Roman Road","Green Street","","41-115 Odd","RG 12/269","10-14
"
