"21","2","74","Eagle Street","Kingsgate Street","49-51 MISSING after f 189","52-66","RG 12/218","157-161
"
"21","2","75","Endell Street","Long Acre","","1-19 Odd","RG 12/213","92-94
"
"21","2","76","Endell Street","Long Acre","","14-22 Even","RG 12/210","36-37
"
"21","2","77","Endell Street","Long Acre","","2-12 Even","RG 12/213","92-93
"
"21","2","78","Endell Street","Long Acre","","21-43 Odd","RG 12/210","34-36
"
"21","2","79","Endell Street","Long Acre","","24-26 Even","RG 12/210","89
"
"21","2","80","Endell Street","Long Acre","","47-79 Odd","RG 12/210","62-64
"
"21","2","81","Endell Street","Long Acre","","Baths, Endell Street","RG 12/210","89
"
"21","2","82","Endell Street","Long Acre","","Lying In Hospital, Endell Street","RG 12/210","36-37
"
"21","2","83","Endell Street","Long Acre","","Schools, Endell Street","RG 12/210","62
"
"21","2","84","Endell Street","Long Acre","Workhouse","St Giles Union","RG 12/211","132-146
"
"21","2","85","Feathers Court","Whetstone Park","","unoccupied, Feathers Court","RG 12/211","76
"
