"18","8","1","Underwood Place","Shepherdess Walk","","","RG 12/245","72-75
"
"18","8","78","White Cross Place","Wilson Street","","12-17","RG 12/242","126
"
"18","8","79","White Cross Place","Wilson Street","","5-11","RG 12/242","127-128
"
"18","8","80","White Cross Place","Wilson Street","","Broad Street Station Buildings, White Cross Place","RG 12/242","138-148, 153
"
"18","8","81","White Cross Place","Wilson Street","","Lees Buildings, White Cross Place","RG 12/242","126-127
"
"18","8","82","White Cross Place","Wilson Street","","South Side:, 1-22","RG 12/242","150
"
"18","8","83","White Cross Place","Wilson Street","","North Side; 1-4","RG 12/242","129-130
"
"18","8","84","White Hart Court","Hoxton Street","","1-2","RG 12/243","50
"
"18","8","85","White Hart Court","Hoxton Street","later part Redvers Street","3-5","RG 12/243","11-12
"
"18","8","86","White Horse Court","Boot Street","","","RG 12/248","19-20
"
"18","8","87","Whitfield Street","Leonard Street","","","RG 12/243","196-197
"
"18","8","88","Whitmore Road","","","1-53 Odd","RG 12/250","134-136
"
"18","8","89","Whitmore Road","","","10-60","RG 12/252","28-31
"
"18","8","90","Whitmore Road","","","2-8 Even","RG 12/251","175
"
"18","8","91","Whitmore Road","","","55 Bridge House, Whitmore Road","RG 12/250","129
"
"18","8","92","Whitmore Road","","","57-59 Odd","RG 12/250","133-134
"
"18","8","93","Wickham Street","Poole Street","","","RG 12/249","188-191
"
"18","8","94","Wilks Court and Place","Hoxton Street","","","RG 12/251","68-71
"
"18","8","95","Willow Chambers","Great Eastern Street","","","RG 12/243","124
"
"18","8","96","Willow Street","Paul Street","","Chapel Buildings and House, Willow Street","RG 12/243","124
"
"18","8","97","Willow Street","Paul Street","","Gladstone Buildings, Willow Street","RG 12/243","130-142
"
"18","8","98","Willow Street","Paul Street","","No 1 only","RG 12/243","142
"
"18","8","99","Willow Street","Paul Street","","St Agathas Buildings, Willow Street","RG 12/243","127-130
"
"18","8","100","Wilmer Gardens","Hoxton Street","","Even Nos","RG 12/251","107-119
"
"18","8","101","Wilmer Gardens","Hoxton Street","","Odd Nos","RG 12/251","178-189
"
"18","8","102","Wilmer Gardens","Hoxton Street","","pt, Wilmer Gardens, 4","RG 12/251","151
"
"18","8","103","Wilson Street","Catherine Street","","2-36 Even","RG 12/242","150
"
"18","8","104","Wilson Street","Catherine Street","","27-35 Odd","RG 12/234","19
"
"18","8","105","Wilson Street","Catherine Street","","38-54 Even","RG 12/242","130
"
"18","8","106","Wilson Street","Catherine Street","","39-57 Odd","RG 12/234","19
"
"18","8","107","Wilson Street","Catherine Street","","59-71 Odd","RG 12/242","59
"
"18","8","108","Wilson Street","Catherine Street","Much rebuilding","56-72 Even","RG 12/242","79-80
"
"18","8","109","Wilson Street","Catherine Street","now Welsh Street, Finsbury Square","1-25 Odd","RG 12/234","19
"
"18","8","110","Wiltshire Row","Bridport Place","most of f 199 is MISSING","","RG 12/249","195-199
"
"18","8","111","Wimbourne Street","New North Road","","","RG 12/244","6-14
"
"18","8","112","Windmill Street","Worship Street","now part Tabernacle Street","","",""
"18","8","113","Windsor Place","Hoxton Street","","","RG 12/243","60-61
"
"18","8","114","Windsor Street","Edward Street","now part Taplow Street","","",""
"18","8","115","Witchampton Street","Cropley Street","","","RG 12/244","110-114
"
"18","8","116","Witham Street","Hyde Road","","1-16","RG 12/250","119-121
"
"18","8","117","Witham Street","Hyde Road","was Francis Street","18-34","RG 12/250","147-149
"
"18","8","118","Wood Street","Old Street","now Singer Street","","",""
"18","8","119","Wood Street Chambers","Old Street","","","RG 12/243","205-207
"
"18","8","120","Woods Buildings","Curtain Road","later part King Johns Court","","RG 12/242","34-35
"
"18","8","121","Worgate Street","Mintern Street","","","RG 12/250","6-8
"
"18","8","122","Workhouse","","","Holborn Union Infirmary","RG 12/247","127-153
"
"18","8","123","Workhouse","213 Kingsland Road","","Shoreditch Union","RG 12/255","161-176
"
"18","8","124","Workhouse","Hoxton Street","","Infirmary, Workhouse, 204","RG 12/255","177-189
"
"18","8","125","Workhouse","Reeves Place","","Casual Wards","RG 12/251","159
"
"18","8","126","Worship Street","","","1-41 Odd","RG 12/234","30
"
"18","8","127","Worship Street","","","79-89 Odd","RG 12/242","90
"
"18","8","128","Worship Street","","","91-107 Odd","RG 12/243","189-190
"
"18","8","129","Worship Street","","2-34 Even unoccupied or","36-Even","RG 12/242","59
"
"18","8","130","Worship Street","","38-42 do not exist","56-90 Even","RG 12/242","107-109
"
"18","8","131","Worship Street","","43-61 Odd unoccupied","63-77 Odd","RG 12/242","85-86
"
"18","8","132","Worship Street","","do not exist","44-54 Even","RG 12/242","85
"
"18","8","133","Wrights Buildings","Rivington Street","empty","","RG 12/243","95
"
"18","8","134","York Street","Hackney Road","","","RG 12/254","119-125
"
