"23","7","1","St Agnes Villas & Vicarage","Kennington Park","","","RG 12/364","4
"
"23","7","75","Schools","Weston Street","","Schoolhouse","RG 12/344","189
"
"23","7","76","Schools","York Street","","Clayton Memorial Schoolhouse","RG 12/363","17
"
"23","7","77","Scovell Road","Borough Road","","222","RG 12/346","147
"
"23","7","78","Scovell Road","Borough Road","","223-235","RG 12/346","120
"
"23","7","79","Scovell Road","Borough Road","","236","RG 12/346","125
"
"23","7","80","Scovell Road","Borough Road","","237-259","RG 12/346","120-122
"
"23","7","81","Scovell Road","Borough Road","","260-261","RG 12/346","147
"
"23","7","82","Scovell Road","Borough Road","","263-293","RG 12/346","123-125
"
"23","7","83","Scovell Road","Borough Road","","263-293","RG 12/346","123-125
"
"23","7","84","Scovell Road","Borough Road","","70","RG 12/346","147
"
"23","7","85","Scovell Road","Borough Road","","71-221","RG 12/346","109-120
"
"23","7","86","Scovell Road","Borough Road","","Queens Buildings, Scovell Road, 1-69","RG 12/346","105-109
"
"23","7","87","Sedan Street","Thurlow Street","","","RG 12/358","14-18
"
"23","7","88","Shaftesbury Street","South Street","","1-17","RG 12/360","24-26
"
"23","7","89","Shaftesbury Street","South Street","","18","RG 12/360","26, 40
"
"23","7","90","Shaftesbury Street","South Street","","19-37","RG 12/360","26-28
"
"23","7","91","Shakespeare House","John Street","","","RG 12/345","17-18
"
"23","7","92","Sharsted Street","De Laune Street","","","RG 12/364","34-40
"
"23","7","93","Shipping","","","2 boats Off Bankside","RG 12/341","148-150
"
"23","7","94","Shipping","","","6 Boats in Falcon Dock","RG 12/343","39
"
"23","7","95","Shipping","","","8 Boats off Bankside etc","RG 12/343","144-123
"
"23","7","96","Short Street","Tower Street","later Emery Street","","RG 12/350","67-68
"
"23","7","97","Short Street","Walworth Road","pt Walworth Road in 1903","3 only","RG 12/366","57
"
"23","7","98","Silver Street","Orange Street","later Argent Street","","RG 12/342","122
"
"23","7","99","Silvester Buildings & Street","Tabard Street","","1-24 mixed up","RG 12/351","15-17
"
"23","7","100","Silvester Buildings & Street","Tabard Street","","1-9","RG 12/351","12
"
"23","7","101","Silvester Buildings & Street","Tabard Street","","Lodging House, Silvester Buildings & Street","RG 12/354","118-131
"
"23","7","102","Skin Market Place","Moss Alley","","","RG 12/343","72
"
"23","7","103","Smith Street","","","12-18","RG 12/360","118-119
"
"23","7","104","Smith Street","Portland Street","","1-11","RG 12/360","119-120
"
