"18","7","79","Shoreditch High Street","","","159-175","RG 12/242","23-24
"
"18","7","80","Shoreditch High Street","","","176-193","RG 12/242","31-32
"
"18","7","81","Shoreditch High Street","","","194-232","RG 12/242","44-46
"
"18","7","82","Shoreditch High Street","","","60-64","RG 12/242","14
"
"18","7","83","Shoreditch High Street","","","65-101","RG 12/242","9-11
"
"18","7","84","Shoreditch High Street","","","Stables, Shoreditch High Street","RG 12/242","14
"
"18","7","85","Shoreditch High Street","","33-57 do not exist (Railways)","58-59","RG 12/242","14
"
"18","7","86","Short Street","Hearn Street","Tabernacle Square now CloverSt","","RG 12/242","48
"
"18","7","87","Shrubland Road","Queens Road,Dalston","","1-67 consec","RG 12/255","41-49
"
"18","7","88","Shrubland Road","Queens Road,Dalston","","68-112 Even","RG 12/194","88-91
"
"18","7","89","Shrubland Road","Queens Road,Dalston","","69-99 Odd","RG 12/194","86-88
"
"18","7","90","Shrubland Road","Queens Road,Dalston","","Barracks, Shrubland Road","RG 12/194","91
"
"18","7","91","Singer Street","Old Street","see also Wood Street Chambers","","RG 12/243","205-207
"
"18","7","92","Singer Street","Old Street","was Wood Street","","RG 12/243","205
"
"18","7","93","Singleton Street","Haberdasher Street","","1-4 only","RG 12/247","46-47
"
"18","7","94","Skinner Street","","","1-2 and 69-70","RG 12/235","135
"
"18","7","95","Skinner Street","Bishopsgate Street Without","Mostly demolished part in SHOREDITCH empty for Railways","","RG 12/242","116
"
"18","7","96","Smarts Buildings","Hoxton Street","","","RG 12/251","175-176
"
"18","7","97","Socrates Place","New Inn Street","","","RG 12/242","29-30
"
"18","7","98","Spencer Street","","now Anning Street","","",""
"18","7","99","Staff Street","Catherine Street","","","RG 12/247","125
"
"18","7","100","Stean Street","Dunston Road","","68 only","RG 12/253","97
"
"18","7","101","Stean Street","Dunston Road","","Remainder, Stean Street","RG 12/253","121-126
"
"18","7","102","Stephens Mews","Hoxton Street","wrongly entered as St Stephens Mews","","RG 12/251","56-57
"
"18","7","103","Stratford Place","Ivy Lane","","","RG 12/249","31-33
"
"18","7","104","Sturt Street","Shepherdess Walk","","Even Nos","RG 12/245","129-130
"
"18","7","105","Sturt Street","Shepherdess Walk","","Odd Nos","RG 12/245","108
"
"18","7","106","Styman Street","East Road","was Park Street. Nos 30 and 40 emply on f. 88","","RG 12/247","78-80
"
"18","7","107","Suffolk Place","Batemans Row","","","RG 12/243","69-70
"
