"22","4","1","Jacob Street","Mill Street","","mixed, Jacob Street","RG 12/374","13-15
"
"22","4","2","Jacques Buildings","Vine Street","later part Bethel PIace","","RG 12/369","9
"
"22","4","3","Jamaica Road","Abbey Street","","1-75 odd","RG 12/374","120-123
"
"22","4","4","Jamaica Road","Abbey Street","","120-134 even","RG 12/376","42-43
"
"22","4","5","Jamaica Road","Abbey Street","","140-154 even","RG 12/376","47-48
"
"22","4","6","Jamaica Road","Abbey Street","","156-180 even","RG 12/376","81-82
"
"22","4","7","Jamaica Road","Abbey Street","","182-210 even","RG 12/376","99
"
"22","4","8","Jamaica Road","Abbey Street","","191-223 A odd","RG 12/375","104-105
"
"22","4","9","Jamaica Road","Abbey Street","","223-237 odd","RG 12/374","33
"
"22","4","10","Jamaica Road","Abbey Street","","4-42 even","RG 12/380","59-62
"
"22","4","11","Jamaica Road","Abbey Street","","44 even","RG 12/380","97
"
"22","4","12","Jamaica Road","Abbey Street","","46-94 even","RG 12/380","94-97
"
"22","4","13","Jamaica Road","Abbey Street","","75-99","RG 12/376","99-101
"
"22","4","14","Jamaica Road","Abbey Street","","77-79 odd","RG 12/375","5
"
"22","4","15","Jamaica Road","Abbey Street","","81 odd","RG 12/375","23
"
"22","4","16","Jamaica Road","Abbey Street","","83-191 odd","RG 12/375","39-43
"
"22","4","17","Jamaica Road","Abbey Street","","94A-96 even","RG 12/375","109
"
"22","4","18","Jamaica Road","Abbey Street","","98-116 even","RG 12/376","11
"
"22","4","19","Jamaica Road","Abbey Street","","Drill Hall, Jamaica Road","RG 12/380","59
"
"22","4","20","Jamaica Road","Abbey Street","","Russell Scott buildings, 1-74","RG 12/376","122-128
"
"22","4","21","Jamaica Road","Abbey Street","","St James Lodge, Jamaica Road","RG 12/375","109
"
"22","4","22","James Place","Salisbury Street","later part Janeway Street in 1904","","RG 12/375","70-71
"
"22","4","23","Javens Buildings","King Street","","1-8 (King Street)","RG 12/371","90-91
"
"22","4","24","Javens Buildings","King Street","","17-20 (John Street)","RG 12/371","92
"
"22","4","25","Javens Buildings","King Street","","9-16 (King Street)","RG 12/371","91-92
"
"22","4","26","John Street","Old Kent Road","","13-24","RG 12/371","95-96
"
"22","4","27","John Street","Old Kent Road","","28-42","RG 12/371","92-94
"
"22","4","28","John Street","Old Kent Road","","Defoe House, John Street","RG 12/345","18-19
"
"22","4","29","John Street","Old Kent Road","","Drummond House, John Street","RG 12/345","18
"
"22","4","30","John Street","Old Kent Road","","Javin Buildings, John Street","RG 12/371","92
"
"22","4","31","John Street","Old Kent Road","","Milton House, John Street","RG 12/345","20-21
"
"22","4","32","John Street","Old Kent Road","","Shakespeare House, John Street","RG 12/345","17-18
"
"22","4","33","John Street","Old Kent Road","","Spencer House, John Street","RG 12/345","20
"
"22","4","34","John Street","Old Kent Road","","Wordsworth House, John Street","RG 12/345","19-20
"
"22","4","35","John Street","Old Kent Road","later Leroy Street","1-10","RG 12/345","16-17
"
"22","4","36","John Street","St Thomas Street","now Fenning Street","","",""
"22","4","37","Johns Court","Queen Elizabeth Street","later Epsom Court","missing after f 135","RG 12/368","
"
"22","4","38","Johns Place","Grange Road","later Woods Place","","RG 12/371","117-119
"
"22","4","39","Johns Place","Spa Road","later Marshall Place","","RG 12/380","13-15
"
"22","4","40","Joiner Place","Jacob Street","","","RG 12/374","16
"
"22","4","41","Joiner Street","St Thomas Street","","","RG 12/368","41
"
"22","4","42","Jolly Sailor Cottages or Place","Lower Road","","","RG 12/383","33
"
"22","4","43","Keetons Road","Jamaica Road","","even nos","RG 12/376","48-59
"
"22","4","44","Keetons Road","Jamaica Road","","odd numbers","RG 12/376","74-81
"
"22","4","45","Kenning Street","Swan Lane","","","RG 12/381","75-77
"
"22","4","46","Kinburn Street","Wyndham Street","","","RG 12/381","33-35
"
"22","4","47","King Street","Bermondsey New Road","","16-36","RG 12/371","100-102
"
"22","4","48","King Street","Bermondsey New Road","","Javens Buildings, King Street","RG 12/371","90-92
"
"22","4","49","King Street","Bermondsey New Road","later part Leroy Street","1-5","RG 12/371","90
"
"22","4","50","King Street","Rotherhithe Street","","17-30","RG 12/384","123-125
"
"22","4","51","King Street","Rotherhithe Street","later Fulford Street","1-14","RG 12/384","125-127
"
"22","4","52","Kings Arms Place","Hickmans Folly","","","RG 12/374","62-63
"
"22","4","53","Kings Head Court","Long Lane","","","RG 12/370","76
"
"22","4","54","Kings Place","Crosby Row","now part Porlock Place","","",""
"22","4","55","Kings Row","Shad Thames","now part Lafone Street","","",""
"22","4","56","Kinross Street","Tanner Street","was Georges Place","","RG 12/373","6-12
"
"22","4","57","Kintore Street","Grange Road","was Thomas Street","","RG 12/372","41-43
"
"22","4","58","Kipps Gateway","Bermondsey Street","","","RG 12/373","16
"
"22","4","59","Kirby Street","Snows Fields","contains Palmers Rents","","RG 12/370","46-50
"
"22","4","60","Lafone Street","Shad Thames","was Kings Row and Queen Street","","RG 12/368","112-119
"
"22","4","61","Lamb Alley","Bermondsey Street","","","RG 12/370","66-67
"
"22","4","62","Larnaca Street","Matlby Street","","","RG 12/373","109-116
"
"22","4","63","Lavender Lane","Rotherhithe Street","","East Side 1-5","RG 12/381","140-141
"
"22","4","64","Lavender Lane","Rotherhithe Street","","West Side 1-2","RG 12/381","141
"
"22","4","65","Laxon Court","Long Lane","","","RG 12/370","143-144
"
"22","4","66","Laxon Street","Long Lane","","3 houses and School, Laxon Street","RG 12/370","126-127
"
"22","4","67","Layard Road","Drummond Road","","even numbers","RG 12/377","7-10
"
"22","4","68","Layard Road","Drummond Road","","odd numbers","RG 12/376","142-146
"
"22","4","69","Leather Market Keepers House","","","","RG 12/370","64
"
"22","4","70","Limasol Street","Neckinger","was Hanover Street","","RG 12/372","77-80
"
"22","4","71","Linsey Grove","Linsey Street","","","RG 12/377","92-93
"
"22","4","72","Linsey Street","Southwark Park Road","","1-5 odd","RG 12/375","136
"
"22","4","73","Linsey Street","Southwark Park Road","","11 odd","RG 12/377","86
"
"22","4","74","Linsey Street","Southwark Park Road","","13-59 odd","RG 12/377","82-86
"
"22","4","75","Linsey Street","Southwark Park Road","","2 even","RG 12/375","136
"
"22","4","76","Linsey Street","Southwark Park Road","","28-66 even","RG 12/377","90-94
"
"22","4","77","Linsey Street","Southwark Park Road","","61-67 odd","RG 12/377","80
"
"22","4","78","Linsey Street","Southwark Park Road","","8-26 even","RG 12/377","86-88
"
"22","4","79","Litlington Street","Southwark Park Road","was Carline Crescent","","RG 12/383","140-145
"
"22","4","80","Little Charlotte Row","Nelson Road","now part Lockyer Street","","",""
"22","4","81","Little Maze Court","Maze Pond","see also Great","","RG 12/368","11
"
"22","4","82","Llewellyn Grove","Jamaica Road","","","RG 12/375","34-35
"
"22","4","83","Lockwood Road","Southwark Park Road","","1-13 odd","RG 12/376","106-107
"
"22","4","84","Lockwood Road","Southwark Park Road","","2-20 even","RG 12/376","133-134
"
"22","4","85","Lockyer Street","Nelson Street","was Little Charlotte Row, West Street and Place","","RG 12/370","115-119
"
"22","4","86","Loftie Street","New Church Street","was Ann Place and Terrace and Henry Street","","RG 12/375","11-13
"
"22","4","87","London Bridge Tavern","Borough High Street","","","RG 12/368","39
"
"22","4","88","London Street","","","18","RG 12/374","9-10, 17
"
"22","4","89","London Street","","","33 *?","RG 12/374","7
"
"22","4","90","London Street","","","Mission Hall, London Street","RG 12/374","7
"
