"11","1","77","Allen Street","Hercules Buildings","called Centaur Street in 1906; Missing numbers due to railways","10-18","RG 12/391","85-86
"
"11","1","78","Allington Street","Cornwall Road","","","RG 12/410","124-128
"
"11","1","79","Alma Cottage","Landor Road","","","RG 12/409","30
"
"11","1","80","Alma Terrace","Flaxman Road","later Redan Terrace","","RG 12/406","62-65
"
"11","1","81","Almshouses:","","","City of London, Ferndale Road","RG 12/408","125-127
"
"11","1","82","Almshouses:","","","Fentiman Road & Stanley Place, Almshouses:","RG 12/399","153
"
"11","1","83","Almshouses:","","","Greshams, Ferndale Road","RG 12/408","125
"
"11","1","84","Almshouses:","","","Rogers, Ferndale Road","RG 12/408","125
"
"11","1","85","Almshouses:","","","St Saviours, Hamilton Road","RG 12/418","27-28
"
"11","1","86","Almshouses:","","","Trinity Asylum, Acre Lane","RG 12/407","122-123
"
"11","1","87","Andalus Road","Landor Road","","","RG 12/409","62-68
"
"11","1","88","Andersons Walk","Vauxhall Walk","","13","RG 12/392","147-148
"
"11","1","89","Andersons Walk","Vauxhall Walk","","14-20","RG 12/392","134-135
"
"11","1","90","Andersons Walk","Vauxhall Walk","","21-28","RG 12/392","105-107
"
"11","1","91","Andersons Walk","Vauxhall Walk","1-6 do not exist","7-12","RG 12/392","135-136
"
"11","1","92","Angell Park Gardens","Wiltshire Road","","","RG 12/416","99-100
"
"11","1","93","Angell Road","Brixton Road","","1-89 odd","RG 12/416","62-65
"
"11","1","94","Angell Road","Brixton Road","","2-72 even","RG 12/416","65-68
"
"11","1","95","Angell Road","Brixton Road","","74-92 even","RG 12/416","98-99
"
"11","1","96","Angell Road","Brixton Road","","91-117 odd","RG 12/416","85-86
"
"11","1","97","Anne Street","Waterloo Road","called Boyce Street in 1911; Missing numbers demolished for railways","","RG 12/389","126-129
"
"11","1","98","Anns Place","Robsart Street","","","RG 12/405","82-83
"
"11","1","99","Anstey Road","Herne Hill Road","","","RG 12/416","13-16
"
"11","1","100","Antelope Passage","Ingleton Street","","","RG 12/405","90
"
"11","1","101","Appach Road","Josephine Avenue","","","RG 12/411","100-105
"
"11","1","102","Approach Road","Tulse Hill Station","","","RG 12/417","102-103
"
"11","1","103","Apsley House & Villas","","Landor or Lingham Road missing from f 172 RG 12/405","","",""
"11","1","104","Archbishops Place","Somers Road","","","RG 12/412","22-28
"
"11","1","105","Archer Street","South Lambeth Road","","","RG 12/399","184-185
"
"11","1","106","Ardville Road & House","Effra Road","called Rushcroft Road in 1905","","RG 12/414","27-29
"
"11","1","107","Arklow Terrace","part Paget Road","","","RG 12/417","153
"
"11","1","108","Arlesford Road","Landor Road","","","RG 12/406","21-27
"
"11","1","109","Arley Villa","Heatherington Road","","","RG 12/408","81
"
"11","1","110","Arlingford Road","Tulse Hill","","1-13 odd","RG 12/412","66-67
"
"11","1","111","Arlingford Road","Tulse Hill","","15-75 odd","RG 12/412","44-50
"
"11","1","112","Arlingford Road","Tulse Hill","","2-18 even","RG 12/412","66
"
"11","1","113","Arlingford Road","Tulse Hill","","20-86 even","RG 12/412","44-51
"
"11","1","114","Arnolds Cottages","James Street","1-4? missing after f 146 RG 12/389","","",""
"11","1","115","Arthur Road","Mostyn Road","","1-49 odd","RG 12/405","10-12
"
"11","1","116","Arthur Road","Mostyn Road","","51 odd","RG 12/405","19
"
"11","1","117","Arthur Road","Mostyn Road","","53-69 odd","RG 12/405","9-10
"
"11","1","118","Arthur Road","Mostyn Road","","71 odd","RG 12/405","33
"
