"18","5","79","New North Road","","","59-67 Odd","RG 12/246","47
"
"18","5","80","New North Road","","","62-64 Even","RG 12/249","116
"
"18","5","81","New North Road","","","66-110 Even","RG 12/249","132-134
"
"18","5","82","New North Road","","","69-79 Odd","RG 12/246","29
"
"18","5","83","New North Road","","","8-22 Even","RG 12/249","38-39
"
"18","5","84","New North Road","","","81-119 Odd","RG 12/246","4-6
"
"18","5","85","New North Road","","","pt 6 Even","RG 12/249","54
"
"18","5","86","Newsoms Buildings","Curtain Road","","","RG 12/242","49-50
"
"18","5","87","Newton Street","St Johns Road","","","RG 12/250","25-35
"
"18","5","88","Nicholas Street","New North Road","","1-40 pt","RG 12/249","95-101
"
"18","5","89","Nicholas Street","New North Road","","41-51","RG 12/249","101-102
"
"18","5","90","Nicholas Street","New North Road","","52-100","RG 12/249","108-116
"
"18","5","91","Nicholas Street","New North Road","","pt, Nicholas Street, 40","RG 12/249","102
"
"18","5","92","Nicholl Street","Whiston Street","","1-8 East Side","RG 12/254","17
"
"18","5","93","Nicholl Street","Whiston Street","","pt 7 East Side","RG 12/254","12
"
"18","5","94","Nicholl Street","Whiston Street","1-6 West Side and Vine Cottge","","RG 12/254","48-49
"
"18","5","95","Nichols Square","Hackney Road","","1-12","RG 12/252","84-86
"
"18","5","96","Nichols Square","Hackney Road","","20-87","RG 12/252","77-83
"
"18","5","97","Nichols Square","Hackney Road","","88-115","RG 12/252","86-89
"
"18","5","98","Nichols Square","Hackney Road","","St Chads Vicarage, Nichols Square","RG 12/252","84
"
"18","5","99","Nil Street","Alma Street","","","RG 12/249","69
"
"18","5","100","Nile Street","East Road","","1-29 Odd","RG 12/245","65-67
"
"18","5","101","Nile Street","East Road","","2-34 Even","RG 12/245","83-85
"
"18","5","102","Nile Street","East Road","","31-37 Odd","RG 12/245","53
"
"18","5","103","Nile Street","East Road","","36-42 Even","RG 12/245","92
"
"18","5","104","Nile Street","East Road","","39-57 Odd","RG 12/245","29
"
"18","5","105","Nile Street","East Road","","46-60 Even","RG 12/245","49-50
"
"18","5","106","Nile Street","East Road","","59-71 Odd","RG 12/246","82-83
"
"18","5","107","Nile Street","East Road","","62-86 Even","RG 12/246","106-107
"
"18","5","108","Nile Street","East Road","","73-77 Odd","RG 12/246","69-70
"
