"17","5","1","Malmesbury Road","Coborn Road","","","RG 12/314","60-77
"
"17","5","78","Monier Road","Wick Lane","","","RG 12/318","30-48
"
"17","5","79","Montague Place","Newby Place","","","RG 12/332","94-96
"
"17","5","80","Montague Place","West Ferry Road","","","RG 12/334","61
"
"17","5","81","Montague Place","pt Cahir Street","","","RG 12/335","18-19
"
"17","5","82","Monteith Road","Old Ford Road","","","RG 12/317","38-42
"
"17","5","83","Morant Street","Birchfield Street","","","RG 12/331","110-119
"
"17","5","84","Mornington Road","Bow Road","","1-26","RG 12/321","66-68
"
"17","5","85","Mornington Road","Bow Road","","St Georges Terrace, Mornington Road","RG 12/321","68
"
"17","5","86","Mornington Road","Bow Road","","St Leonards Terrace, Mornington Road","RG 12/321","68-69
"
"17","5","87","Morris Road","Chrisp Street","","1-23 Odd","RG 12/323","139-142
"
"17","5","88","Morris Road","Chrisp Street","","2-22 Even","RG 12/323","139-142
"
"17","5","89","Morris Road","Chrisp Street","","24-42 Even","RG 12/323","102-104
"
"17","5","90","Morris Road","Chrisp Street","","25 Odd","RG 12/323","102
"
"17","5","91","Morris Road","Chrisp Street","","27-39 Odd","RG 12/323","101-102
"
"17","5","92","Morris Road","Chrisp Street","","41-43 Odd","RG 12/323","103-104
"
"17","5","93","Morris Road","Chrisp Street","","Dry Granary Works, Morris Road","RG 12/323","104
"
"17","5","94","Morris Road","Chrisp Street","","Vicarage and Church House, Morris Road","RG 12/323","142
"
"17","5","95","Morville Street","Tredegar Road","","1-87 Odd","RG 12/314","158-163
"
"17","5","96","Morville Street","Tredegar Road","","2 Even","RG 12/314","158
"
"17","5","97","Morville Street","Tredegar Road","","4-48 Even","RG 12/314","163-166
"
"17","5","98","Morville Street","Tredegar Road","","50-64 Even","RG 12/314","169-170
"
"17","5","99","Morville Street","Tredegar Road","","89-133 Odd","RG 12/314","166-169
"
"17","5","100","Mostyn Road","Tredegar Road","St Stephens Vicarage on f.155 Mostyn Villas now part of Ordell Road","","RG 12/314","152-158
"
"17","5","101","Myrtle Cottages","Bath Place","","","RG 12/332","89
"
"17","5","102","Nairn Street","Abbott Road","","","RG 12/326","145-152
"
"17","5","103","Nankin Street","Pekin Street","","","RG 12/330","68
"
"17","5","104","Naval Row","Brunswick Street","","1-7 Odd","RG 12/334","7
"
"17","5","105","Naval Row","Brunswick Street","","2-28 Even","RG 12/334","9-10
"
"17","5","106","Naval Row","Brunswick Street","","9 Odd","RG 12/334","9
"
"17","5","107","Naval Row","Brunswick Street","","South, Naval Row, 1-7","RG 12/334","10-11
"
"17","5","108","Nelson Court and Street","Empson Street","now called Favonia Street","","",""
"17","5","109","New Road","Blackwall pt Prestons Road in 1907","","","RG 12/336","60-61
"
"17","5","110","New Street","Kerbey Street","now called Chilcot Street","","",""
"17","5","111","Newby Place","Poplar High Street","","","RG 12/332","92-96
"
"17","5","112","Newcastle Street","Manchester Road","later takes in Church Street","","RG 12/337","4
"
"17","5","113","Norfolk Street","Brunswick Street","","","RG 12/333","121-122
"
"17","5","114","Norman Road","Saxon Road","","","RG 12/314","192-197
"
"17","5","115","Norris Road","Devons Road","now contains pt Bishopgate Road","","RG 12/320","136-141
"
"17","5","116","North Street","East India Dock Road","see Lower and Upper North Streets","","",""
"17","5","117","Northumberland Street","Upper North Street","","","RG 12/331","49-58
"
"17","5","118","Nye Street","Grundy Street","","1 empty","RG 12/327","7
"
"17","5","119","Nye Street","Grundy Street","","2-8","RG 12/329","37-38
"
"17","5","120","Oban Street","Abbott Road","","","RG 12/328","73-81
"
"17","5","121","Old Ford Road","","","137-209 Odd","RG 12/267","37-43
"
"17","5","122","Old Ford Road","","","2-32 Even","RG 12/270","67-70
"
"17","5","123","Old Ford Road","","","211 Odd","RG 12/267","17
"
"17","5","124","Old Ford Road","","","213-221 Odd","RG 12/268","145
"
"17","5","125","Old Ford Road","","","223-521 Odd","RG 12/316","148-163
"
"17","5","126","Old Ford Road","","","304-362 Even","RG 12/268","142-145
"
"17","5","127","Old Ford Road","","","34-302 Even","RG 12/268","45-60
"
"17","5","128","Old Ford Road","","","35-59 Odd","RG 12/271","30-31
"
"17","5","129","Old Ford Road","","","531-571 Odd","RG 12/314","113-114
"
"17","5","130","Old Ford Road","","","606-744 Even","RG 12/316","163-170
"
"17","5","131","Old Ford Road","","","61 Odd","RG 12/271","80
"
"17","5","132","Old Ford Road","","","69-135 Odd","RG 12/268","60-64
"
"17","5","133","Old Ford Road","","","746-828 Even","RG 12/314","110-113
"
"17","5","134","Old Ford Road","","","Albert Dwellings","RG 12/314","116-117
"
"17","5","135","Old Ford Road","","","Bow Baptist Chapel House, Old Ford Road","RG 12/314","121
"
"17","5","136","Old Ford Road","","","Old Ford Railway Station House, Old Ford Road","RG 12/316","87
"
"17","5","137","Old Ford Road","","(366 entered wrongly as 336)","366-604 Even","RG 12/316","74-87
"
"17","5","138","Old Ford Road","","","1-33 Odd","RG 12/271","35-36
"
"17","5","139","Oliver Court","Bow High Street","","","RG 12/314","105-106
"
"17","5","140","Olliffe Street","Manchester Road","","","RG 12/336","87-88
"
"17","5","141","Olliffe Terrace","pt Manchester Road","","","RG 12/336","90-92
"
"17","5","142","Omnibus Yard","Bow and Bromley High Street","","","RG 12/320","33
"
"17","5","143","Orchard Place","Blackwall","","1-5 and Steam Packet PH","RG 12/329","6
"
"17","5","144","Orchard Place","Blackwall","","1-6?","RG 12/329","7-8
"
"17","5","145","Orchard Place","Blackwall","","Anns Place, Orchard Place","RG 12/329","15-16
"
"17","5","146","Orchard Place","Blackwall","","Essex Place, Orchard Place","RG 12/329","11-12
"
"17","5","147","Orchard Place","Blackwall","","Oil Mills etc","RG 12/329","14-15
"
"17","5","148","Orchard Place","Blackwall","","Orchard House Place, Orchard Place","RG 12/329","16
"
"17","5","149","Orchard Place","Blackwall","","Trinity Road and Wharves etc","RG 12/329","16-18
"
"17","5","150","Orchard Place","Blackwall","","Unnumbered, Orchard Place, Orchard Place","RG 12/329","9-10
"
"17","5","151","Orchard Road","East India Dock Road","","Orchard House only","RG 12/329","4
"
"17","5","152","Orchard Street","Orchard Place","","8-12","RG 12/329","17
"
"17","5","153","Orchard Street","Orchard Place","","Trinity Arms PH","RG 12/329","17
"
"17","5","154","Orchard Street","Orchard Place","","Wharf, Orchard Street","RG 12/329","18
"
"17","5","155","Orchard Terrace","Orwell Road","","","RG 12/320","72-73
"
"17","5","156","Ordell Road","Tredegar Road","now contains Mostyn Villas","","RG 12/314","143-148
"
"17","5","157","Oriental Street","East India Dock Road","","","RG 12/331","106-110
"
"17","5","158","Oriental Terrace","Grundy Street","","","RG 12/329","108-109
"
"17","5","159","Ormerod Street","Wick Lane","now pt Lamprell Street","","",""
"17","5","160","Orwell Road","Devons Road","","37-41","RG 12/320","73-74
"
"17","5","161","Orwell Road","Devons Road","","42-63","RG 12/320","77-80
"
"17","5","162","Orwell Road","Devons Road","","42A-43A","RG 12/320","73
"
"17","5","163","Orwell Road","Devons Road","1-27 and 31-36 do not exist","29","RG 12/320","74
"
"17","5","164","Osborne Place","Union Street","","","RG 12/332","121
"
"17","5","165","Otis Street","Hancock Road","","","RG 12/319","116-118
"
