"11","7","77","Sandmere Road","Bedford Road","","65-105 odd","RG 12/408","55-57
"
"11","7","78","Santley Street","Allardyce Street","","","RG 12/408","12-19
"
"11","7","79","Sapphire Place","York Street","","","RG 12/389","49-50
"
"11","7","80","Saunders Place","Saunders Street","","","RG 12/395","10-11
"
"11","7","81","Saunders Street","East Street","","","RG 12/395","5-10
"
"11","7","82","Saville Cottages","part Mill Lane","","","RG 12/411","70-71
"
"11","7","83","Saville Place","Lambeth Road","","1-9 odd","RG 12/391","61
"
"11","7","84","Saville Place","Lambeth Road","","10 even","RG 12/392","28-29
"
"11","7","85","Saville Place","Lambeth Road","","11 odd","RG 12/391","81
"
"11","7","86","Saville Place","Lambeth Road","","12-22 even","RG 12/392","28
"
"11","7","87","Saville Place","Lambeth Road","","13-17 odd","RG 12/391","61-62
"
"11","7","88","Saville Place","Lambeth Road","","19 odd","RG 12/391","81
"
"11","7","89","Saville Place","Lambeth Road","","2-8 even","RG 12/392","28-29
"
"11","7","90","Saville Place","Lambeth Road","","21-43 odd","RG 12/391","62-63
"
"11","7","91","Saville Place","Lambeth Road","","6A even","RG 12/392","36
"
"11","7","92","Schools","","","Acre Lane Schoolhouse","RG 12/408","5
"
"11","7","93","Schools","","","Addington Street Schoolhouse","RG 12/389","43
"
"11","7","94","Schools","","","British & Foreign Training College for Women Teachers","RG 12/405","67
"
"11","7","95","Schools","","","Cancell Road, Christchurch Schoolhouse","RG 12/404","171
"
"11","7","96","Schools","","","Canterbury Road","RG 12/416","26
"
"11","7","97","Schools","","","Church Street Kennington Schoolhouse","RG 12/399","23
"
"11","7","98","Schools","","","Crawford Street Schoolhouse","RG 12/406","189
"
"11","7","99","Schools","","","Elder Road School Lodges","RG 12/418","152, 154
"
"11","7","100","Schools","","","Hackford Road Schoolhouse","RG 12/404","94
"
"11","7","101","Schools","","","Holy Trinity, Carlisle Street","RG 12/391","126
"
"11","7","102","Schools","","","Jessop Road","RG 12/415","129
"
"11","7","103","Schools","","","Jews Hospital and Orphanage, Knights Hill Road","RG 12/417","168-175
"
"11","7","104","Schools","","","Johanna Street Schoolhouse","RG 12/390","37
"
"11","7","105","Schools","","","Lambeth Boys School","RG 12/391","112
"
"11","7","106","Schools","","","Lambeth New School, Elder Road","RG 12/419","157-167
"
"11","7","107","Schools","","","Lambeth Old School, Elder Road","RG 12/419","149-156
"
"11","7","108","Schools","","","Licensed Victuallers Orphan Schools","RG 12/402","123-129
"
"11","7","109","Schools","","","Lingham Street Schoolhouse","RG 12/405","156
"
"11","7","110","Schools","","","Loughborough College, Loughborough Road","RG 12/406","120
"
"11","7","111","Schools","","","Orphan School, Ferndale Road","RG 12/415","141-146
"
"11","7","112","Schools","","","Oval Schools missing after f 213 on","RG 12/398","
"
"11","7","113","Schools","","","Priory Grove Schoolhouse","RG 12/401","151
"
"11","7","114","Schools","","","Roupell Street Schoolhouse","RG 12/387","135
"
"11","7","115","Schools","","","St Andrews, Southwest Street Schoolhouse","RG 12/405","132-133
"
"11","7","116","Schools","","","St Barnabas, Priory Road Schoolhouse","RG 12/401","158
"
"11","7","117","Schools","","","St James, Regency Square","RG 12/398","41
"
"11","7","118","Schools","","","St Marys, Lambeth Road","RG 12/392","87
"
"11","7","119","Schools","","","South Lambeth Road Schoolhouse","RG 12/400","12
"
"11","7","120","Schools","","","Springfield School, Fountain Street","RG 12/402","69
"
"11","7","121","Schools","","","Upper Kennington Lane Schoolhouse","RG 12/398","136
"
"11","7","122","Schools","","","Walnut Tree Walk","RG 12/394","123
"
"11","7","123","Schools","","","Waterloo Road Schoolhouse","RG 12/350","59
"
"11","7","124","Schools","","","Westmorland School, Norwood Road","RG 12/417","15-16
"
"11","7","125","Schools","","","Woodland Road","RG 12/419","117
"
"11","7","126","Sea Lion Place","Cornwall road","","","RG 12/387","135
"
"11","7","127","Sellon Mews","Newport Street","","","RG 12/392","79-80
"
"11","7","128","Selsdon Road","Canterbury Grove","","","RG 12/419","15-17
"
"11","7","129","Seneca Road","Sandmere Road","","","RG 12/408","105-106
"
"11","7","130","Sewells Cottages","Sancroft Street","","","RG 12/396","74
"
"11","7","131","Shakespeare Road","Coldharbour Lane","","1-71 odd","RG 12/412","126-129
"
"11","7","132","Shakespeare Road","Coldharbour Lane","","2-84 even","RG 12/412","129-133
"
"11","7","133","Shakespeare Road","Coldharbour Lane","","73-297 odd","RG 12/414","121-134
"
"11","7","134","Shakespeare Road","Coldharbour Lane","","86-104 even","RG 12/414","135
"
"11","7","135","Shannon Grove","Tunstall Road","","","RG 12/407","84
"
"11","7","136","Shardcroft Avenue","Milkwood Road","","","RG 12/415","65
"
"11","7","137","Shepherds Place","Upper Kennington Lane","","","RG 12/398","137-140
"
"11","7","138","Shipping","","","","RG 12/397","159-167
"
"11","7","139","Shipping","On Thames between Lambeth & Vauxhall Bridges","","","RG 12/392","151
"
"11","7","140","Shipping","On Thames between Waterloo & Blackfriars Bridges","","","RG 12/388","116-128
"
"11","7","141","Shipping","On Thames between Westminster Bridge & Lambeth Bridge","","","RG 12/392","168-176
"
"11","7","142","Sidney Road","Stockwell Road","","19-65 odd","RG 12/407","56-58
"
"11","7","143","Sidney Road","Stockwell Road","","2-56 even","RG 12/405","42-45
"
"11","7","144","Sidney Road","Stockwell Road","now contains Park Place","1-17 odd","RG 12/407","41-42
"
"11","7","145","Sidwell Place","Broadwall","","","RG 12/388","29-30
"
"11","7","146","Silver Cottages","part Elm Grove","","","RG 12/418","122
"
"11","7","147","Simpson Street","Wilcox Road","","(odd numbers only from no 5)","RG 12/401","75-78
"
"11","7","148","Sitrom Place","Portland Place","","","RG 12/400","146
"
"11","7","149","Smarts Terrace","Addington Street","","","RG 12/389","45
"
"11","7","150","Smith Street","Bolton Street","","1-63 odd","RG 12/403","57-60
"
"11","7","151","Smith Street","Bolton Street","","2-60 even","RG 12/403","31-36
"
"11","7","152","Smith Street","Bolton Street","","62-84 even","RG 12/403","16-17
"
"11","7","153","Smith Street","Bolton Street","","65-97 odd","RG 12/403","15-16
"
"11","7","154","Smiths Cottages","Fairview Place","","","RG 12/411","79
"
"11","7","155","Smiths Cottages","Paddys Lane","becomes part Gilhams Cottages in 1897","","RG 12/411","44
"
"11","7","156","Smiths Place","Devonshire Street","","","RG 12/396","106-107
"
"11","7","157","Solon New Road","Bedford Road","","","RG 12/408","106-112
"
