"13","4","1","James Buildings","Hutchison Street","","","RG 12/235","14
"
"13","4","83","Leadenhall Buildings","Gracechurch Street","","","RG 12/240","120
"
"13","4","84","Leadenhall Market","","","39-47","RG 12/240","20
"
"13","4","85","Leadenhall Market","","","48-58","RG 12/240","21
"
"13","4","86","Leadenhall Market","","","59-63","RG 12/240","122
"
"13","4","87","Leadenhall Market","","","1-38","RG 12/240","120-121
"
"13","4","88","Leadenhall Street","","","104-144","RG 12/241","14, 16-17
"
"13","4","89","Leadenhall Street","","","12-35","RG 12/241","17-18
"
"13","4","90","Leadenhall Street","","","145-158","RG 12/240","119-120
"
"13","4","91","Leadenhall Street","","","36-74","RG 12/241","77-79
"
"13","4","92","Leadenhall Street","","","75-77","RG 12/241","24
"
"13","4","93","Leadenhall Street","","","78-103","RG 12/241","79-80
"
"13","4","94","Leadenhall Street","","","1-11","RG 12/240","120
"
"13","4","95","Leathersellers Buildings","London Wall","now part Copthall Avenue","","",""
"13","4","96","Leathersellers Hall","St Helens Place","","","RG 12/241","33
"
"13","4","97","Lilypot Lane","Noble Street","","1-3","RG 12/239","76
"
"13","4","98","Lilypot Lane","Noble Street","","4","RG 12/239","75
"
"13","4","99","Lilypot Lane","Noble Street","","5-8","RG 12/239","78
"
"13","4","100","Lilypot Lane","Noble Street","No 4 only is occupied","9","RG 12/239","100
"
"13","4","101","Lime Street and Square","Fenchurch Street","","1-6 unoccupied","RG 12/241","18
"
"13","4","102","Lime Street and Square","Fenchurch Street","","1-6 unoccupied","RG 12/241","18
"
"13","4","103","Lime Street and Square","Fenchurch Street","","24-39","RG 12/240","122-123
"
"13","4","104","Lime Street and Square","Fenchurch Street","","7-23 and Vestry Hall, Lime Street and Square","RG 12/240","121-122
"
"13","4","105","Lime Street and Square","Fenchurch Street","","Square, Lime Street and Square","RG 12/241","17-18
"
"13","4","106","Lime Street and Square","Fenchurch Street","40-46 do not exist","47-53","RG 12/241","17
"
"13","4","107","Lindsey Street","Long Lane","","Weyhouse unoccupied","RG 12/237","17
"
"13","4","108","Lion Inn Woodyard","Hutton Street","","","RG 12/238","61
"
"13","4","109","Little Arthur Street","","occupied parts are in HOLBORN District","All, Little Arthur Street","","
"
"13","4","110","Little Bell Alley","Telegraph Street","now part Copthall Avenue","","",""
"13","4","111","Little Bridge Street","New Bridge Street","","","RG 12/239","19
"
"13","4","112","Little Britain","Aldersgate Street","","2-32","RG 12/236","116-118
"
