"12","4","1","Jerrard Street","","","1-26","RG 12/520","76-79
"
"12","4","2","Jerrard Street","","","St Stephens Schoolhouse, Jerrard Street","RG 12/520","76
"
"12","4","3","Jews Walk","","","1 Eyre Cottage, Jews Walk","RG 12/524","70
"
"12","4","4","Jews Walk","","","13 Ellerslie","RG 12/524","69
"
"12","4","5","Jews Walk","","","3 Chesterfield Lodge, Jews Walk","RG 12/524","70
"
"12","4","6","Jews Walk","","","5 Sussex Villa, Jews Walk","RG 12/524","69-70
"
"12","4","7","Jews Walk","","","7 Moraston Lodge, Jews Walk","RG 12/524","69
"
"12","4","8","Jews Walk","","","8 Almaden","RG 12/524","69
"
"12","4","9","Jews Walk","","","9 Grove House and Lodge, Jews Walk","RG 12/524","69-70
"
"12","4","10","Jews Walk","","","Farnborough Cottage, Jews Walk","RG 12/524","70
"
"12","4","11","Jews Walk","","","Heathfield, Jews Walk","RG 12/524","69
"
"12","4","12","Jews Walk","","","Osborne House, Jews Walk","RG 12/524","70
"
"12","4","13","Jews Walk","","","West Hill, Jews Walk","RG 12/524","69-70
"
"12","4","14","John Street","","","1-10","RG 12/520","114-115
"
"12","4","15","Johns Place","Lewisham High Street","","1-7","RG 12/520","109-110
"
"12","4","16","Jutland Road","Brownhill Villas","","13","RG 12/521","118
"
"12","4","17","Jutland Road","Rushey Green","","2-30 even","RG 12/521","118-119
"
"12","4","18","Kangley Bridge Road","","","1","RG 12/524","23-26
"
"12","4","19","Kangley Bridge Road","","","1-2 Belmont Villas, Kangley Bridge Road","RG 12/524","25
"
"12","4","20","Kangley Bridge Road","","","1-2 Talbot Villas, Kangley Bridge Road","RG 12/524","25
"
"12","4","21","Kangley Bridge Road","","","1-2 Tremaine Villas, Kangley Bridge Road","RG 12/524","24
"
"12","4","22","Kangley Bridge Road","","","1-3 Acacias Villas, Kangley Bridge Road","RG 12/524","24-25
"
"12","4","23","Kangley Bridge Road","","","1-3 Clifton Villas, Kangley Bridge Road","RG 12/524","25
"
"12","4","24","Kangley Bridge Road","","","1-3 Clyde Villas, Kangley Bridge Road","RG 12/524","24
"
"12","4","25","Kangley Bridge Road","","","1-3 Glasgow Villas, Kangley Bridge Road","RG 12/524","25-26
"
"12","4","26","Kangley Bridge Road","","","1-3 Myrtle Villas, Kangley Bridge Road","RG 12/524","24
"
"12","4","27","Kangley Bridge Road","","","1-3 Niton Villas, Kangley Bridge Road","RG 12/524","23-24
"
"12","4","28","Kangley Bridge Road","","","1-4 Denmark Villas, Kangley Bridge Road","RG 12/524","23
"
"12","4","29","Kangley Bridge Road","","","1-5 Beleitha Villas, Kangley Bridge Road","RG 12/524","26
"
"12","4","30","Kangley Bridge Road","","","3","RG 12/524","28
"
"12","4","31","Kelvin Grove","","","1-15","RG 12/525","4-5
"
"12","4","32","Kelvin Grove","","","Kelvin House and The Bungalow","RG 12/525","5
"
"12","4","33","Kelvin Terrace","Sydenham Hill Road","","1-7","RG 12/524","159
"
"12","4","34","Kemble Road","","","1-29 odd","RG 12/526","70-71
"
"12","4","35","Kemble Road","","","1-33 odd R","RG 12/526","112-113
"
"12","4","36","Kemble Road","","","2-24, 64 even","RG 12/526","111-112
"
"12","4","37","Kent House Lane","","","1-2","RG 12/524","10-11
"
"12","4","38","Kent House Lane","","","1-4 Florence Villas, Kent House Lane","RG 12/524","11-12
"
"12","4","39","Kent House Lane","","","1-5 R","RG 12/524","17
"
"12","4","40","Kent House Lane","","","4","RG 12/524","29
"
"12","4","41","Kent House Lane","","","Lime Tree Cottage, Kent House Lane","RG 12/524","17
"
"12","4","42","Kent House Lane","","","Perry Cottage, Kent House Lane","RG 12/524","17
"
"12","4","43","Kent House Lane","","","Stanley House, Kent House Lane","RG 12/524","17
"
"12","4","44","Kent House Road","","","1-79 odd","RG 12/523","130-134
"
"12","4","45","Kent House Road","","","2-70 even","RG 12/523","125-130
"
"12","4","46","Kent House Road","Brosley Grove","","","RG 12/523","127
"
"12","4","47","Kent House Road","Bryden Grove","","1-6","RG 12/523","129
"
"12","4","48","Kent House Road","Hillmore Grove","","1-11","RG 12/523","127-128
"
"12","4","49","Kent Terrace","Sydenham Road","","13-21","RG 12/523","124
"
"12","4","50","Kilmore Road","","","1-15 odd","RG 12/526","128
"
"12","4","51","Kilmore Road","","","2-24 even","RG 12/526","127-128
"
"12","4","52","Kilmore Road","","","Inglesich, Kilmore Road","RG 12/526","127
"
"12","4","53","Kilmore Road","","","Norfolk Villa, Kilmore Road","RG 12/526","127
"
"12","4","54","Kimble Road","","","Burley, Kimble Road","RG 12/526","71
"
"12","4","55","Kimble Road","","","Ellersley, Kimble Road","RG 12/526","71
"
"12","4","56","Kimble Road","","","Gelnvian, Kimble Road","RG 12/526","71
"
"12","4","57","Kimble Road","","","Melrose, Kimble Road","RG 12/526","71
"
"12","4","58","Kimble Road","","","Rotherwood, Kimble Road","RG 12/526","71
"
"12","4","59","King Street","","","1-16 Albert Terrace, King Street","RG 12/516","15-16
"
"12","4","60","King Street","","","1-2 Myrtle Cottages, King Street","RG 12/517","93-94
"
"12","4","61","King Street","","","1-3, 7-59","RG 12/517","93-98
"
"12","4","62","King Street","","","60-67 (Formerly 1-15 odd Sparta Street)","RG 12/517","99
"
"12","4","63","Kings Gardens","Eltham High Street","","","RG 12/516","62
"
"12","4","64","Kinver Road North","","","1-15 odd","RG 12/524","50-51
"
"12","4","65","Kinver Road North","","","2-18 even","RG 12/524","51-52
"
"12","4","66","Kinver Road South","","","2-6, 10 even","RG 12/524","50
"
"12","4","67","Kinver Road South","","","3-13 odd","RG 12/524","50
"
"12","4","68","Kirk Yard","Eltham High Street","","1-6","RG 12/516","72
"
"12","4","69","Kirkdale","","","1-11 odd","RG 12/524","33
"
"12","4","70","Kirkdale","","","1-2 Railway Cottages, Kirkdale","RG 12/524","33
"
"12","4","71","Kirkdale","","","14-82 even","RG 12/524","72-74
"
"12","4","72","Kirkdale","","","15, 27, 33-59 odd","RG 12/524","70-72
"
"12","4","73","Kirkdale","","","29, 31 Kirkdale Nursery, Kirkdale","RG 12/524","71-72
"
"12","4","74","Kirkdale","","","4, 6,12A","RG 12/524","46-47
"
"12","4","75","Kirkdale","","","57, 59 Fir Lodge Cottage, Kirkdale","RG 12/524","70
"
"12","4","76","Kirkdale","","","84, 86, 92-102 even","RG 12/524","54-55
"
"12","4","77","Kirkdale","","","Farnborough House, Kirkdale","RG 12/524","74-75
"
