"2","2","78","Canal Bank","Albany Road","","Burtts Cottages, Canal Bank","RG 12/486","139
"
"2","2","79","Canal Bank","Albany Road","","Canal Rangers Lodge, Canal Bank","RG 12/486","110
"
"2","2","80","Canal Bank/Place","Peckham High Street","","1-11","RG 12/487","25-26
"
"2","2","81","Canal Grove","Old Kent Road","","1-9","RG 12/483","22-23
"
"2","2","82","Canal Place","Anns Terrace","","1-2","RG 12/491","59-63
"
"2","2","83","Canal Place","Peckham","","1-3","RG 12/474","5
"
"2","2","84","Canal Rangers Lodge","Canal Bank","","","RG 12/486","110
"
"2","2","85","Canal Row","Peckham","","1-6","RG 12/474","27
"
"2","2","86","Canal Street","","","1-15 mixed","RG 12/486","131-133
"
"2","2","87","Canning Passage","Grove Lane","","1-5","RG 12/466","20
"
"2","2","88","Canterbury Road","","","119-171 odd","RG 12/483","101-105
"
"2","2","89","Canterbury Road","","","154","RG 12/483","101
"
"2","2","90","Canterbury Road","","","173-197 odd","RG 12/483","90-92
"
"2","2","91","Canterbury Road","","","2-46 even","RG 12/483","132-134
"
"2","2","92","Canterbury Road","","","44A","RG 12/483","105
"
"2","2","93","Canterbury Road","Peckham","","1-115 odd","RG 12/483","126-132
"
"2","2","94","Caravans","","","122 Trafalgar Road","RG 12/491","77
"
"2","2","95","Caravans","","","Ivydale Road","RG 12/478","73
"
"2","2","96","Caravans","","","Sumner Road","RG 12/473","119
"
"2","2","97","Caravans","","","Trafalgar Road","RG 12/490","115
"
"2","2","98","Caravans","Wyndham Road","","","RG 12/462","4
"
"2","2","99","Carden Road","","","2-46 even","RG 12/478","79-80
"
"2","2","100","Carden Road","Peckham","","1-47 odd","RG 12/478","77-79
"
"2","2","101","Carew Street","","","1-15","RG 12/462","153-155
"
"2","2","102","Carew Street","","","16-22 even","RG 12/462","155
"
"2","2","103","Carlton Grove","","","2-90 even","RG 12/482","43-47
"
"2","2","104","Carlton Grove","","","41-65 odd","RG 12/481","104-105
"
"2","2","105","Carlton Grove","Queens Road","","1-39 odd","RG 12/477","7-8
"
