"26","4","72","Keswick Road","","","Fisherton, Keswick Road","RG 12/445","97
"
"26","4","73","Keswick Road","","","Grayswood, Keswick Road","RG 12/445","98
"
"26","4","74","Keswick Road","","","Holly Lodge, Keswick Road","RG 12/445","96
"
"26","4","75","Keswick Road","","","Holmstead, Keswick Road","RG 12/445","97
"
"26","4","76","Keswick Road","","","Homelea, Keswick Road","RG 12/445","98
"
"26","4","77","Keswick Road","","","Ivanhoe, Keswick Road","RG 12/445","97
"
"26","4","78","Keswick Road","","","Keswick House, Keswick Road","RG 12/445","96
"
"26","4","79","Keswick Road","","","Lagness, Keswick Road","RG 12/445","98
"
"26","4","80","Keswick Road","","","Maisonette, Keswick Road","RG 12/445","97
"
"26","4","81","Keswick Road","","","Medburn House Stables, Keswick Road","RG 12/445","95
"
"26","4","82","Keswick Road","","","Queen Anne Cottage, Keswick Road","RG 12/445","98
"
"26","4","83","Keswick Road","","","Rosebank, Keswick Road","RG 12/445","96
"
"26","4","84","Keswick Road","","","Springmere, Keswick Road","RG 12/445","97
"
"26","4","85","Keswick Road","","","Wetheral, Keswick Road","RG 12/445","96
"
"26","4","86","Keswick Terrace","Garratt Lane","","1-8","RG 12/449","5
"
"26","4","87","Khyber Road","Falcon Road, Battersea","","1-27 odd","RG 12/432","78-80
"
"26","4","88","Khyber Road","Falcon Road, Battersea","","2-46 even","RG 12/432","75-78
"
"26","4","89","Killick House and Yard","Clapham Old Town","","","RG 12/440","30
"
"26","4","90","Killieser Avenue","Sternhold Avenue, Streatham","No even numbers exist","1-55 odd","RG 12/458","104-106
"
"26","4","91","Kilton Street","Battersea Park Road","","1-69 odd","RG 12/422","36-39
"
"26","4","92","Kilton Street","Battersea Park Road","","2-74 even","RG 12/422","39-43
"
"26","4","93","Kilton Street","Battersea Park Road","","Part, Kilton Street, 60","RG 12/422","60
"
"26","4","94","King William Street","Wandsworth Road Clapham,","Later became part of Clystan Street","1-6, 1A-6A, 7-12","RG 12/441","45-46
"
"26","4","95","Kings Arms Cottages or Yard,","Wandsworth High Street","","1-3","RG 12/445","4
"
"26","4","96","Kings Head Cottage, Inn and Stables,","Park Road, Clapham","","","RG 12/443","104-105
"
"26","4","97","Kings Road","Clapham. East Side:","","","RG 12/443","159-161
"
"26","4","98","Kings Road","Clapham. East Side:","","1-3","RG 12/443","171
"
"26","4","99","Kings Road","Clapham. East Side:","","5","RG 12/443","172-176
"
"26","4","100","Kings Road","Clapham. East Side:","","Avenue House, Kings Road","RG 12/443","172
"
"26","4","101","Kings Road","Clapham. East Side:","","Domum, Kings Road","RG 12/443","173
"
"26","4","102","Kings Road","Clapham. East Side:","","Ellerslie, Kings Road","RG 12/443","174-175
"
"26","4","103","Kings Road","Clapham. East Side:","","Erewhon, Kings Road","RG 12/443","174
"
"26","4","104","Kings Road","Clapham. East Side:","","Eversley, Kings Road","RG 12/443","171
"
"26","4","105","Kings Road","Clapham. East Side:","","Fairbourn, Kings Road","RG 12/443","174
"
"26","4","106","Kings Road","Clapham. East Side:","","Glenlyn, Kings Road","RG 12/443","173
"
"26","4","107","Kings Road","Clapham. East Side:","","Glenthorn, Kings Road","RG 12/443","174
"
"26","4","108","Kings Road","Clapham. East Side:","","Haslemere, Kings Road","RG 12/443","173
"
"26","4","109","Kings Road","Clapham. East Side:","","Heidleberg, Kings Road","RG 12/443","174
"
"26","4","110","Kings Road","Clapham. East Side:","","Malvern House, Kings Road","RG 12/443","174
"
"26","4","111","Kings Road","Clapham. East Side:","","Mayfield, Kings Road","RG 12/443","175
"
"26","4","112","Kings Road","Clapham. East Side:","","Meaburn, Kings Road","RG 12/443","172
"
"26","4","113","Kings Road","Clapham. East Side:","","Oakbrook, Kings Road","RG 12/443","172
"
"26","4","114","Kings Road","Clapham. East Side:","","Oakfield, Kings Road","RG 12/443","173
"
"26","4","115","Kings Road","Clapham. East Side:","","Primrose Lodge, Kings Road","RG 12/443","173
"
"26","4","116","Kings Road","Clapham. East Side:","","Rocklands, Kings Road","RG 12/443","173
"
"26","4","117","Kings Road","Clapham. East Side:","","St Olaves, Kings Road","RG 12/443","174
"
"26","4","118","Kings Road","Clapham. East Side:","","Seacombe, Kings Road","RG 12/443","175
"
"26","4","119","Kings Road","Clapham. East Side:","","Seaford, Kings Road","RG 12/443","173
"
"26","4","120","Kings Road","Clapham. East Side:","","The Knoll, Kings Road","RG 12/443","174
"
"26","4","121","Kings Road","Clapham. East Side:","","The Radius, Kings Road","RG 12/443","175
"
"26","4","122","Kings Road","Clapham. East Side:","","Thorncliffe, Kings Road","RG 12/443","174
"
"26","4","123","Kings Road","Clapham. East Side:","","Tudor Cottage, Kings Road","RG 12/443","176
"
"26","4","124","Kings Road","Clapham. East Side:","","Waratah House, Kings Road","RG 12/443","176
"
"26","4","125","Kings Road","Clapham. East Side:","","Winthorpe, Kings Road","RG 12/443","173
"
"26","4","126","Kings Road","Clapham. West Side:","","Belvedere House, Kings Road","RG 12/443","159
"
"26","4","127","Kings Road","Clapham. West Side:","","Cherbourge House, Kings Road","RG 12/443","160
"
"26","4","128","Kings Road","Clapham. West Side:","","Dundnare, Kings Road","RG 12/443","159
"
"26","4","129","Kings Road","Clapham. West Side:","","Ferns, Kings Road","RG 12/443","161
"
"26","4","130","Kings Road","Clapham. West Side:","","Fircroft, Kings Road","RG 12/443","159
"
"26","4","131","Kings Road","Clapham. West Side:","","Heathfield, Kings Road","RG 12/443","160
"
"26","4","132","Kings Road","Clapham. West Side:","","Laieham Lea","RG 12/443","160
"
"26","4","133","Kings Road","Clapham. West Side:","","Pembrook, Kings Road","RG 12/443","159-160
"
"26","4","134","Kings Road","Clapham. West Side:","","Plantation, Kings Road","RG 12/443","159
"
"26","4","135","Kings Road","Clapham. West Side:","","Snilsfield, Kings Road","RG 12/443","159
"
"26","4","136","Kings Road","Clapham. West Side:","","Whamcliff, Kings Road","RG 12/443","160-161
"
"26","4","137","Kings Road","Clapham. West Side:","","Willowdene, Kings Road","RG 12/443","160
"
