"29","3","1","Gallions Station","Royal Albert Docks","","","RG 12/534","36
"
"29","3","86","Hardens Manorway","","","Warspite Baths, Hardens Manorway","RG 12/531","40
"
"29","3","87","Hare Street","","","1-51 odd","RG 12/532","77-78
"
"29","3","88","Hare Street","","","2-62 even","RG 12/532","66-69
"
"29","3","89","Hare Street","Mortgramit Square","","49","RG 12/532","105
"
"29","3","90","Hare Street","Myrtle Alley","","3-9","RG 12/532","71
"
"29","3","91","Harrington Buildings","Chapel Street","","1-6","RG 12/530","76
"
"29","3","92","Harrington Road","","","Longs Wharf, Harrington Road","RG 12/531","38
"
"29","3","93","Harrington Road","","","Trinity Wharf, Harrington Road","RG 12/531","38
"
"29","3","94","Harrington Road","","","Warspite Wharf, Harrington Road","RG 12/531","38
"
"29","3","95","Harrow Manor Way","Plumstead","","","RG 12/541","116
"
"29","3","96","Harts Wharf","Globe Lane","","","RG 12/532","54
"
"29","3","97","Hartville Road","","","2-48 even","RG 12/540","118-120
"
"29","3","98","Hartville Road","Plumstead","","1-35 odd","RG 12/540","115-118
"
"29","3","99","Hashgar Road","Plumstead","","","RG 12/539","59
"
"29","3","100","Hashgar Road","Standfield Estate","","","RG 12/539","59
"
"29","3","101","Heathfield Terrace","Plumstead Common","","1-6","RG 12/541","44-45
"
"29","3","102","Heavitree Road","Plumstead","","1-63 odd","RG 12/539","22-25
"
"29","3","103","Heavitree Road","Plumstead","","2-66 even","RG 12/539","18-22
"
"29","3","104","Heavitree Road","Plumstead","","65-77 odd","RG 12/540","51-52
"
"29","3","105","Heavitree Road","Plumstead","","68-74 even","RG 12/540","51
"
"29","3","106","Heavitree Road","Plumstead","","79-95 odd","RG 12/540","50-51
"
"29","3","107","Helen Street","","","9-20","RG 12/532","127-129
"
"29","3","108","Helen Street","Plumstead","","1-8","RG 12/535","44-45
"
"29","3","109","Helen Street","Stanley Cottages","","1-5","RG 12/532","128
"
"29","3","110","Henry Street","","","1-4 Thrift Cottages, Henry Street","RG 12/529","103
"
"29","3","111","Henry Street","","","1-5 Reeds Buildings, Henry Street","RG 12/530","70
"
"29","3","112","Henry Street","","","16-59","RG 12/530","69-74
"
"29","3","113","Henry Street","","","Red Barracks","RG 12/531","52-55
"
"29","3","114","Henry Street","","East","60-80","RG 12/529","98-99
"
"29","3","115","Henry Street","","West","1-15","RG 12/529","96-98
"
"29","3","116","Herbert Road","","","1-13 Paget Terrace, Herbert Road","RG 12/536","129-131
"
"29","3","117","Herbert Road","","","1-2 May Place, Herbert Road","RG 12/536","71
"
"29","3","118","Herbert Road","","","Rosslyn, Herbert Road","RG 12/536","81
"
"29","3","119","Herbert Road","Plumstead","","1-119, 133-177 odd","RG 12/536","87-94
"
"29","3","120","Herbert Road","Plumstead","","2-178, 190-224 even","RG 12/536","76-87
"
"29","3","121","Herbert Stores","Station Road","","1-2","RG 12/541","116
"
"29","3","122","Herbert Terrace","Red Lion Lane","","1-11","RG 12/536","151-152
"
"29","3","123","Hervey Road","","","1-4 Mayfield Terrace, Hervey Road","RG 12/528","86
"
"29","3","124","Hervey Road","","","1-6, 13-18 Kidbrooke","RG 12/528","85-88
"
"29","3","125","Hervey Road","","","1-8 Hervey View, Hervey Road","RG 12/528","87-88
"
"29","3","126","Hill Street","","","1-50","RG 12/530","33-38
"
"29","3","127","Hill Street","","","31 Soldiers Home","RG 12/530","36
"
"29","3","128","Hill Street","","","Kings Arms Yard, Hill Street","RG 12/530","33
"
"29","3","129","Holly Place","Plumstead Common Road","","1-5","RG 12/536","35
"
"29","3","130","Holly Terrace","Chestnut Road","","1-6","RG 12/540","43
"
"29","3","131","Holly Terrace","Plumstead Common Road","","1-4","RG 12/536","35
"
"29","3","132","Holt Terrace","Wickham Lane","","1-3","RG 12/541","39
"
"29","3","133","Homes & Refuges","Beresford Square","","85 Boys Home","RG 12/532","8-9
"
"29","3","134","Homes & Refuges","Hill Street","","31 Soldiers Home","RG 12/530","36
"
"29","3","135","Homes & Refuges","Shrewsbury Park","","Convalescent Home","RG 12/541","82
"
"29","3","136","Horsley Terrace","Chestnut Road","","1-6","RG 12/540","46
"
"29","3","137","Hospital","","","Royal Arsenal","RG 12/532","113
"
"29","3","138","Hospital","Ordnance Place","","Cottage, Hospital","RG 12/533","127
"
"29","3","139","Hospital","Shooters Hill Road","","Cottage, Hospital","RG 12/528","77
"
"29","3","140","Hospital","Shooters Hill Road","","Herbert Military","RG 12/528","100-109
"
"29","3","141","Hospital","Woolwich Common","","65Cadets","RG 12/533","105
"
"29","3","142","Howards Yard","Powis Street","","1-5","RG 12/532","105
"
"29","3","143","Hudson Road","Plumstead","","11-15","RG 12/537","109
"
"29","3","144","Hudson Road","Plumstead","","17-39 odd","RG 12/537","86-87
"
"29","3","145","Hudson Road","Plumstead","","18-146 even","RG 12/537","113-119
"
"29","3","146","Hudson Road","Plumstead","","41-115 odd","RG 12/537","119-124
"
"29","3","147","Hull Place","Plumstead High Street","","1-11","RG 12/539","42
"
"29","3","148","Ingledew Road","","","2-60 even","RG 12/540","19-22
"
"29","3","149","Ingledew Road","Plumstead","","1-59 odd","RG 12/540","16-19
"
"29","3","150","Inkerman Terrace","Church Lane","","1-10","RG 12/527","115-116
"
"29","3","151","Inverary Place","Old Mill Road","","1-8","RG 12/540","32-33
"
"29","3","152","Inverary Place","The Grange","","1-2","RG 12/540","33
"
"29","3","153","Inverness Place","Plumstead Road","","1-38","RG 12/537","60-63
"
