"23","3","1","Gable Cottages","Little Suffolk Street","","","RG 12/346","57-59
"
"23","3","78","Grotto Place","Lant Place","","Lower, Grotto Place, 1-5","RG 12/346","158
"
"23","3","79","Grotto Place","Lant Place","","Upper, Grotto Place, 1-19","RG 12/346","156-158
"
"23","3","80","Grove, The","Great Guildford Street","","","RG 12/342","124-125
"
"23","3","81","Guildford Court","Great Guildford Street","","","RG 12/342","143
"
"23","3","82","Gun Street","Friar Street","","15-43 only","RG 12/347","57-59
"
"23","3","83","Gun Street","Friar Street","becomes pt Artizan Dwellings Boyfield Street in 1909","","RG 12/347","59-64
"
"23","3","84","Gurney Street","New Kent Road","","1-41 odd","RG 12/353","123-126
"
"23","3","85","Gurney Street","New Kent Road","","2-28 even","RG 12/367","37-41
"
"23","3","86","Gurney Street","New Kent Road","","43-73 odd","RG 12/367","70-72
"
"23","3","87","Gurney Street","New Kent Road","","44 Duke of Gloucester Public House, Gurney Street","RG 12/367","48-49
"
"23","3","88","Gurney Street","New Kent Road","","46-54 even","RG 12/367","72-73
"
"23","3","89","Gurney Street","New Kent Road","","Flats, Gurney Street, 1-24","RG 12/353","121-123
"
"23","3","90","Gurney Street","New Kent Road","","Gloucester House, Gurney Street","RG 12/367","41
"
"23","3","91","Haddon House","Russell Place","","","RG 12/344","197-198
"
"23","3","92","Halpin Place","Huntsman Street","was Little Park Place","","RG 12/362","90-94
"
"23","3","93","Hamers Court","Park Street","","","RG 12/343","53
"
"23","3","94","Hampton House","Hampton Street","","","RG 12/366","36
"
"23","3","95","Hampton Street","Walworth Road","","","RG 12/366","36-40
"
"23","3","96","Hard Street","Townley Street","","","RG 12/362","120-123
"
"23","3","97","Harmers Buildings","Ayliffe Street","","","RG 12/353","40
"
"23","3","98","Harper Street","","","35-45","RG 12/353","72-73
"
"23","3","99","Harper Street","New Kent Road","","1-20","RG 12/353","59-62
"
"23","3","100","Harrow Street","","","17-284-16 empty","RG 12/346","4-5
"
"23","3","101","Harrow Street","Mint Street","","1-3","RG 12/346","36-37
"
"23","3","102","Hartington House","Mardyke Street","","","RG 12/345","148-149
"
