"16","7","1","St Albans Road","Highgate Road","","","RG 12/138","114-115
"
"16","7","2","St Albans Villas","pt Highgate Road","","","RG 12/138","50-51
"
"16","7","3","St Andrews Place","Regents Park","","1-7","RG 12/101","93-94
"
"16","7","4","St Andrews Place","Regents Park","","7A-11","RG 12/117","43-44
"
"16","7","5","St Anns Gardens","Queens Crescent","","","RG 12/134","83-86
"
"16","7","6","St Augustine Road","Cantelowes Road","","","RG 12/131","105-115
"
"16","7","7","St Chads Place","Grays Inn Road","now including Hope Passage and Fifteen Foot Lane","","RG 12/125","88-90
"
"16","7","8","St Georges Gardens","Wakefield Street","","","RG 12/124","17
"
"16","7","9","St Georges Mews","Regents Park Road","","","RG 12/118","150-151
"
"16","7","10","St Georges Road","Regents Park Road","now includes Alma Terrace","","RG 12/118","157-168
"
"16","7","11","St Georges Square","Regents Park Road","","","RG 12/118","182-185
"
"16","7","12","St Georges Terrace","Primrose Hill Road","","","RG 12/118","181-182
"
"16","7","13","St James Gardens","Queens Crescent","","","RG 12/134","62-63
"
"16","7","14","St James Gardens Lodge","Hampstead Road","","","RG 12/127","61
"
"16","7","15","St John the Evangelist Road","Burghley Road","","","RG 12/138","32-34
"
"16","7","16","St Johns Gardens","Queens Crescent","","","RG 12/134","86-88
"
"16","7","17","St Katherines Hospital, Lodge and Stables","Regents Park Outer Circle","","","RG 12/117","37-38
"
"16","7","18","St Leonards Square","Maiden Road","","","RG 12/135","26-34
"
"16","7","19","St Marks Crescent","Regents Park Road","","","RG 12/118","82-85
"
"16","7","20","St Marks Square","Albert Road","","","RG 12/118","131-132
"
"16","7","21","St Martins Place","Pratt Street","","","RG 12/129","48-50
"
"16","7","22","St Martins Place","Pratt Street","","St Martins Almshouses, St Martins Place","RG 12/213","27-31
"
"16","7","23","St Pauls Crescent","Cantelowes Road","","1-19 Odd","RG 12/131","94-95
"
"16","7","24","St Pauls Crescent","Cantelowes Road","","2-36 Even","RG 12/131","95-97
"
"16","7","25","St Pauls Crescent","Cantelowes Road","","21-37 Odd","RG 12/131","86-87
"
"16","7","26","St Pauls Mews","York Road","","","RG 12/131","168-169
"
"16","7","27","St Pauls Road","Kings Road to York Road","","1-25 Odd","RG 12/131","69-71
"
"16","7","28","St Pauls Road","Kings Road to York Road","","1-25 Odd","RG 12/131","69-71
"
"16","7","29","St Pauls Road","Kings Road to York Road","","2-58 Even","RG 12/131","71-75
"
"16","7","30","St Pauls Road","Kings Road to York Road","","27-99 Odd","RG 12/131","88-94
"
"16","7","31","St Pauls Road","Kings Road to York Road","","34A Even","RG 12/131","88
"
"16","7","32","St Pauls Road","Kings Road to York Road","","71-166 Even","RG 12/131","79-86
"
"16","7","33","St Pauls Road","Kings Road to York Road","","Sydney House, Rochester Cottage and Gothic Villa, St Pauls Road","RG 12/131","69
"
"16","7","34","St Pauls Road","Kings Road to York Road","do not exist","60-70 Even","","
"
"16","7","35","St Thomas' Gardens","Queens Crescent","","","RG 12/134","88-91
"
"16","7","36","Salters Stables","Kentish Town Road","","","RG 12/137","197
"
"16","7","37","Sandall Road","Camden Road","","","RG 12/139","90-91
"
"16","7","38","Sandall Road Mews","","","","RG 12/132","184-185
"
"16","7","39","Sandwich Street","Leigh Street","","","RG 12/122","13-26
"
"16","7","40","Savernake Road","Mansfield Rd","","","RG 12/137","154-156
"
"16","7","41","Schools","","","Boys Home Industrial School","RG 12/118","235-240
"
"16","7","42","Schools","","","Allcroft Road","RG 12/135","151
"
"16","7","43","Schools","","","Islip Street","RG 12/139","145
"
"16","7","44","Schools","","","Kings Road Board","RG 12/132","28
"
"16","7","45","Schools","","","Princes Road Board","RG 12/118","99
"
"16","7","46","Schools","","","Queens Square College","RG 12/123","53
"
"16","7","47","Schools","Arlington Street","","St Matthews, Schools","RG 12/116","108
"
"16","7","48","Schools","Bertram Street","","St Anns, Schools","RG 12/139","38-39
"
"16","7","49","Schools","Burghley Road","","School Cottage","RG 12/138","61
"
"16","7","50","Schools","Camden Street","","Schoolhouse","RG 12/130","32
"
"16","7","51","Schools","Dutton Street","","School house","RG 12/123","20
"
"16","7","52","Schools","Grays Inn Road","","Home and Colonial Training College","RG 12/125","91-93
"
"16","7","53","Schools","Hampden Street","","Schoolhouse","RG 12/127","22
"
"16","7","54","Schools","Hampstead Road","","London Charity","RG 12/127","58-59
"
"16","7","55","Schools","Hanway Place","","Schoolhouse","RG 12/121","147
"
"16","7","56","Schools","Harmood Street","","Schoolhouse","RG 12/137","48
"
"16","7","57","Schools","Holmes Road","","Schoolhouse","RG 12/137","172
"
"16","7","58","Schools","Maitland Park","","Orphan Working School","RG 12/140","176-188
"
"16","7","59","Schools","Pancras Street","","Schoolhouse","RG 12/119","150
"
"16","7","60","Schools","Polygon","","St Marys, Schools","RG 12/128","112
"
"16","7","61","Schools","Prince of Wales Road","","Camden for Girls","RG 12/133","105
"
"16","7","62","Schools","Queens Crescent","","Board Schoolhouse","RG 12/136","156
"
"16","7","63","Schools","Regents Park Road","","Boys Home Industrial","RG 12/118","235-240
"
"16","7","64","Schools","The Grove","","Fitzroy Lodge","RG 12/139","64-65
"
"16","7","65","Schools","Truro Street","","Ragged School","RG 12/134","27
"
"16","7","66","Seaford Street","Sidmouth Street","","","RG 12/123","141-143
"
"16","7","67","Seaton Street","Hampstead Road","was Henry Street","1-15","RG 12/116","138-143
"
"16","7","68","Seaton Street","Hampstead Road","was Henry Street","22-28","RG 12/118","3-4
"
"16","7","69","Seaton Street","Hampstead Road","was Henry Street","30-45","RG 12/116","144-149
"
"16","7","70","Seaton Street","Hampstead Road","was Henry Street","Cornelius Place, Seaton Street","RG 12/116","137-138, 147
"
"16","7","71","Seaton Street","Hampstead Road","was Henry Street","pts 3 and 13A","RG 12/116","149
"
"16","7","72","Seaton Street","Hampstead Road","was Henry Street","pts 34-35 and 42","RG 12/116","149
"
"16","7","73","Serpentine Road","Park Village East","","","RG 12/117","9-10
"
"16","7","74","Seymour Row","Seymour Street","","","RG 12/128","5-8
"
"16","7","75","Seymour Street","Euston Road","","1-25 Odd","RG 12/128","4-5
"
"16","7","76","Seymour Street","Euston Road","","189-221 Odd","RG 12/128","44-47
"
"16","7","77","Seymour Street","Euston Road","","2-32 Even","RG 12/128","14-16
"
"16","7","78","Seymour Street","Euston Road","","27-31 Odd","RG 12/128","44
"
"16","7","79","Seymour Street","Euston Road","","34-204 Even","RG 12/128","57-67
"
"16","7","80","Seymour Street","Euston Road","","Railway Clearing House, Seymour Street","RG 12/128","44
"
"16","7","81","Sharpies Hall Street and Yard","Regent Park Road","","","RG 12/118","175-178
"
"16","7","82","Shipton Place","Malden Road","was Whitefield Street","","RG 12/135","14
"
"16","7","83","Shirlock Road","Mansfield Road","","","RG 12/137","105-113
"
"16","7","84","Shropshire Place","Pancras Street","MISSING after f 183","","RG 12/119","
"
"16","7","85","Sidmouth Street and Mews","Grays Inn Road","","","RG 12/123","129-141
"
"16","7","86","Sidney Buildings","Churchway","MISSING after f.223","","RG 12/127","
"
"16","7","87","Sidney Street","Clarendon Street","","","RG 12/128","161-172
"
"16","7","88","Somerset Terrace","Dukes Road","","","RG 12/119","66-67
"
"16","7","89","South Crescent Mews","Burton Crescent","","","RG 12/119","27-29
"
"16","7","90","South Grove","Highgate High Street","","1-17?","RG 12/139","48-50
"
"16","7","91","South Grove","Highgate High Street","","18-54","RG 12/139","53
"
"16","7","92","South Place","Euston Road","","","RG 12/119","65
"
"16","7","93","South Villas","Camden Square","","","RG 12/131","165-168
"
"16","7","94","Southampton Buildings","Euston Road","now part Euston Buildings","","RG 12/127","115-117
"
"16","7","95","Southampton Court","Tottenham Court Road","now part Beaumont PIace","","",""
"16","7","96","Southampton Lodge and Stables","Fitzroy Park","","","RG 12/139","65-66
"
"16","7","97","Southampton Road","Maitland Park Road","","1-21 Odd","RG 12/135","100-102
"
"16","7","98","Southampton Road","Maitland Park Road","","2-94 Even","RG 12/135","92-99
"
"16","7","99","Southampton Road","Maitland Park Road","","22A Even","RG 12/135","102
"
"16","7","100","Southampton Road","Maitland Park Road","","27-43 Odd","RG 12/109","53-54
"
"16","7","101","Southampton Road","Maitland Park Road","","St Dominies Priory, Southampton Road","RG 12/135","100
"
"16","7","102","Southampton Road","Maitland Park Road","","St Pancras Almshouses, Southampton Road","RG 12/135","99-100
"
"16","7","103","Southampton Street","Euston Road","pt 9, 11 and 13 wrongly entered as London Street","","",""
"16","7","104","Southampton Street","Euston Road","pt 9, 11 and 13 wrongly entered as London Street","1-35 Odd","RG 12/120","92-94
"
"16","7","105","Southampton Street","Euston Road","pt 9, 11 and 13 wrongly entered as London Street","2-24 Even","RG 12/120","89-92
"
"16","7","106","Southampton Street","Euston Road","pt 9, 11 and 13 wrongly entered as London Street","26 Even","RG 12/120","24-25
"
"16","7","107","Southampton Street","Euston Road","pt 9, 11 and 13 wrongly entered as London Street","37-39 Odd","RG 12/120","25
"
"16","7","108","Southampton Villas","Millfield Lane","","","RG 12/139","43
"
"16","7","109","Speedy Place","Cromer Street","","","RG 12/123","28-30
"
"16","7","110","Speldhurst Grove","Hastings Street","","26-27 only","RG 12/122","76
"
"16","7","111","Spencer Road","Dartmouth Park Hill","","pt, Spencer Road, 32","RG 12/140","123
"
"16","7","112","Spencer Road","Dartmouth Park Hill","Remainder","","RG 12/140","112-123
"
"16","7","113","Spring Place and Mews","Willes Road","","","RG 12/133","82-83
"
"16","7","114","Spring Row and Cottage","Mansfield Place","","","RG 12/133","45-46
"
"16","7","115","Stanhope Buildings","Stanhope Street","was Mary Place","","RG 12/116","187-192
"
"16","7","116","Stanhope Street","Euston Road","","1-39 Odd","RG 12/117","229-232
"
"16","7","117","Stanhope Street","Euston Road","","108-126 Even","RG 12/116","166-167
"
"16","7","118","Stanhope Street","Euston Road","","128-184 Even","RG 12/116","216-220
"
"16","7","119","Stanhope Street","Euston Road","","186-208 Even","RG 12/116","88-89
"
"16","7","120","Stanhope Street","Euston Road","","267-269 Odd","RG 12/116","89
"
"16","7","121","Stanhope Street","Euston Road","","41-261 Odd","RG 12/118","6-26
"
"16","7","122","Stanhope Street","Euston Road","","6-106 Even","RG 12/116","124-136
"
"16","7","123","Stanhope Street","Euston Road","","pt 104 Even","RG 12/116","131
"
"16","7","124","Stanhope Street","Euston Road","","pt 20 Even","RG 12/116","149
"
"16","7","125","Stanhope Terrace","Gloucester Gate","","","RG 12/117","4-5
"
"16","7","126","Stanhope Yard","Delancey Street","","","RG 12/116","49
"
"16","7","127","Stanley Buildings","Pancras Road","","","RG 12/130","97-105
"
"16","7","128","Stanley House","St Chads Place","","","RG 12/125","88-89
"
"16","7","129","Stanmore Cottages","pt Wilkin Street","","","RG 12/133","119-121
"
"16","7","130","Stanmore Place","Camden High Street","","","RG 12/116","39-40
"
"16","7","131","Stanmore Street","Aldenham Street","","","RG 12/126","36-45
"
"16","7","132","Stephen Street and Mews","Charlotte Street","","","RG 12/121","112-123
"
"16","7","133","Stibbington Street","Werrington Street","","Even Numbers","RG 12/126","145-154
"
"16","7","134","Stibbington Street","Werrington Street","","Odd Numbers","RG 12/128","131-139
"
"16","7","135","Stratford Place","St Pauls Road","","1-16","RG 12/131","49-51
"
"16","7","136","Stratford Place","St Pauls Road","","17-22","RG 12/131","43-44
"
"16","7","137","Stratford Place","St Pauls Road","","23-38","RG 12/131","51-52
"
"16","7","138","Stratford Villas","St Pauls Road","","","RG 12/131","54
"
"16","7","139","Stucley Place","Hawley Crescent","","","RG 12/129","16-18
"
"16","7","140","Suffolk Street","Pancras Road","MISSING Numbers demolished","","RG 12/130","93-94
"
"16","7","141","Sussex Place","","now pt Ferdinand Place","","",""
"16","7","142","Swains Lane","Highgate","North End","","RG 12/139","57-59
"
"16","7","143","Swains Lane","Highgate","South End","","RG 12/138","114
"
"16","7","144","Swinton Street","Grays Inn Road","","","RG 12/124","90-105
"
"16","7","145","Tavistock Place","Woburn Place","","1-16","RG 12/119","48-50
"
"16","7","146","Tavistock Place","Woburn Place","","17-34","RG 12/119","50-54
"
"16","7","147","Tavistock Place","Woburn Place","","35-36","RG 12/119","54
"
"16","7","148","Tavistock Place","Woburn Place","","37","RG 12/119","68
"
"16","7","149","Tavistock Place","Woburn Place","","pt, Tavistock Place, 34","RG 12/119","68
"
"16","7","150","Tavistock Place","Woburn Place","","pts, Tavistock Place, 16","RG 12/119","68
"
"16","7","151","Tavistock Square","Woburn Place","","1-19","RG 12/119","56-59
"
"16","7","152","Tavistock Square","Woburn Place","","20-56","RG 12/119","74-79
"
"16","7","153","Tavistock Square","Woburn Place","","Tavistock Villas, Tavistock Square","RG 12/119","56
"
"16","7","154","Tavistock Villas","Tavistock Square","","Tavistock, Bedford and Russell Houses, Tavistock Villas","RG 12/119","56
"
"16","7","155","Taviton Street and Lodge","Gordon Place","","","RG 12/119","86-89
"
"16","7","156","Terrace The","Camden Square","","","RG 12/131","126-127
"
"16","7","157","Thanet Place","Thanet Street","","","RG 12/122","44-45
"
"16","7","158","Thanet Street","Leigh Street","","","RG 12/122","31-44
"
"16","7","159","Thornhaugh Mews","Huntley Street","","","RG 12/119","141-142
"
"16","7","160","Thurlow Terrace","Grafton Terrace","","","RG 12/134","115-116
"
"16","7","161","Tolmers Square","Hampstead Road","","","RG 12/127","72-79
"
"16","7","162","Tonbridge Street","Euston Road","","","RG 12/122","76-93
"
"16","7","163","Torbay Street","Hawley Road","","","RG 12/132","100-105
"
"16","7","164","Torriano Avenue and Mews","Camden Road","","1-81 Odd","RG 12/140","68-72
"
"16","7","165","Torriano Avenue and Mews","Camden Road","","104-134 Even","RG 12/140","22-23
"
"16","7","166","Torriano Avenue and Mews","Camden Road","","201-2 Even","RG 12/140","72-78
"
"16","7","167","Torriano Avenue and Mews","Camden Road","","83-135 Odd","RG 12/140","18-22
"
"16","7","168","Torriano Avenue and Mews","Camden Road","","Mews, Torriano Avenue and Mews, Torriano Avenue and Mews","RG 12/140","80-81
"
"16","7","169","Torriano Cottages","Leighton Road","including South Villa","","RG 12/140","54-55
"
"16","7","170","Torriano Gardens","Torriano Avenue","3-4 wrongly entered as Avenue","3-4","RG 12/140","78-80
"
"16","7","171","Torrington Place","Gower Street","","7-8","RG 12/119","110
"
"16","7","172","Torrington Place","Gower Street","see St GILES District","1-6","","
"
"16","7","173","Tottenham Court Road","","","1-108","RG 12/121","135-146
"
"16","7","174","Tottenham Court Road","","","109-136","RG 12/120","27-29
"
"16","7","175","Tottenham Court Road","","","137-174 pt","RG 12/119","178-183
"
"16","7","176","Tottenham Court Road","","","92","RG 12/121","155
"
"16","7","177","Tottenham Court Road","","","Institute 54A","RG 12/121","150-151
"
"16","7","178","Tottenham Court Road","","","Police Station, Tottenham Court Road","RG 12/121","141-142
"
