"28","1","77","Brady Street","Whitechapel Road","2-22 Even empty","24-80 Even","RG 12/279","9-11
"
"28","1","78","Brady Street Dwellings","","","","RG 12/279","15-35
"
"28","1","79","Brick Lane","","","106-122 Even","RG 12/276","26-27
"
"28","1","80","Brick Lane","","","119-165 Odd","RG 12/265","42-44
"
"28","1","81","Brick Lane","","","124-138 Even","RG 12/276","11-13
"
"28","1","82","Brick Lane","","","140 Even","RG 12/276","1
"
"28","1","83","Brick Lane","","","142-144 Even","RG 12/276","22
"
"28","1","84","Brick Lane","","","146-148 Even","RG 12/265","33A
"
"28","1","85","Brick Lane","","","150-152 Even","RG 12/265","32
"
"28","1","86","Brick Lane","","","154 Even","RG 12/265","30
"
"28","1","87","Brick Lane","","","156-158 Even","RG 12/265","32
"
"28","1","88","Brick Lane","","","160 Even","RG 12/265","33
"
"28","1","89","Brick Lane","","","162-168 pt Even","RG 12/265","31-32
"
"28","1","90","Brick Lane","","","167-283 Odd","RG 12/261","3-10
"
"28","1","91","Brick Lane","","","170-176 Even","RG 12/265","30-31
"
"28","1","92","Brick Lane","","","178-180 Even","RG 12/264","198-199
"
"28","1","93","Brick Lane","","","182-198 Even","RG 12/264","29
"
"28","1","94","Brick Lane","","","2-38 Even","RG 12/276","94-97
"
"28","1","95","Brick Lane","","","200-226 Even","RG 12/264","4-5
"
"28","1","96","Brick Lane","","","228-306 Even","RG 12/261","10-14
"
"28","1","97","Brick Lane","","","285-303 Odd","RG 12/257","15-16
"
"28","1","98","Brick Lane","","","310-324 Even","RG 12/257","16-17
"
"28","1","99","Brick Lane","","","40-42 Even","RG 12/276","36
"
"28","1","100","Brick Lane","","","44-64 Even","RG 12/276","63-64
"
"28","1","101","Brick Lane","","","63A Lodging House, Brick Lane","RG 12/275","155-158
"
"28","1","102","Brick Lane","","","65-89 Odd","RG 12/273","86-89
"
"28","1","103","Brick Lane","","","66-88 Even","RG 12/276","70-72
"
"28","1","104","Brick Lane","","","7-39 Odd","RG 12/273","128-132
"
"28","1","105","Brick Lane","","","97-115 Odd","RG 12/273","4-5
"
"28","1","106","Brick Lane","","","Trumans Brewery","RG 12/273","89
"
"28","1","107","Brick Lane","","","pt 168 Even","RG 12/265","33A
"
"28","1","108","Brick Lane","","1-5 Odd 90-104 Even do not exist (two pages missing after f158)","41-63 Odd","RG 12/273","84-86
"
"28","1","109","Brownsons Court","Great Alie Street","","","RG 12/281","66
"
"28","1","110","Brunswick Buildings","Goulston Street","","1-257","RG 12/280","27-46
"
"28","1","111","Brunswick Buildings","New Goulston Street","","258-280","RG 12/280","46-48
"
"28","1","112","Brunswick Place","Back Church Lane","","","RG 12/282","74-75
"
"28","1","113","Brushfield Street","Bishopsgate Street Without","","1-13 Odd","RG 12/235","126
"
"28","1","114","Brushfield Street","Bishopsgate Street Without","","15-35 Odd","RG 12/275","123-124
"
"28","1","115","Brushfield Street","Bishopsgate Street Without","","2-18 Even","RG 12/235","126-127
"
"28","1","116","Brushfield Street","Bishopsgate Street Without","","22-42 Even","RG 12/275","124-125
"
"28","1","117","Brushfield Street","Bishopsgate Street Without","","37-45 Odd","RG 12/275","26
"
"28","1","118","Brushfield Street","Bishopsgate Street Without","","44-52 Even","RG 12/275","26
"
"28","1","119","Brushfield Street","Bishopsgate Street Without","","54-84 Even","RG 12/274","136-138
"
"28","1","120","Brushfield Street","Bishopsgate Street Without","47-51 do not exist","53-75 Odd","RG 12/275","1-2
"
"28","1","121","Buckle Street and Buildings","Leman Street","","","RG 12/281","45-49
"
"28","1","122","Bucks Row","Thomas Street","later pt Durward Street","6-29","RG 12/279","80-83
"
