"8","6","1","Palmerston Buildings","Garden Row, pt of City","1-60 pt pt 60-72 MISSING after f 243","","RG 12/230","239-243
"
"8","6","80","President Street","Goswell Road","","14-30 Even","RG 12/230","121-122
"
"8","6","81","President Street","Goswell Road","","19-39 Odd","RG 12/230","119-121
"
"8","6","82","President Street","Goswell Road","","2-6 Even","RG 12/230","119
"
"8","6","83","President Street","Goswell Road","","32-44 Even","RG 12/232","128-129
"
"8","6","84","President Street","Goswell Road","","41-49 Odd","RG 12/232","129-130
"
"8","6","85","Princes Street","Princeton Street","Bedford Row now Princeton Street","","",""
"8","6","86","Princes Street","Valetta Street","Queen Street now Valetta Street","","",""
"8","6","87","Princeton Street","Bedford Row","was Princes Street","1-3 Odd","RG 12/219","6-7
"
"8","6","88","Princeton Street","Bedford Row","was Princes Street","12-26 Even","RG 12/218","179-180
"
"8","6","89","Princeton Street","Bedford Row","was Princes Street","2-14 Even","RG 12/219","5-6
"
"8","6","90","Princeton Street","Bedford Row","was Princes Street","7, 25 Odd","RG 12/218","179-180
"
"8","6","91","Princeton Street","Bedford Row","was Princes Street","School, Princeton Street","RG 12/219","6
"
"8","6","92","Prospect Row","Henry Street","","","RG 12/226","123-124
"
"8","6","93","Providence Place","Grays Inn Road","","","RG 12/220","104-105
"
"8","6","94","Providence Place","Warner Street","","","RG 12/223","80-81
"
"8","6","95","Providence Row","Pentonville Road","","","RG 12/227","116-118
"
"8","6","96","Providence Street","City Road","now part Westmoreland Place","","",""
"8","6","97","Pump Court","White Horse Alley","","","RG 12/221","124-125
"
"8","6","98","Quality Court","Chancery Lane","","","RG 12/219","139
"
"8","6","99","Queen Square","Great Ormond Street","","1-21","RG 12/218","4-8
"
"8","6","100","Queen Square","Great Ormond Street","","1-21 21-22 and Cottage, Queen Square","RG 12/123","53, 62
"
"8","6","101","Queen Square","Great Ormond Street","","29-36","RG 12/218","8-9
"
"8","6","102","Queen Square","Great Ormond Street","","37-39 and Vestry House, Queen Square","RG 12/218","31
"
"8","6","103","Queen Square","Great Ormond Street","","40-43","RG 12/218","51-52
"
"8","6","104","Queen Square","Great Ormond Street","","Hospital for Paralysed and Epileptic","RG 12/219","154-159
"
"8","6","105","Queen Square","Great Ormond Street","","Italian Hospital, Queen Square","RG 12/218","51
"
"8","6","106","Queen Square Place","","","","RG 12/218","6-7
"
"8","6","107","Queen Street","Percival Street now Malta Street","","
","Radnor Street",""
"8","6","108","Radnor Street","","","27-55","RG 12/231","125-130
"
"8","6","109","Radnor Street","","","Wesleyan Schools and Mission Room","RG 12/231","130
"
"8","6","110","Radnor Street","Bath Street","","1-26","RG 12/231","164-168
"
"8","6","111","Radsworth Street","Baldwin Street","","","RG 12/231","52-54
"
"8","6","112","Rahere Street","Goswell Road","","","RG 12/230","142-157
"
"8","6","113","Railways","","","Great Northern Goods Station, Railways","RG 12/221","117
"
"8","6","114","Railways","Turnmill Street","","Great Northern Stables, Railways","RG 12/223","132
"
"8","6","115","Rawstorne Place","Rawstorne Street now Rawstorne Buildings","","empty, Rawstorne Place, Rawstorne Place","RG 12/228","73
"
"8","6","116","Rawstorne Street and Buildings","Goswell Road","","1-22","RG 12/228","76-79
"
"8","6","117","Rawstorne Street and Buildings","Goswell Road","","38-61","RG 12/228","79-83
"
"8","6","118","Rawstorne Street and Buildings","Goswell Road","","Brewers Buildings, Rawstorne Street and Buildings","RG 12/228","83-87
"
"8","6","119","Rawstorne Street and Buildings","Goswell Road","","Rawstorne Buildings, Rawstorne Street and Buildings","RG 12/228","87-89
"
"8","6","120","Ray Street","Farringdon Road","","27-29","RG 12/223","64
"
"8","6","121","Ray Street","Farringdon Road","","30","RG 12/221","87
"
"8","6","122","Ray Street","Farringdon Road","No others exist","39","RG 12/221","43
"
"8","6","123","Raymond Buildings","Grays Inn mixed","","","RG 12/219","147-148, 153
"
"8","6","124","Red Lion Market","Whitecross Street","","","RG 12/233","66-68
"
"8","6","125","Red Lion Passage","Goswell Road","","","RG 12/228","72
"
"8","6","126","Red Lion Passage","Red Lion Square","","","RG 12/218","182-186
"
"8","6","127","Red Lion Square","","","1-5","RG 12/218","153
"
"8","6","128","Red Lion Square","","","13-32","RG 12/218","143-145
"
"8","6","129","Red Lion Square","","","33-36","RG 12/218","157
"
"8","6","130","Red Lion Square","","","6-13A","RG 12/218","149-150
"
"8","6","131","Red Lion Street","Clerkenwell Green","1-7 do not exist","8-62","RG 12/223","16-26
"
"8","6","132","Red Lion Street","High Holborn","","1-15","RG 12/219","15-17
"
"8","6","133","Red Lion Street","High Holborn","","16-18","RG 12/219","10-11
"
"8","6","134","Red Lion Street","High Holborn","","19-28","RG 12/219","7-9
"
"8","6","135","Red Lion Street","High Holborn","","29-38","RG 12/219","4-5
"
"8","6","136","Red Lion Street","High Holborn","","44-52","RG 12/218","177-179
"
"8","6","137","Red Lion Street","High Holborn","","53-61","RG 12/218","180-182
"
"8","6","138","Red Lion Street","High Holborn","","62-64","RG 12/218","186
"
"8","6","139","Red Lion Street","High Holborn","","65-78","RG 12/219","17-19
"
"8","6","140","Red Lion Yard","St John Street","","","RG 12/222","101-102
"
"8","6","141","Regent Street","City Road","","","RG 12/231","30-32
"
"8","6","142","Reids Brewery","Clerkenwell Road","","","RG 12/220","53
"
"8","6","143","Reids Yard and Stables","Grays Inn Road","","","RG 12/220","149
"
"8","6","144","Remington Street","City","","","RG 12/230","210-215
"
"8","6","145","Richard Street","Liverpool Road","","1-6","RG 12/152","47-48
"
"8","6","146","Richard Street","Liverpool Road","7-17 do not exist (18-40 later transferred to Holborn 1901?)","18-40","RG 12/152","48-51
"
"8","6","147","Richards Place","Old Street","","","RG 12/232","50
"
"8","6","148","Richbell Place","Lambs Conduit Street","","","RG 12/219","44-47
"
"8","6","149","Richmond Street","Bath Street","","1-12","RG 12/231","180-182
"
"8","6","150","Richmond Street","Bath Street","13-18 do not exist pt 26-End C30?) MISSING on f 184","19-26 pt","RG 12/231","182-183
"
"8","6","151","Risinghill Street","Penton Street","","1-9 Odd","RG 12/226","114-115
"
"8","6","152","Risinghill Street","Penton Street","","11-57 Odd","RG 12/226","103-111
"
"8","6","153","Risinghill Street","Penton Street","","2-32 Even","RG 12/226","142-146
"
"8","6","154","Risinghill Street","Penton Street","","34-44 Even","RG 12/226","115-118
"
"8","6","155","Risinghill Street","Penton Street","","Hermes Hill, Risinghill Street","RG 12/226","104-105
"
"8","6","156","Risinghill Street","Penton Street","","Penton Residences","RG 12/226","111-114
"
"8","6","157","River Street","Amwell Street","","","RG 12/228","22-25
"
"8","6","158","Robert Street","Little James Street","","","RG 12/219","74-80
"
"8","6","159","Roberts Place","Bowling Green Lane-","","","RG 12/223","129-130
"
"8","6","160","Robin Hood Yard and Public House","Leather Lane","","","RG 12/221","5-6
"
"8","6","161","Roby Street","Old Street was Baldwin Street","","","RG 12/232","45-48
"
"8","6","162","Rodney Street and Residences","","","1-17","RG 12/227","7-15
"
"8","6","163","Rodney Street and Residences","","","18","RG 12/227","4
"
"8","6","164","Rodney Street and Residences","","","Residences, Rodney Street and Residences, 1-30","RG 12/227","4-7
"
"8","6","165","Rodney Street and Residences","","including Cottage and Carlton Claremont, Granville and Mansfield Houses","21-32","RG 12/227","15-17
"
