"19","3","76","Grosvenor Road","","","Pumping Station Houses, Grosvenor Road","RG 12/74","3
"
"19","3","77","Grosvenor Road","Thames Embankment","","1-11","RG 12/78","107-108
"
"19","3","78","Grosvenor Road","Thames Embankment","","102-116","RG 12/76","51-53
"
"19","3","79","Grosvenor Road","Thames Embankment","","117-120","RG 12/75","109-110
"
"19","3","80","Grosvenor Road","Thames Embankment","","12-44","RG 12/78","146-149
"
"19","3","81","Grosvenor Road","Thames Embankment","","128-129","RG 12/76","61-62
"
"19","3","82","Grosvenor Road","Thames Embankment","","131-135","RG 12/76","117
"
"19","3","83","Grosvenor Road","Thames Embankment","","137-140","RG 12/77","35
"
"19","3","84","Grosvenor Road","Thames Embankment","","142-154","RG 12/76","26-27
"
"19","3","85","Grosvenor Road","Thames Embankment","","162-167","RG 12/78","176-177
"
"19","3","86","Grosvenor Road","Thames Embankment","","46-67","RG 12/78","174-176
"
"19","3","87","Grosvenor Road","Thames Embankment","","68-76","RG 12/79","25-26
"
"19","3","88","Grosvenor Road","Thames Embankment","","79-91C","RG 12/77","33-35
"
"19","3","89","Grosvenor Road","Thames Embankment","","95-101","RG 12/76","61
"
"19","3","90","Grosvenor Road","Thames Embankment","","Army Clothing Depot","RG 12/76","97-98
"
"19","3","91","Grosvenor Road","Thames Embankment","","Chelsea Bridge","RG 12/74","18
"
"19","3","92","Grosvenor Road","Thames Embankment","","Lock House, Grosvenor Road","RG 12/74","3
"
"19","3","93","Grosvenor Road","Thames Embankment","","Millbank Pler","RG 12/78","174
"
"19","3","94","Grosvenor Road","Thames Embankment","","Pimlico Pier","RG 12/76","53
"
"19","3","95","Grosvenor Road","Thames Embankment","","Prison (Caretaker)","RG 12/78","144
"
"19","3","96","Grosvenor Road","Thames Embankment","","Railway Station & Thames Bank House, Grosvenor Road","RG 12/75","110
"
"19","3","97","Grosvenor Road","Thames Embankment","","Sewer Cottge","RG 12/79","26
"
"19","3","98","Grosvenor Road","Thames Embankment","","Thames Bank Distillery","RG 12/76","40
"
"19","3","99","Grosvenor Stables","Caxton Street","","","RG 12/82","125
"
"19","3","100","Grosvenor Street","Page Street","","","RG 12/78","133-137
"
"19","3","101","Grubb Street","Horseferry Road","","","RG 12/78","107
"
"19","3","102","Gulston Cottages","Causton Street","","","RG 12/78","210
"
"19","3","103","Half Moon Street","Picadilly","","","RG 12/69","130-134
"
"19","3","104","Halkin Mews North","Belgrave Square","","","RG 12/71","55-56
"
"19","3","105","Halkin Place","Halkin Street West","","1-4","RG 12/71","52
"
"19","3","106","Halkin Place","Halkin Street West","","5","RG 12/71","47
"
"19","3","107","Halkin Place","Halkin Street West","","6","RG 12/71","53
"
"19","3","108","Halkin Street","Belgrave Square","","1-6","RG 12/71","68-69
"
"19","3","109","Halkin Street","Belgrave Square","","Mortimer House, Halkin Street","RG 12/71","11
"
"19","3","110","Halkin Street","Belgrave Square","","Stables to 5 Grosvenor Place, Halkin Street","RG 12/71","11
"
"19","3","111","Halkin Street West","Belgrave Square","","1-16","RG 12/71","50-51
"
