"24","8","79","White Horse Street","Commercial Road East","","57-135 Odd","RG 12/292","43-47
"
"24","8","80","White Horse Street","Commercial Road East","","94-108 Even","RG 12/295","21-22
"
"24","8","81","White Horse Street","Commercial Road East","","Lady Micos Almshouses, White Horse Street","RG 12/292","41-42
"
"24","8","82","White Horse Street","Commercial Road East","","School Caretakers House, White Horse Street","RG 12/292","47
"
"24","8","83","White Rents","Ropemakers Fields","","","RG 12/296","39-40
"
"24","8","84","Whitehall Place","Three Colt Street","","","RG 12/296","59-60
"
"24","8","85","Whites Yard","Belgrave Street","","","RG 12/292","39
"
"24","8","86","Williams Place","Salmon Lane","","","RG 12/295","97
"
"24","8","87","Willow Row","Nightingale Lane","","","RG 12/296","24-25
"
"24","8","88","Wilson Street","White Horse Street","now called Matlock Street","","",""
"24","8","89","Wilsons Place","Salmon Lane","","","RG 12/295","94-95
"
"24","8","90","Workhouses","Salmon Lane","","Old Workhouse, Ratcliff, Stepney Union","RG 12/292","68
"
"24","8","91","Wrights Buildings and Cottage","Salmon Lane","","","RG 12/295","45-47
"
"24","8","92","York Place","Maroon Street","","","RG 12/294","60-62
"
"24","8","93","York Road","Commercial Road East","","14-26 Even","RG 12/295","41-42
"
"24","8","94","York Road","Commercial Road East","","2-12 Even","RG 12/292","72
"
"24","8","95","York Road","Commercial Road East","","9-17, 29-31 Odd","RG 12/292","71-72
"
"24","8","96","York Road","Commercial Road East","missing numbers are probably Railway Arches","","",""
"24","8","97","York Square","York Street West","","","RG 12/292","82-85
"
