"5","4","1","James Street","","","1-79","RG 12/496","119-129
"
"5","4","87","Langdale Road","Greenwich Road","","1-15 odd","RG 12/509","72
"
"5","4","88","Langdale Road","Greenwich Road","","2-18 even","RG 12/509","72-73
"
"5","4","89","Langton Mews","Woodlands Road","","","RG 12/512","141
"
"5","4","90","Langton Terrace","Woodlands Road","","1-11","RG 12/512","129-131
"
"5","4","91","Laurie Gardens","South Street","","1-2","RG 12/509","108
"
"5","4","92","Lausanne Road","","","1-49 odd","RG 12/504","68-70
"
"5","4","93","Leathwell Road","St Johns","","1-51","RG 12/510","75-79
"
"5","4","94","Lees Terrace","Trundley Road","","3-18","RG 12/498","56-59
"
"5","4","95","Lenthorpe Road","","","1-62","RG 12/514","84-92
"
"5","4","96","Leonidas Street","","","1-13","RG 12/494","14-15
"
"5","4","97","Lewisham High Road","","","1-169 odd","RG 12/500","7-14
"
"5","4","98","Lewisham High Road","","","160-240 even","RG 12/502","21-25
"
"5","4","99","Lewisham High Road","","","173-287","RG 12/501","139-145
"
"5","4","100","Lewisham High Road","","","2-78 even","RG 12/500","32-35
"
"5","4","101","Lewisham High Road","","","80-158 even","RG 12/500","64-69
"
"5","4","102","Lewisham High Road","Alexander Cottages","","1-12","RG 12/500","14-15
"
"5","4","103","Lewisham High Road","Friendly Street","","1-26","RG 12/501","131-134
"
"5","4","104","Lewisham High Road","Friendly Street","","29-39 odd","RG 12/501","134
"
"5","4","105","Lewisham High Road","Friendly Street","","30-48 even","RG 12/501","10-11
"
"5","4","106","Lewisham High Road","Friendly Street","","41-55 odd","RG 12/501","11
"
"5","4","107","Lewisham High Road","Friendly Street","","50-58 even","RG 12/501","44
"
"5","4","108","Lewisham High Road","Friendly Street","","59-125","RG 12/501","44-51
"
"5","4","109","Lewisham High Road","Knight Villa","","80","RG 12/500","64
"
"5","4","110","Lewisham High Road","Lucas Street","","1-23","RG 12/501","124-126
"
"5","4","111","Lewisham High Road","Lucas Street","","24-46 even","RG 12/501","123-124
"
"5","4","112","Lewisham High Road","Lucas Street","","25-67 odd","RG 12/501","17-20
"
"5","4","113","Lewisham High Road","Lucas Street","","48-84 even","RG 12/501","16-17
"
"5","4","114","Lewisham High Road","Oscar Street","","1-47","RG 12/501","127-131
"
"5","4","115","Lewisham High Road","Oscar Street","","102-106 even","RG 12/501","42
"
"5","4","116","Lewisham High Road","Oscar Street","","49-75 odd","RG 12/501","14-15
"
"5","4","117","Lewisham High Road","Oscar Street","","50-74 even","RG 12/501","15-16
"
"5","4","118","Lewisham High Road","Oscar Street","","77-101","RG 12/501","40-41
"
"5","4","119","Lewisham High Road","St Johns Vicarage","","","RG 12/501","118
"
"5","4","120","Lewisham High Road","School Cottage","","80","RG 12/500","66
"
"5","4","121","Lewisham High Road","Stationmasters House","","","RG 12/501","118
"
"5","4","122","Lewisham Road","","","1-33 odd","RG 12/509","145-146
"
"5","4","123","Lewisham Road","","","2-120 even","RG 12/509","146-150
"
"5","4","124","Lewisham Road","John Penn Street","","1-23","RG 12/510","21-22
"
"5","4","125","Lewisham Road","Morden Grove","","1-20","RG 12/510","55-57
"
"5","4","126","Lewisham Road","Orchard Hill","","1-3, 1-16, 25-27","RG 12/510","39-41
"
"5","4","127","Lewisham Road","Orchard Hill","","28-31","RG 12/510","25
"
"5","4","128","Leylang Road","","","1-17 odd","RG 12/506","101
"
"5","4","129","Leylang Road","","","2-30 even","RG 12/506","99-101
"
"5","4","130","Lift Bridge","Surrey Canal Cottages","","1-2","RG 12/506","98
"
"5","4","131","Lind Street","Ravensbourne Street","","1-31","RG 12/501","112-114
"
"5","4","132","Little Bennett Street","","","1-11","RG 12/511","45-46
"
"5","4","133","Little Thames Street","Horseferry Road","","1-25, 1-6 R","RG 12/508","36-39
"
"5","4","134","Little Thames Street","Rose Cottage","","","RG 12/508","39
"
"5","4","135","Little Thames Street","Sarah Buildings","","1-5","RG 12/508","39
"
"5","4","136","Little Wanderers Home","137 Greenwich Road","","","RG 12/509","41
"
"5","4","137","Lizban Street","Old Dover Road","","1-35","RG 12/513","25-29
"
"5","4","138","Lloyds Wharf","Blackhorse Road","","","RG 12/497","67
"
"5","4","139","Lodging House","Church Street","","146","RG 12/494","68
"
"5","4","140","Lodging House","Church Street","","45","RG 12/508","40
"
"5","4","141","Lodging House","Creek Road","","42","RG 12/494","144-145
"
"5","4","142","Lodging House","Lower East Street","","","RG 12/511","22
"
"5","4","143","Lodging House","Mill Lane","","10-20","RG 12/501","67-69
"
"5","4","144","Lodging House","Mill Lane","","2-8","RG 12/501","66-67
"
"5","4","145","Lodging House","Mill Lane","","24-28","RG 12/501","69
"
"5","4","146","Lodging House","Mill Lane","","52, 54","RG 12/501","65-66
"
"5","4","147","Lodging House","Roan Street","","59","RG 12/509","17
"
"5","4","148","Lodging House","Straightsmouth","","1","RG 12/509","20
"
"5","4","149","Lombard Road","","","1-16","RG 12/513","113-115
"
"5","4","150","Lombard Terrace","","","1-6","RG 12/513","115
"
"5","4","151","London Court","London Street","","1-3","RG 12/508","109-110
"
"5","4","152","London Court","Prince of Wales Cottages","","1-4","RG 12/508","110
"
"5","4","153","London Street","","","1","RG 12/497","123
"
"5","4","154","London Street","Prince of Orange Lane","","1-5","RG 12/509","38
"
"5","4","155","London Street","St Georges Wharf","","1","RG 12/497","123
"
"5","4","156","London Street","","","1-91 odd","RG 12/508","125-128
"
"5","4","157","London Street","","","16-94 even","RG 12/508","106-109
"
"5","4","158","London Street","","","64 R","RG 12/508","111
"
"5","4","159","London Street","London Court","","1-3","RG 12/508","109-110
"
"5","4","160","London Street","Portland Yard","","","RG 12/508","128
"
"5","4","161","London and Naval","King William Street","","5","RG 12/511","38
"
"5","4","162","Lorne Terrace","Annandale Road","","2-80 even","RG 12/514","13-17
"
"5","4","163","Lovegrove Place","Walnut Tree Road","","1-15","RG 12/512","34
"
"5","4","164","Lovegrove Place","Walnut Tree Road","","2-16 even","RG 12/512","51-52
"
"5","4","165","Lovelinch Street","","","1-7 odd","RG 12/503","80
"
"5","4","166","Lovelinch Street","","","2-32 even","RG 12/503","80-81
"
"5","4","167","Lovelinch Street","","","44-70 even","RG 12/503","81-83
"
"5","4","168","Lower Chester Street","Granite Wharf","","77","RG 12/515","10
"
"5","4","169","Lower Chester Street","","","36-58, 64 even","RG 12/515","10-11
"
"5","4","170","Lower Chester Street","","","41-79 odd","RG 12/515","8-10
"
"5","4","171","Lower East Street","Smiths Rents","","32-35, 38, 41, 47, 49-51","RG 12/511","20-22
"
"5","4","172","Lower East Street","","","1-4","RG 12/511","22
"
"5","4","173","Lower East Street","","","15, 43-53 odd","RG 12/511","13-14
"
"5","4","174","Lower East Street","","","66-108 even","RG 12/511","65-67
"
"5","4","175","Lower East Street","Lodging House","","","RG 12/511","22
"
"5","4","176","Lower East Street","Red Lion Public House","","","RG 12/511","22
"
"5","4","177","Lower East Street","Smiths Rents","","4, 5,10, 12, 13, 20-28,","RG 12/511","20-22
"
"5","4","178","Lower East Street","Vine Court","","1","RG 12/511","22
"
"5","4","179","Lower Park Street","Trafalgar Road","","1-12, 45-50","RG 12/511","67-69
"
"5","4","180","Lower Road","","","","RG 12/498","4-8, 43
"
"5","4","181","Lower Road","","","256-288 even","RG 12/498","43-46
"
"5","4","182","Lower Road","","","305-333 odd","RG 12/498","9-10
"
"5","4","183","Lower Road","Albion Street","","1-45","RG 12/498","19-25
"
"5","4","184","Lower Road","Albion Street","","33 R","RG 12/498","39
"
"5","4","185","Lower Road","Alpha Villas","","1-2","RG 12/498","43
"
"5","4","186","Lower Road","Arthur Terrace","","1-15","RG 12/498","7-8
"
"5","4","187","Lower Road","Blackhorse Place","","1-21","RG 12/498","4-5
"
"5","4","188","Lower Road","Chichester Villas","","","RG 12/498","7
"
"5","4","189","Lower Road","Clare Villas","","1-2","RG 12/498","43
"
"5","4","190","Lower Road","Garden Cottage","","","RG 12/498","43
"
"5","4","191","Lower Road","Gas Cottage","","","RG 12/498","4
"
"5","4","192","Lower Road","Lumley Cottages","","3-4","RG 12/498","86
"
"5","4","193","Lower Road","Medway Cottage","","","RG 12/498","46
"
"5","4","194","Lower Road","Oak Villas","","1-2","RG 12/498","43
"
"5","4","195","Lower Road","Rose Terrace","","1-5","RG 12/498","5-6
"
"5","4","196","Lower Road","Sheppards Cottage","","","RG 12/498","43
"
"5","4","197","Lower Road","Stanley Villa","","","RG 12/498","43
"
"5","4","198","Lower Road","Sydney House","","","RG 12/498","43
"
"5","4","199","Lower Woolwich Road","Bridge Terrace","","1-29","RG 12/513","98-100
"
"5","4","200","Lower Woolwich Road","Collerston Road","","1-11 odd","RG 12/514","43-44
"
"5","4","201","Lower Woolwich Road","Collerston Road","","13-40","RG 12/514","100-103
"
"5","4","202","Lower Woolwich Road","Collerston Road","","2-12 even","RG 12/514","44-45
"
"5","4","203","Lower Woolwich Road","Collerston Road","","41-62","RG 12/514","107-110
"
"5","4","204","Lower Woolwich Road","Denford Street","","1-2","RG 12/514","40-41
"
"5","4","205","Lower Woolwich Road","Halstow Road","","","RG 12/513","123
"
"5","4","206","Lower Woolwich Road","Halstow Road","","1-12","RG 12/514","31-32
"
"5","4","207","Lower Woolwich Road","Horn Lane","","2-9","RG 12/513","109-110
"
"5","4","208","Lower Woolwich Road","Selcroft Road","","1-13 odd","RG 12/514","41-42
"
"5","4","209","Lower Woolwich Road","Selcroft Road","","15-21 odd","RG 12/514","92-93
"
"5","4","210","Lower Woolwich Road","Selcroft Road","","2-20 even","RG 12/514","42-43
"
"5","4","211","Lower Woolwich Road","Selcroft Road","","22-63","RG 12/514","93-97
"
"5","4","212","Lower Woolwich Road","Selcroft Road","","64-92 even","RG 12/514","97-99
"
"5","4","213","Lucas Street","","","24-46 even","RG 12/501","123-124
"
"5","4","214","Lucas Street","","","25-67 odd","RG 12/501","17-20
"
"5","4","215","Lucas Street","","","48-84 even","RG 12/501","16-17
"
"5","4","216","Lucas Street","Lewisham High Road","","1-23","RG 12/501","124-126
"
"5","4","217","Ludwick Road","","","1-35 odd","RG 12/499","98-100
"
"5","4","218","Ludwick Road","","","2-48 even","RG 12/499","100-103
"
"5","4","219","Luton Place","Arno Cottage","","","RG 12/510","108-109
"
"5","4","220","Luton Place","King George Street","","1-17","RG 12/510","108
"
"5","4","221","Luton Place","Linton Cottages","","1-2","RG 12/510","108
"
"5","4","222","Luton Place","Rose Cottage","","","RG 12/510","109
"
"5","4","223","Luton Place","Tranquil Cottages","","1-2","RG 12/510","108
"
"5","4","224","Luxmore Street","","","1-12","RG 12/500","69-71
"
"5","4","225","Lyndhurst Cottage","","","","RG 12/498","56
"
"5","4","226","Lyveden Road","","","1-35","RG 12/513","22-25
"
