"9","4","1","Jackson Road","Holloway Road","","","RG 12/178","80-87
"
"9","4","2","Jackson Terrace","pt Cressida Road","","","RG 12/145","139
"
"9","4","3","James Street","East Street","now pt Rufford St","","",""
"9","4","4","James Street","Essex Road","later pt Elmore St","","RG 12/165","61-63
"
"9","4","5","James Street","Georges Road","","","RG 12/163","53-55
"
"9","4","6","Japan Crescent","Crouch Hill","","","RG 12/147","84-85
"
"9","4","7","Jays Buildings","Rodney Street","later transferred to HOLBORN District","","RG 12/155","4-5
"
"9","4","8","John Street","Georges Road,","later Bratton Street","","RG 12/163","55-56
"
"9","4","9","John Street","Liverpool Road","later Lofting Road","1-60 consecutive","RG 12/152","160-168
"
"9","4","10","John Street","Liverpool Road","later Lofting Road","104-110 Even","RG 12/158","26-27
"
"9","4","11","John Street","Liverpool Road","later Lofting Road","62-85 consecutive","RG 12/153","76-80
"
"9","4","12","John Street","Liverpool Road","later Lofting Road","86-102 Even","RG 12/153","80-81
"
"9","4","13","John Street","Liverpool Road","later Lofting Road","87 Odd","RG 12/158","27
"
"9","4","14","John Street","Liverpool Road","later Lofting Road","Northall, Grove & Mildred Villas & Synagogue","RG 12/153","77
"
"9","4","15","Johns Place","Upper Street","","","RG 12/151","40
"
"9","4","16","Junction Road","Dartmouth Park Hill","","1-91 Odd","RG 12/142","2-5
"
"9","4","17","Junction Road","Dartmouth Park Hill","","132-178 Even","RG 12/141","128-130
"
"9","4","18","Junction Road","Dartmouth Park Hill","","2-130 Even","RG 12/141","51-59
"
"9","4","19","Junction Road","Dartmouth Park Hill","","213-255 Even","RG 12/144","81-83
"
"9","4","20","Junction Road","Dartmouth Park Hill","","93-207 Odd","RG 12/141","132-138
"
"9","4","21","Junction Road","Rufford Street","later pt Rufford Street","","RG 12/157","56
"
"9","4","22","Keens Mews or Yard","St Pauls Road","","","RG 12/170","139-140
"
"9","4","23","Kelvin Road","Highbury Park","was Park Road","","RG 12/177","146-153, 155
"
"9","4","24","Kent Lodge","Wallace Road","","","RG 12/176","170
"
"9","4","25","King Edward Street","Liverpool Road","","","RG 12/151","17-21
"
"9","4","26","King Henry Street","Boleyn Road","","","RG 12/174","71-79
"
"9","4","27","King Henrys Walk","Balls Pond Road","","Almshouses, Tilers & Bricklayers","RG 12/173","187
"
"9","4","28","King Henrys Walk","Balls Pond Road","","Dyers, King Henrys Walk","RG 12/173","187
"
"9","4","29","King Henrys Walk","Balls Pond Road","","Even Nos","RG 12/173","182-186
"
"9","4","30","King Henrys Walk","Balls Pond Road","","Odd Nos","RG 12/176","156-160
"
"9","4","31","King Henrys Walk","Balls Pond Road","","St Judes School house, King Henrys Walk","RG 12/176","161
"
"9","4","32","Kingsbury Road","Balls Pond Road","","","RG 12/173","161-169
"
"9","4","33","Kingsdown Road","Holloway Road","","1-73 Odd","RG 12/142","100-105
"
"9","4","34","Kingsdown Road","Holloway Road","","2-84 Even","RG 12/149","4-11
"
"9","4","35","Kingsdown Road","Holloway Road","","75-111","RG 12/149","11-15
"
"9","4","36","Kingsdown Road","Holloway Road","","86-94 Even","RG 12/14 pound","34-35
"
"9","4","37","Kingsland Green","","","1-3","RG 12/173","134
"
