hisco3,hisco,title3,title5
983,,Railway/Railroad Locomotive operators,
360,36020,Transport conductors,Railway guard
984,98430,Other skilled railway workers,Railway signallers
984,,Other skilled railway workers,
974,97430,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Railway builders, workers and labourers"
984,98490,Other skilled railway workers,Other railway workers
971,97130,Dockers and freight handlers,Railway freight handlers
984,98490,Other skilled railway workers,Other railway workers
211,21160,Proprietors,"Proprietor, other transport and communications"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
985,,Drivers,
624,62460,Farm labourers: livestock workers and non-farm livestock caretakers ,Horse workers
985,98530,Drivers,"Driver (personal, for hire)"
985,,Drivers,
985,98590,Drivers,Other drivers
971,97190,Dockers and freight handlers,Other freight handlers
985,98550,Drivers,Driver (general haulage)
360,,Transport conductors,
971,97190,Dockers and freight handlers,Other freight handlers
711,71190,Miners and quarrymen,Others working in mines and quarries
985,98540,Drivers,Driver (public)
985,98540,Drivers,Driver (public)
360,36040,Transport conductors,"Bus, tram or streetcar conductor"
989,98900,Other transport equipment operators,Other transport equipment operators
985,98540,Drivers,Driver (public)
360,36040,Transport conductors,"Bus, tram or streetcar conductor"
989,98900,Other transport equipment operators,Other transport equipment operators
331,33170,Bookkeepers and cashiers,Toll collectors
814,81400,Production and related workers nec,Other production and related workers nec
42,4250,Ships officers,Ship's navigating officers and ship's mates
982,98200,Ship's engine men,Ship's engine men
520,52030,Housekeepers and housekeeping service supervisors,Steward
981,98120,Sailors and boatmen,Seamen
42,4260,Ships officers and pilots,Ship and boat pilots
981,98130,Sailors and boatmen,Boatmen and canalmen
42,4290,Ships officers and pilots,Other ships’ officers and pilot
211,21160,Proprietors,"Proprietor, other transport and communications"
42,4290,Ships officers and pilots,Other ships’ officers and pilot
971,97120,Dockers and freight handlers,Ship boat loaders and dock workers 
971,97190,Dockers and freight handlers,Other freight handlers
971,97190,Dockers and freight handlers,Other freight handlers
391,39100,"Stock, weight and shipping clerks","Stock, weight and shipping clerks"
971,97190,Dockers and freight handlers,Other freight handlers
370,,"Postal and related clerks, mail carriers, and messengers",
380,,Telephone and telegraph operators,
611,61110,General farmers and farmers nfs,General farmers and farmers nfs
611,61110,General farmers and farmers nfs,General farmers and farmers nfs
621,62113,"Farm labourers and helpers, general farming and nfs  ",Farmer's sons and other male relatives
