hisco3,hisco,title3,title5
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
746,,Paint and dye manufacturing workers,
746,74640,Paint and dye manufacturing workers,"Ink, blacking, coloring etc makers"
742,74200,Gunpowder and explosives makers,Gunpowder and explosives makers
742,74200,Gunpowder and explosives makers,Gunpowder and explosives makers
949,94990,Other production and related workers,Other production and related workers nec
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
11,1100,Chemists,Chemists
744,74430,Other mineral-based product makers,Alkali and soda makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
745,74500,Oil millers ,Oil mill workers
741,74100,Drug workers,Drug workers
747,74720,Animal fat and bone produce makers,"Tallow chandlers, candle makers and grease"
747,74730,Animal fat and bone produce makers,Soap or perfume maker
749,74920,Chemical manufacturing workers nec,Fertilizer or manure maker
901,90100,Rubber and plastic manufacturing workers,Rubber product maker
901,90100,Rubber and plastic manufacturing workers,Rubber product maker
747,74740,Animal fat and bone produce makers,"Glue, size, gelatin[e] makers"
749,74990,Chemical manufacturing workers nec,Other specified chemical workers
749,74990,Chemical manufacturing workers nec,Other specified chemical workers
749,74990,Chemical manufacturing workers nec,Other specified chemical workers
747,74750,Animal fat and bone produce makers,Wax or polish makers
746,74620,Paint and dye manufacturing workers,Paint and varnish makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
746,74620,Paint and dye manufacturing workers,Paint and varnish makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
792,79200,Fur garment manufacturing workers,Furrier or fur worker
761,,Leather manufacturing workers,
761,76140,Leather manufacturing workers,Leather curriers and finishers
803,80390,Leather goods manufacturing workers,Other leather goods makers
803,80390,Leather goods manufacturing workers,Other leather goods makers
803,80320,Leather goods manufacturing workers,Saddler or harness maker
942,94290,"Straw, wicker, bristle and related manufacturing workers",Bristle and straw workers nec
942,,"Straw, wicker, bristle and related manufacturing workers",
949,94990,Other production and related workers,Production and related workers nec
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
733,73300,Papermill machine operators and paper makers,Papermill machine operators and paper makers
733,73300,Papermill machine operators and paper makers,Papermill machine operators and paper makers
949,94990,Other production and related workers,Production and related workers nec
910,91020,Paper and paperboard products makers,Paper and paperboard products makers except boxes
910,91020,Paper and paperboard products makers,Paper and paperboard products makers except boxes
910,91020,Paper and paperboard products makers,Paper and paperboard products makers except boxes
910,91020,Paper and paperboard products makers,Paper and paperboard products makers except boxes
817,81730,Wooden and paper box manufacturing workers,Paper box maker
931,93190,Painting workers,Other specialized painters nec
910,91090,Papermill machine operators and paper makers,Other paper product makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
921,92120,"Printing workers, printing and publishing nec and nfs",Compositors
921,92120,"Printing workers, printing and publishing nec and nfs",Compositors
921,92110,"Printing workers, printing and publishing nec and nfs",Printers nfs
923,92300,Stereotypers and electrotypers,Stereotypers and electrotypers
920,92000,Printers nec,Printers nec
921,92110,"Printing workers, printing and publishing nec and nfs",Printers
929,92900,Printing workers nec,Other printers and related workers
929,92900,Printing workers nec,Other printers and related workers
924,92400,Printing engravers,Lithographers
921,92110,"Printing workers, printing and publishing nec and nfs",Printers
31,3100,Surveyors,Surveyors
926,92600,Book bindery workers,Bookbinders and Related Workers
*,,,
211,21194,"Manufacturers, owners and executive officials",Publisher
211,21194,"Manufacturers, owners and executive officials",Publisher
211,21194,"Manufacturers, owners and executive officials",Publisher
430,43030,Manufacturer’s and sales agents,"Agents, brokers and commercial travellers "
751,75100,Fibre preparers,Fibre preparers
752,75200,Spinners and winders,"Spinners, doublers, twisters and winders"
752,75200,Spinners and winders,"Spinners, doublers, twisters and winders"
754,75400,Weavers,Weavers
759,75990,Specialized textile workers nec,Other specialized textile workers
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
795,79540,"Seamstresses, sewing workers nfs and embroiderers",Embroiderers
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
751,75100,Fibre preparers,Fibre preparers
751,75100,Fibre preparers,Fibre preparers
752,75200,Spinners and winders,"Spinners, doublers, twisters and winders"
752,75200,Spinners and winders,"Spinners, doublers, twisters and winders"
752,75200,Spinners and winders,"Spinners, doublers, twisters and winders"
752,75200,Spinners and winders,"Spinners, doublers, twisters and winders"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
755,75500,Knitters,Knitters
753,75300,Weaving and knitting-machine setters and pattern-card preparers,Weaving and knitting-machine setters and pattern-card preparers
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleachers, Dyers or Textile Product Finisher"
752,75200,Spinners and winders,"Spinners, doublers, twisters and winders"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
754,75400,Weavers,Weavers
759,75990,Specialized textile workers nec,Other specialized textile workers
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
757,75700,Rope makers,Rope maker
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
759,75920,Specialized textile workers nec,Net makers
799,79920,Cloth and related product manufacturing workers nec,"Sail, tent and awning makers"
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
799,79920,Cloth and related product manufacturing workers nec,"Sail, tent and awning makers"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
755,75500,Knitters,Knitters
754,75400,Weavers,Weavers
759,75990,Specialized textile workers nec,Other specialized textile workers
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
793,79390,Hat manufacturing workers,Other hat maker
754,75400,Knitters,Knitters
795,79540,"Seamstresses, sewing workers nfs and embroiderers",Embroiderers
796,79690,Upholsterers and related workers,Other upholsterers and related workers
799,79990,Cloth and related product manufacturing workers nec,Other cloth and related product manufacturing workers
754,75400,Weavers and related workers,Weavers
754,75400,Weavers and related workers,Weavers
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
750,75000,"Textile workers, specialization unknown","Textile workers, specialization unknown"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
928,92800,Textile printing workers,Textile printers
928,92800,Textile printing workers,Textile printers
928,92800,Textile printing workers,Textile printers
928,92800,Textile printing workers,Textile printers
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
612,61220,Specialized farmers,Field crop farmers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
942,94290,"Straw, wicker, bristle and related manufacturing workers",Bristle and straw workers nec
793,79340,Hat manufacturing workers,Straw hat maker
793,79330,Hat manufacturing workers,Hat maker
793,79330,Hat manufacturing workers,Hat maker
793,79330,Hat manufacturing workers,Hat maker
793,79320,Hat manufacturing workers,Milliner
793,79330,Hat manufacturing workers,Hat maker
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc. (wholesale and retail trade)"
791,79120,Garment manufacturing workers,Tailor or tailoress
791,79190,Garment manufacturing workers,Other garment makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
791,79130,Garment manufacturing workers,Dressmakers
791,79190,Garment manufacturing workers,Other garment makers
795,79590,"Seamstresses, sewing workers nfs and embroiderers",Other hand sewers
949,94990,Other production and related workers,Production and related workers nec
794,79400,Glove and mitten manufacturing workers,Glove maker or related worker
755,75500,Knitters,Knitters
801,80100,Boot and shoe makers and repairers,Boot and shoe makers and repairers
801,80100,Boot and shoe makers and repairers,Boot and shoe makers and repairers
801,80100,Boot and shoe makers and repairers,Boot and shoe makers and repairers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
799,79940,Cloth and related product manufacturing workers nec,Artificial flower makers
570,57020,"Hairdresser, barbers, beauticians and related workers",Hairdressers
799,79930,Cloth and related product manufacturing workers nec,Umbrella makers
791,79190,Tailors and dress makers,Other garment makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
775,77500,"Butter, cheese and dairy product makers","Butter, cheese and dairy product maker"
612,61260,Specialized farmers,Livestock farmers
774,77400,Cannery workers and other food preservers,Cannery workers and other food preservers
775,77500,"Butter, cheese and dairy product makers","Butter, cheese and dairy product maker"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
773,77340,Butchers and meat manufacturing workers,"Slaughterer, meat cutter or meat packer"
773,77310,Butchers and meat manufacturing workers,Butchers
774,77400,Cannery workers and other food preservers,Cannery workers and other food preservers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
771,77100,Grain mill and other food product milling workers,Millers and related workers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
942,94290,"Straw, wicker, bristle and related manufacturing workers",Bristle and straw workers nec
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
776,77690,"Bakery, confectionery and candy making workers",Other baked goods makers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
772,77200,Sugar refiners,Sugar refiners
774,77400,Cannery workers and other food preservers,Cannery workers and other food preservers
776,77650,"Bakery, confectionery and candy making workers",Chocolate makers
612,61220,Specialized farmers,Field crop farmers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
778,77840,"Brewers, wine and beverage makers",Maker of soft drinks
774,77400,Cannery workers and other food preservers,Cannery workers and other food preservers
779,77990,Food and beverage processors nec,Other food and beverage processors
612,61220,Specialized farmers,Field crop farmers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
781,78100,Tobacco manufacturing workers (primary and nfs),Tobacco preparers and tobacco factory workers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
778,77830,"Brewers, wine and beverage makers",Maltster
778,77820,"Brewers, wine and beverage makers",Brewer
778,77860,"Brewers, wine and beverage makers",Distiller
510,51050,"Working proprietors and managers of catering, lodging and leisure service establishments","Pub, saloon, tavern and coffee house keepers "
510,51040,"Working proprietors and managers of catering, lodging and leisure service establishments",Boarding and lodging house keepers and managers
510,51020,"Working proprietors and managers of catering, lodging and leisure service establishments",Hotel keepers and managers 
510,51050,"Working proprietors and managers of catering, lodging and leisure service establishments","Pub, saloon, tavern and coffee house keepers "
778,77880,"Brewers, wine and beverage makers",Bottlers
599,59990,Other service workers,Service workers nec
532,53230,"Waiters, bartenders and related workers",Bartender
532,53220,"Waiters, bartenders and related workers",Waiter or waitress
532,53220,"Waiters, bartenders and related workers",Waiter or waitress
599,59990,Other service workers,Service workers nec
599,59990,Other service workers,Service workers nec
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
871,87130,Plumbers and pipe fitting workers,Pipe fitters
871,87120,Plumbers and pipe fitting workers,Plumbers
855,85500,Electricians and wiremen,Electrician or wireman
857,85700,Electrical and telecommunications line workers,"Linesman, telephone, telegraph or electric"
974,97490,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)",
552,55250,"Charworkers, cleaners and related workers",Refuse collectors and removers
399,39900,Other specified clerks,Other specified clerks
442,44200,Advertising salesmen,Advertising salesmen
599,59990,Other service workers,Service workers nec
599,59990,Other service workers,Service workers nec
451,45120,Salespeople,"Salespeople, wholesale or retail trade"
624,62410,Farm labourers: livestock workers and non-farm livestock caretakers ,"Livestock workers, general or nfs"
629,62920,Agricultural and Animal Husbandry Workers nec,Other animal workers
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
749,74990,Chemical manufacturing workers nec,Other specified chemical worker nec
949,94990,Other production and related workers,Production and related workers nec
949,94990,Other production and related workers,Production and related workers nec
949,94990,Other production and related workers,Production and related workers nec
756,75600,"Bleachers, Dyers and Textile Product Finishers","Bleacher, Dyer or Textile Product Finisher"
933,93330,"Lacquerers, enamellers and japanners",Japanner
552,55240,"Charworkers, cleaners and related workers",Chimney sweep
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
179,17900,Performers and performing artists nec ,Performers and performing artists nec 
949,94920,Other production and related workers,"Animal stuffer, taxidermist or shell worker"
929,92900,Printing workers nec,Other printers and related workers
949,94990,Other production and related workers,Production and related workers nec
743,74320,Charcoal and coal product makers,Charcoal burners and makers
949,94990,Other production and related workers,Production and related workers nec
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
391,39100,"Stock, weight and shipping clerks","Stock, weight and shipping clerks"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
490,49020,Other dealers and salesworkers nec,Pawnbrokers
452,45220,"Street Vendors, Canvassers and News Vendors","Street sellers, pedlars and hawkers"
221,22190,Superintendents and managers,Superintendents and managers nec
212,21220,Contractors and builders,Construction contractors
490,49040,"Street Vendors, Canvassers and News Vendors",Newsvendors
991,99120,Working nfs,Labourers nfs
991,99130,"Working, nfs",Common laborers or general laborers
969,96900,Stationary engine and related equipment operators nec,Other stationary Engine and Related Equipment Operators
31,3100,Draughtsman,Draughtsman
841,84110,"Mechanics, millwrights and machine manufacturing workers",Mechanic
991,99150,"Working, nfs","Workers, nfs"
992,99200,"Factory laborers, unspecified","Factory laborers, unspecified"
834,83400,Machinists,Machinists
999,99999,Non-occupational response,Non-occupational response
584,58410,Members of military forces,"Military, rank unknown"
584,58410,Members of military forces,"Military, rank unknown"
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
211,21190,Proprietors,Other owners of large scale productive enterprises
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
161,16110,Visual artists and art teachers,Artist nfs or art teacher
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
202,20200,Government administrators,Government administrators
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
999,99999,Non-occupational response,Non-occupational response
